"Estado","Ano","Tipo","Rango.edades","Valor"
"Veracruz ","2003","General","Entre.10.y.14",27
"Yucatan","2003","General","Entre.10.y.14",5
"Zacatecas ","2003","General","Entre.10.y.14",379
"Aguascalientes ","2004","General","Entre.10.y.14",442
"Baja California ","2004","General","Entre.10.y.14",5
"Baja California Sur","2004","General","Entre.10.y.14",7
"Campeche ","2004","General","Entre.10.y.14",6
"Coahuila ","2004","General","Entre.10.y.14",11
"Colima ","2004","General","Entre.10.y.14",1243
"Chiapas ","2004","General","Entre.10.y.14",17
"Chihuahua ","2004","General","Entre.10.y.14",39
"Distrito Federal ","2004","General","Entre.10.y.14",48
"Durango ","2004","General","Entre.10.y.14",646
"Guanajuato ","2004","General","Entre.10.y.14",2900
"Guerrero ","2004","General","Entre.10.y.14",4045
"Hidalgo ","2004","General","Entre.10.y.14",33
"Jalisco ","2004","General","Entre.10.y.14",6030
"Mexico","2004","General","Entre.10.y.14",853
"Michoacan","2004","General","Entre.10.y.14",3316
"Morelos ","2004","General","Entre.10.y.14",3272
"Nayarit ","2004","General","Entre.10.y.14",1723
"Nuevo Leon","2004","General","Entre.10.y.14",18
"Oaxaca ","2004","General","Entre.10.y.14",523
"Puebla ","2004","General","Entre.10.y.14",2011
"Queretaro","2004","General","Entre.10.y.14",450
"Quintana Roo ","2004","General","Entre.10.y.14",10
"San Luis Potosi","2004","General","Entre.10.y.14",30
"Sinaloa ","2004","General","Entre.10.y.14",907
"Sonora ","2004","General","Entre.10.y.14",593
"Tabasco ","2004","General","Entre.10.y.14",4
"Tamaulipas ","2004","General","Entre.10.y.14",39
"Tlaxcala ","2004","General","Entre.10.y.14",18
"Veracruz ","2004","General","Entre.10.y.14",16
"Yucatan","2004","General","Entre.10.y.14",3
"Zacatecas ","2004","General","Entre.10.y.14",293
"Aguascalientes ","2005","General","Entre.10.y.14",272
"Baja California ","2005","General","Entre.10.y.14",13
"Baja California Sur","2005","General","Entre.10.y.14",10
"Campeche ","2005","General","Entre.10.y.14",3
"Coahuila ","2005","General","Entre.10.y.14",15
"Colima ","2005","General","Entre.10.y.14",1097
"Chiapas ","2005","General","Entre.10.y.14",26
"Chihuahua ","2005","General","Entre.10.y.14",37
"Distrito Federal ","2005","General","Entre.10.y.14",51
"Durango ","2005","General","Entre.10.y.14",730
"Guanajuato ","2005","General","Entre.10.y.14",3342
"Guerrero ","2005","General","Entre.10.y.14",4653
"Hidalgo ","2005","General","Entre.10.y.14",33
"Jalisco ","2005","General","Entre.10.y.14",6485
"Mexico","2005","General","Entre.10.y.14",936
"Michoacan","2005","General","Entre.10.y.14",3814
"Morelos ","2005","General","Entre.10.y.14",3788
"Nayarit ","2005","General","Entre.10.y.14",1601
"Nuevo Leon","2005","General","Entre.10.y.14",4
"Oaxaca ","2005","General","Entre.10.y.14",677
"Puebla ","2005","General","Entre.10.y.14",2277
"Queretaro","2005","General","Entre.10.y.14",408
"Quintana Roo ","2005","General","Entre.10.y.14",12
"San Luis Potosi","2005","General","Entre.10.y.14",28
"Sinaloa ","2005","General","Entre.10.y.14",762
"Sonora ","2005","General","Entre.10.y.14",540
"Tabasco ","2005","General","Entre.10.y.14",3
"Tamaulipas ","2005","General","Entre.10.y.14",40
"Tlaxcala ","2005","General","Entre.10.y.14",4
"Veracruz ","2005","General","Entre.10.y.14",13
"Yucatan","2005","General","Entre.10.y.14",5
"Zacatecas ","2005","General","Entre.10.y.14",389
"Aguascalientes ","2006","General","Entre.10.y.14",321
"Baja California ","2006","General","Entre.10.y.14",10
"Baja California Sur","2006","General","Entre.10.y.14",14
"Campeche ","2006","General","Entre.10.y.14",3
"Coahuila ","2006","General","Entre.10.y.14",12
"Colima ","2006","General","Entre.10.y.14",1132
"Chiapas ","2006","General","Entre.10.y.14",21
"Chihuahua ","2006","General","Entre.10.y.14",33
"Distrito Federal ","2006","General","Entre.10.y.14",60
"Durango ","2006","General","Entre.10.y.14",762
"Guanajuato ","2006","General","Entre.10.y.14",4081
"Guerrero ","2006","General","Entre.10.y.14",5602
"Hidalgo ","2006","General","Entre.10.y.14",18
"Jalisco ","2006","General","Entre.10.y.14",7309
"Mexico","2006","General","Entre.10.y.14",1053
"Michoacan","2006","General","Entre.10.y.14",4365
"Morelos ","2006","General","Entre.10.y.14",4037
"Nayarit ","2006","General","Entre.10.y.14",1792
"Nuevo Leon","2006","General","Entre.10.y.14",12
"Oaxaca ","2006","General","Entre.10.y.14",656
"Puebla ","2006","General","Entre.10.y.14",2385
"Queretaro","2006","General","Entre.10.y.14",418
"Quintana Roo ","2006","General","Entre.10.y.14",4
"San Luis Potosi","2006","General","Entre.10.y.14",32
"Sinaloa ","2006","General","Entre.10.y.14",875
"Sonora ","2006","General","Entre.10.y.14",529
"Tabasco ","2006","General","Entre.10.y.14",2
"Tamaulipas ","2006","General","Entre.10.y.14",31
"Tlaxcala ","2006","General","Entre.10.y.14",6
"Veracruz ","2006","General","Entre.10.y.14",25
"Yucatan","2006","General","Entre.10.y.14",8
"Zacatecas ","2006","General","Entre.10.y.14",452
"Aguascalientes ","2007","General","Entre.10.y.14",270
"Baja California ","2007","General","Entre.10.y.14",11
"Baja California Sur","2007","General","Entre.10.y.14",10
"Campeche ","2007","General","Entre.10.y.14",4
"Coahuila ","2007","General","Entre.10.y.14",20
"Colima ","2007","General","Entre.10.y.14",979
"Chiapas ","2007","General","Entre.10.y.14",32
"Chihuahua ","2007","General","Entre.10.y.14",50
"Distrito Federal ","2007","General","Entre.10.y.14",63
"Durango ","2007","General","Entre.10.y.14",764
"Guanajuato ","2007","General","Entre.10.y.14",4004
"Guerrero ","2007","General","Entre.10.y.14",5240
"Hidalgo ","2007","General","Entre.10.y.14",10
"Jalisco ","2007","General","Entre.10.y.14",6747
"Mexico","2007","General","Entre.10.y.14",886
"Michoacan","2007","General","Entre.10.y.14",3712
"Morelos ","2007","General","Entre.10.y.14",3865
"Nayarit ","2007","General","Entre.10.y.14",1764
"Nuevo Leon","2007","General","Entre.10.y.14",11
"Oaxaca ","2007","General","Entre.10.y.14",662
"Puebla ","2007","General","Entre.10.y.14",1966
"Queretaro","2007","General","Entre.10.y.14",343
"Quintana Roo ","2007","General","Entre.10.y.14",7
"San Luis Potosi","2007","General","Entre.10.y.14",31
"Sinaloa ","2007","General","Entre.10.y.14",870
"Sonora ","2007","General","Entre.10.y.14",541
"Tabasco ","2007","General","Entre.10.y.14",2
"Tamaulipas ","2007","General","Entre.10.y.14",21
"Tlaxcala ","2007","General","Entre.10.y.14",3
"Veracruz ","2007","General","Entre.10.y.14",24
"Yucatan","2007","General","Entre.10.y.14",6
"Zacatecas ","2007","General","Entre.10.y.14",463
"Aguascalientes ","2008","General","Entre.10.y.14",272
"Baja California ","2008","General","Entre.10.y.14",11
"Baja California Sur","2008","General","Entre.10.y.14",8
"Campeche ","2008","General","Entre.10.y.14",15
"Coahuila ","2008","General","Entre.10.y.14",14
"Colima ","2008","General","Entre.10.y.14",1020
"Chiapas ","2008","General","Entre.10.y.14",31
"Chihuahua ","2008","General","Entre.10.y.14",34
"Distrito Federal ","2008","General","Entre.10.y.14",60
"Durango ","2008","General","Entre.10.y.14",691
"Guanajuato ","2008","General","Entre.10.y.14",3508
"Guerrero ","2008","General","Entre.10.y.14",5513
"Hidalgo ","2008","General","Entre.10.y.14",29
"Jalisco ","2008","General","Entre.10.y.14",6326
"Mexico","2008","General","Entre.10.y.14",1114
"Michoacan","2008","General","Entre.10.y.14",4016
"Morelos ","2008","General","Entre.10.y.14",3488
"Nayarit ","2008","General","Entre.10.y.14",1673
"Nuevo Leon","2008","General","Entre.10.y.14",11
"Oaxaca ","2008","General","Entre.10.y.14",704
"Puebla ","2008","General","Entre.10.y.14",1863
"Queretaro","2008","General","Entre.10.y.14",459
"Quintana Roo ","2008","General","Entre.10.y.14",7
"San Luis Potosi","2008","General","Entre.10.y.14",41
"Sinaloa ","2008","General","Entre.10.y.14",847
"Sonora ","2008","General","Entre.10.y.14",481
"Tabasco ","2008","General","Entre.10.y.14",3
"Tamaulipas ","2008","General","Entre.10.y.14",30
"Tlaxcala ","2008","General","Entre.10.y.14",3
"Veracruz ","2008","General","Entre.10.y.14",18
"Yucatan","2008","General","Entre.10.y.14",5
"Zacatecas ","2008","General","Entre.10.y.14",435
"Aguascalientes ","2009","General","Entre.10.y.14",251
"Baja California ","2009","General","Entre.10.y.14",24
"Baja California Sur","2009","General","Entre.10.y.14",8
"Campeche ","2009","General","Entre.10.y.14",3
"Coahuila ","2009","General","Entre.10.y.14",19
"Colima ","2009","General","Entre.10.y.14",957
"Chiapas ","2009","General","Entre.10.y.14",21
"Chihuahua ","2009","General","Entre.10.y.14",42
"Distrito Federal ","2009","General","Entre.10.y.14",54
"Durango ","2009","General","Entre.10.y.14",639
"Guanajuato ","2009","General","Entre.10.y.14",3378
"Guerrero ","2009","General","Entre.10.y.14",6194
"Hidalgo ","2009","General","Entre.10.y.14",20
"Jalisco ","2009","General","Entre.10.y.14",6164
"Mexico","2009","General","Entre.10.y.14",1244
"Michoacan","2009","General","Entre.10.y.14",4091
"Morelos ","2009","General","Entre.10.y.14",3610
"Nayarit ","2009","General","Entre.10.y.14",1607
"Nuevo Leon","2009","General","Entre.10.y.14",26
"Oaxaca ","2009","General","Entre.10.y.14",646
"Puebla ","2009","General","Entre.10.y.14",1786
"Queretaro","2009","General","Entre.10.y.14",402
"Quintana Roo ","2009","General","Entre.10.y.14",11
"San Luis Potosi","2009","General","Entre.10.y.14",33
"Sinaloa ","2009","General","Entre.10.y.14",974
"Sonora ","2009","General","Entre.10.y.14",513
"Tabasco ","2009","General","Entre.10.y.14",3
"Tamaulipas ","2009","General","Entre.10.y.14",23
"Tlaxcala ","2009","General","Entre.10.y.14",5
"Veracruz ","2009","General","Entre.10.y.14",20
"Yucatan","2009","General","Entre.10.y.14",4
"Zacatecas ","2009","General","Entre.10.y.14",403
"Aguascalientes ","2010","General","Entre.10.y.14",263
"Baja California ","2010","General","Entre.10.y.14",12
"Baja California Sur","2010","General","Entre.10.y.14",8
"Campeche ","2010","General","Entre.10.y.14",5
"Coahuila ","2010","General","Entre.10.y.14",19
"Colima ","2010","General","Entre.10.y.14",956
"Chiapas ","2010","General","Entre.10.y.14",24
"Chihuahua ","2010","General","Entre.10.y.14",48
"Distrito Federal ","2010","General","Entre.10.y.14",56
"Durango ","2010","General","Entre.10.y.14",720
"Guanajuato ","2010","General","Entre.10.y.14",3704
"Guerrero ","2010","General","Entre.10.y.14",6127
"Hidalgo ","2010","General","Entre.10.y.14",18
"Jalisco ","2010","General","Entre.10.y.14",5805
"Mexico","2010","General","Entre.10.y.14",1103
"Michoacan","2010","General","Entre.10.y.14",3820
"Morelos ","2010","General","Entre.10.y.14",3468
"Nayarit ","2010","General","Entre.10.y.14",1448
"Nuevo Leon","2010","General","Entre.10.y.14",17
"Oaxaca ","2010","General","Entre.10.y.14",609
"Puebla ","2010","General","Entre.10.y.14",1761
"Queretaro","2010","General","Entre.10.y.14",434
"Quintana Roo ","2010","General","Entre.10.y.14",13
"San Luis Potosi","2010","General","Entre.10.y.14",12
"Sinaloa ","2010","General","Entre.10.y.14",918
"Sonora ","2010","General","Entre.10.y.14",437
"Tabasco ","2010","General","Entre.10.y.14",7
"Tamaulipas ","2010","General","Entre.10.y.14",16
"Tlaxcala ","2010","General","Entre.10.y.14",10
"Veracruz ","2010","General","Entre.10.y.14",13
"Yucatan","2010","General","Entre.10.y.14",4
"Zacatecas ","2010","General","Entre.10.y.14",402
"Aguascalientes ","2011","General","Entre.10.y.14",271
"Baja California ","2011","General","Entre.10.y.14",15
"Baja California Sur","2011","General","Entre.10.y.14",7
"Campeche ","2011","General","Entre.10.y.14",9
"Coahuila ","2011","General","Entre.10.y.14",17
"Colima ","2011","General","Entre.10.y.14",1095
"Chiapas ","2011","General","Entre.10.y.14",25
"Chihuahua ","2011","General","Entre.10.y.14",50
"Distrito Federal ","2011","General","Entre.10.y.14",59
"Durango ","2011","General","Entre.10.y.14",779
"Guanajuato ","2011","General","Entre.10.y.14",3964
"Guerrero ","2011","General","Entre.10.y.14",6505
"Hidalgo ","2011","General","Entre.10.y.14",27
"Jalisco ","2011","General","Entre.10.y.14",5719
"Mexico","2011","General","Entre.10.y.14",1313
"Michoacan","2011","General","Entre.10.y.14",3655
"Morelos ","2011","General","Entre.10.y.14",4029
"Nayarit ","2011","General","Entre.10.y.14",1348
"Nuevo Leon","2011","General","Entre.10.y.14",19
"Oaxaca ","2011","General","Entre.10.y.14",581
"Puebla ","2011","General","Entre.10.y.14",1645
"Queretaro","2011","General","Entre.10.y.14",516
"Quintana Roo ","2011","General","Entre.10.y.14",10
"San Luis Potosi","2011","General","Entre.10.y.14",21
"Sinaloa ","2011","General","Entre.10.y.14",1001
"Sonora ","2011","General","Entre.10.y.14",622
"Tabasco ","2011","General","Entre.10.y.14",6
"Tamaulipas ","2011","General","Entre.10.y.14",30
"Tlaxcala ","2011","General","Entre.10.y.14",7
"Veracruz ","2011","General","Entre.10.y.14",23
"Yucatan","2011","General","Entre.10.y.14",8
"Zacatecas ","2011","General","Entre.10.y.14",376
"Aguascalientes ","2012","General","Entre.10.y.14",292
"Baja California ","2012","General","Entre.10.y.14",19
"Baja California Sur","2012","General","Entre.10.y.14",10
"Campeche ","2012","General","Entre.10.y.14",3
"Coahuila ","2012","General","Entre.10.y.14",26
"Colima ","2012","General","Entre.10.y.14",964
"Chiapas ","2012","General","Entre.10.y.14",26
"Chihuahua ","2012","General","Entre.10.y.14",46
"Distrito Federal ","2012","General","Entre.10.y.14",59
"Durango ","2012","General","Entre.10.y.14",823
"Guanajuato ","2012","General","Entre.10.y.14",4695
"Guerrero ","2012","General","Entre.10.y.14",6987
"Hidalgo ","2012","General","Entre.10.y.14",34
"Jalisco ","2012","General","Entre.10.y.14",5967
"Mexico","2012","General","Entre.10.y.14",1440
"Michoacan","2012","General","Entre.10.y.14",3797
"Morelos ","2012","General","Entre.10.y.14",3753
"Nayarit ","2012","General","Entre.10.y.14",1503
"Nuevo Leon","2012","General","Entre.10.y.14",18
"Oaxaca ","2012","General","Entre.10.y.14",548
"Puebla ","2012","General","Entre.10.y.14",1708
"Queretaro","2012","General","Entre.10.y.14",448
"Quintana Roo ","2012","General","Entre.10.y.14",7
"San Luis Potosi","2012","General","Entre.10.y.14",38
"Sinaloa ","2012","General","Entre.10.y.14",1005
"Sonora ","2012","General","Entre.10.y.14",673
"Tabasco ","2012","General","Entre.10.y.14",3
"Tamaulipas ","2012","General","Entre.10.y.14",35
"Tlaxcala ","2012","General","Entre.10.y.14",5
"Veracruz ","2012","General","Entre.10.y.14",21
"Yucatan","2012","General","Entre.10.y.14",4
"Zacatecas ","2012","General","Entre.10.y.14",383
"Aguascalientes ","2013","General","Entre.10.y.14",211
"Baja California ","2013","General","Entre.10.y.14",10
"Baja California Sur","2013","General","Entre.10.y.14",10
"Campeche ","2013","General","Entre.10.y.14",2
"Coahuila ","2013","General","Entre.10.y.14",24
"Colima ","2013","General","Entre.10.y.14",1020
"Chiapas ","2013","General","Entre.10.y.14",25
"Chihuahua ","2013","General","Entre.10.y.14",45
"Distrito Federal ","2013","General","Entre.10.y.14",53
"Durango ","2013","General","Entre.10.y.14",999
"Guanajuato ","2013","General","Entre.10.y.14",4221
"Guerrero ","2013","General","Entre.10.y.14",7323
"Hidalgo ","2013","General","Entre.10.y.14",23
"Jalisco ","2013","General","Entre.10.y.14",5764
"Mexico","2013","General","Entre.10.y.14",1407
"Michoacan","2013","General","Entre.10.y.14",3976
"Morelos ","2013","General","Entre.10.y.14",3663
"Nayarit ","2013","General","Entre.10.y.14",1588
"Nuevo Leon","2013","General","Entre.10.y.14",14
"Oaxaca ","2013","General","Entre.10.y.14",581
"Puebla ","2013","General","Entre.10.y.14",1384
"Queretaro","2013","General","Entre.10.y.14",460
"Quintana Roo ","2013","General","Entre.10.y.14",4
"San Luis Potosi","2013","General","Entre.10.y.14",25
"Sinaloa ","2013","General","Entre.10.y.14",998
"Sonora ","2013","General","Entre.10.y.14",641
"Tabasco ","2013","General","Entre.10.y.14",1
"Tamaulipas ","2013","General","Entre.10.y.14",52
"Tlaxcala ","2013","General","Entre.10.y.14",4
"Veracruz ","2013","General","Entre.10.y.14",8
"Yucatan","2013","General","Entre.10.y.14",1
"Zacatecas ","2013","General","Entre.10.y.14",456
"Aguascalientes ","2003","General","Entre.15.y.19",187
"Baja California ","2003","General","Entre.15.y.19",4
"Baja California Sur","2003","General","Entre.15.y.19",7
"Campeche ","2003","General","Entre.15.y.19",7
"Coahuila ","2003","General","Entre.15.y.19",14
"Colima ","2003","General","Entre.15.y.19",1319
"Chiapas ","2003","General","Entre.15.y.19",17
"Chihuahua ","2003","General","Entre.15.y.19",48
"Distrito Federal ","2003","General","Entre.15.y.19",29
"Durango ","2003","General","Entre.15.y.19",687
"Guanajuato ","2003","General","Entre.15.y.19",3086
"Guerrero ","2003","General","Entre.15.y.19",2646
"Hidalgo ","2003","General","Entre.15.y.19",31
"Jalisco ","2003","General","Entre.15.y.19",5921
"Mexico","2003","General","Entre.15.y.19",599
"Michoacan","2003","General","Entre.15.y.19",3476
"Morelos ","2003","General","Entre.15.y.19",3285
"Nayarit ","2003","General","Entre.15.y.19",1795
"Nuevo Leon","2003","General","Entre.15.y.19",66
"Oaxaca ","2003","General","Entre.15.y.19",459
"Puebla ","2003","General","Entre.15.y.19",1864
"Queretaro","2003","General","Entre.15.y.19",421
"Quintana Roo ","2003","General","Entre.15.y.19",8
"San Luis Potosi","2003","General","Entre.15.y.19",23
"Sinaloa ","2003","General","Entre.15.y.19",746
"Sonora ","2003","General","Entre.15.y.19",606
"Tabasco ","2003","General","Entre.15.y.19",5
"Tamaulipas ","2003","General","Entre.15.y.19",48
"Tlaxcala ","2003","General","Entre.15.y.19",4
"Veracruz ","2003","General","Entre.15.y.19",24
"Yucatan","2003","General","Entre.15.y.19",6
"Zacatecas ","2003","General","Entre.15.y.19",445
"Aguascalientes ","2004","General","Entre.15.y.19",352
"Baja California ","2004","General","Entre.15.y.19",9
"Baja California Sur","2004","General","Entre.15.y.19",10
"Campeche ","2004","General","Entre.15.y.19",4
"Coahuila ","2004","General","Entre.15.y.19",14
"Colima ","2004","General","Entre.15.y.19",1280
"Chiapas ","2004","General","Entre.15.y.19",15
"Chihuahua ","2004","General","Entre.15.y.19",32
"Distrito Federal ","2004","General","Entre.15.y.19",33
"Durango ","2004","General","Entre.15.y.19",666
"Guanajuato ","2004","General","Entre.15.y.19",2963
"Guerrero ","2004","General","Entre.15.y.19",3328
"Hidalgo ","2004","General","Entre.15.y.19",28
"Jalisco ","2004","General","Entre.15.y.19",5751
"Mexico","2004","General","Entre.15.y.19",611
"Michoacan","2004","General","Entre.15.y.19",2968
"Morelos ","2004","General","Entre.15.y.19",2849
"Nayarit ","2004","General","Entre.15.y.19",1704
"Nuevo Leon","2004","General","Entre.15.y.19",18
"Oaxaca ","2004","General","Entre.15.y.19",428
"Puebla ","2004","General","Entre.15.y.19",1731
"Queretaro","2004","General","Entre.15.y.19",375
"Quintana Roo ","2004","General","Entre.15.y.19",9
"San Luis Potosi","2004","General","Entre.15.y.19",29
"Sinaloa ","2004","General","Entre.15.y.19",870
"Sonora ","2004","General","Entre.15.y.19",549
"Tabasco ","2004","General","Entre.15.y.19",2
"Tamaulipas ","2004","General","Entre.15.y.19",27
"Tlaxcala ","2004","General","Entre.15.y.19",4
"Veracruz ","2004","General","Entre.15.y.19",23
"Yucatan","2004","General","Entre.15.y.19",9
"Zacatecas ","2004","General","Entre.15.y.19",328
"Aguascalientes ","2005","General","Entre.15.y.19",220
"Baja California ","2005","General","Entre.15.y.19",12
"Baja California Sur","2005","General","Entre.15.y.19",13
"Campeche ","2005","General","Entre.15.y.19",2
"Coahuila ","2005","General","Entre.15.y.19",15
"Colima ","2005","General","Entre.15.y.19",1223
"Chiapas ","2005","General","Entre.15.y.19",30
"Chihuahua ","2005","General","Entre.15.y.19",26
"Distrito Federal ","2005","General","Entre.15.y.19",48
"Durango ","2005","General","Entre.15.y.19",728
"Guanajuato ","2005","General","Entre.15.y.19",3167
"Guerrero ","2005","General","Entre.15.y.19",3814
"Hidalgo ","2005","General","Entre.15.y.19",41
"Jalisco ","2005","General","Entre.15.y.19",6022
"Mexico","2005","General","Entre.15.y.19",665
"Michoacan","2005","General","Entre.15.y.19",3422
"Morelos ","2005","General","Entre.15.y.19",3554
"Nayarit ","2005","General","Entre.15.y.19",1537
"Nuevo Leon","2005","General","Entre.15.y.19",11
"Oaxaca ","2005","General","Entre.15.y.19",543
"Puebla ","2005","General","Entre.15.y.19",2007
"Queretaro","2005","General","Entre.15.y.19",376
"Quintana Roo ","2005","General","Entre.15.y.19",16
"San Luis Potosi","2005","General","Entre.15.y.19",32
"Sinaloa ","2005","General","Entre.15.y.19",684
"Sonora ","2005","General","Entre.15.y.19",555
"Tabasco ","2005","General","Entre.15.y.19",5
"Tamaulipas ","2005","General","Entre.15.y.19",20
"Tlaxcala ","2005","General","Entre.15.y.19",3
"Veracruz ","2005","General","Entre.15.y.19",14
"Yucatan","2005","General","Entre.15.y.19",6
"Zacatecas ","2005","General","Entre.15.y.19",374
"Aguascalientes ","2006","General","Entre.15.y.19",253
"Baja California ","2006","General","Entre.15.y.19",13
"Baja California Sur","2006","General","Entre.15.y.19",20
"Campeche ","2006","General","Entre.15.y.19",5
"Coahuila ","2006","General","Entre.15.y.19",14
"Colima ","2006","General","Entre.15.y.19",1273
"Chiapas ","2006","General","Entre.15.y.19",33
"Chihuahua ","2006","General","Entre.15.y.19",25
"Distrito Federal ","2006","General","Entre.15.y.19",46
"Durango ","2006","General","Entre.15.y.19",800
"Guanajuato ","2006","General","Entre.15.y.19",3787
"Guerrero ","2006","General","Entre.15.y.19",4791
"Hidalgo ","2006","General","Entre.15.y.19",24
"Jalisco ","2006","General","Entre.15.y.19",6977
"Mexico","2006","General","Entre.15.y.19",833
"Michoacan","2006","General","Entre.15.y.19",4024
"Morelos ","2006","General","Entre.15.y.19",3584
"Nayarit ","2006","General","Entre.15.y.19",1733
"Nuevo Leon","2006","General","Entre.15.y.19",18
"Oaxaca ","2006","General","Entre.15.y.19",533
"Puebla ","2006","General","Entre.15.y.19",2157
"Queretaro","2006","General","Entre.15.y.19",471
"Quintana Roo ","2006","General","Entre.15.y.19",10
"San Luis Potosi","2006","General","Entre.15.y.19",33
"Sinaloa ","2006","General","Entre.15.y.19",835
"Sonora ","2006","General","Entre.15.y.19",523
"Tabasco ","2006","General","Entre.15.y.19",1
"Tamaulipas ","2006","General","Entre.15.y.19",31
"Tlaxcala ","2006","General","Entre.15.y.19",7
"Veracruz ","2006","General","Entre.15.y.19",22
"Yucatan","2006","General","Entre.15.y.19",6
"Zacatecas ","2006","General","Entre.15.y.19",475
"Aguascalientes ","2007","General","Entre.15.y.19",276
"Baja California ","2007","General","Entre.15.y.19",20
"Baja California Sur","2007","General","Entre.15.y.19",12
"Campeche ","2007","General","Entre.15.y.19",5
"Coahuila ","2007","General","Entre.15.y.19",25
"Colima ","2007","General","Entre.15.y.19",1258
"Chiapas ","2007","General","Entre.15.y.19",40
"Chihuahua ","2007","General","Entre.15.y.19",29
"Distrito Federal ","2007","General","Entre.15.y.19",58
"Durango ","2007","General","Entre.15.y.19",833
"Guanajuato ","2007","General","Entre.15.y.19",4001
"Guerrero ","2007","General","Entre.15.y.19",4521
"Hidalgo ","2007","General","Entre.15.y.19",15
"Jalisco ","2007","General","Entre.15.y.19",6566
"Mexico","2007","General","Entre.15.y.19",777
"Michoacan","2007","General","Entre.15.y.19",3553
"Morelos ","2007","General","Entre.15.y.19",3779
"Nayarit ","2007","General","Entre.15.y.19",1922
"Nuevo Leon","2007","General","Entre.15.y.19",24
"Oaxaca ","2007","General","Entre.15.y.19",625
"Puebla ","2007","General","Entre.15.y.19",1880
"Queretaro","2007","General","Entre.15.y.19",387
"Quintana Roo ","2007","General","Entre.15.y.19",12
"San Luis Potosi","2007","General","Entre.15.y.19",43
"Sinaloa ","2007","General","Entre.15.y.19",903
"Sonora ","2007","General","Entre.15.y.19",519
"Tabasco ","2007","General","Entre.15.y.19",6
"Tamaulipas ","2007","General","Entre.15.y.19",30
"Tlaxcala ","2007","General","Entre.15.y.19",10
"Veracruz ","2007","General","Entre.15.y.19",32
"Yucatan","2007","General","Entre.15.y.19",3
"Zacatecas ","2007","General","Entre.15.y.19",480
"Aguascalientes ","2008","General","Entre.15.y.19",311
"Baja California ","2008","General","Entre.15.y.19",14
"Baja California Sur","2008","General","Entre.15.y.19",19
"Campeche ","2008","General","Entre.15.y.19",7
"Coahuila ","2008","General","Entre.15.y.19",21
"Colima ","2008","General","Entre.15.y.19",1318
"Chiapas ","2008","General","Entre.15.y.19",42
"Chihuahua ","2008","General","Entre.15.y.19",42
"Distrito Federal ","2008","General","Entre.15.y.19",56
"Durango ","2008","General","Entre.15.y.19",801
"Guanajuato ","2008","General","Entre.15.y.19",3482
"Guerrero ","2008","General","Entre.15.y.19",4919
"Hidalgo ","2008","General","Entre.15.y.19",20
"Jalisco ","2008","General","Entre.15.y.19",6525
"Mexico","2008","General","Entre.15.y.19",1006
"Michoacan","2008","General","Entre.15.y.19",3814
"Morelos ","2008","General","Entre.15.y.19",3671
"Nayarit ","2008","General","Entre.15.y.19",1917
"Nuevo Leon","2008","General","Entre.15.y.19",16
"Oaxaca ","2008","General","Entre.15.y.19",715
"Puebla ","2008","General","Entre.15.y.19",1977
"Queretaro","2008","General","Entre.15.y.19",440
"Quintana Roo ","2008","General","Entre.15.y.19",6
"San Luis Potosi","2008","General","Entre.15.y.19",25
"Sinaloa ","2008","General","Entre.15.y.19",1027
"Sonora ","2008","General","Entre.15.y.19",497
"Tabasco ","2008","General","Entre.15.y.19",9
"Tamaulipas ","2008","General","Entre.15.y.19",24
"Tlaxcala ","2008","General","Entre.15.y.19",7
"Veracruz ","2008","General","Entre.15.y.19",25
"Yucatan","2008","General","Entre.15.y.19",5
"Zacatecas ","2008","General","Entre.15.y.19",473
"Aguascalientes ","2009","General","Entre.15.y.19",259
"Baja California ","2009","General","Entre.15.y.19",23
"Baja California Sur","2009","General","Entre.15.y.19",11
"Campeche ","2009","General","Entre.15.y.19",10
"Coahuila ","2009","General","Entre.15.y.19",35
"Colima ","2009","General","Entre.15.y.19",1258
"Chiapas ","2009","General","Entre.15.y.19",31
"Chihuahua ","2009","General","Entre.15.y.19",40
"Distrito Federal ","2009","General","Entre.15.y.19",46
"Durango ","2009","General","Entre.15.y.19",765
"Guanajuato ","2009","General","Entre.15.y.19",3527
"Guerrero ","2009","General","Entre.15.y.19",6054
"Hidalgo ","2009","General","Entre.15.y.19",18
"Jalisco ","2009","General","Entre.15.y.19",6735
"Mexico","2009","General","Entre.15.y.19",1277
"Michoacan","2009","General","Entre.15.y.19",4269
"Morelos ","2009","General","Entre.15.y.19",3962
"Nayarit ","2009","General","Entre.15.y.19",1902
"Nuevo Leon","2009","General","Entre.15.y.19",20
"Oaxaca ","2009","General","Entre.15.y.19",671
"Puebla ","2009","General","Entre.15.y.19",1961
"Queretaro","2009","General","Entre.15.y.19",410
"Quintana Roo ","2009","General","Entre.15.y.19",12
"San Luis Potosi","2009","General","Entre.15.y.19",27
"Sinaloa ","2009","General","Entre.15.y.19",1027
"Sonora ","2009","General","Entre.15.y.19",485
"Tabasco ","2009","General","Entre.15.y.19",4
"Tamaulipas ","2009","General","Entre.15.y.19",23
"Tlaxcala ","2009","General","Entre.15.y.19",6
"Veracruz ","2009","General","Entre.15.y.19",28
"Yucatan","2009","General","Entre.15.y.19",6
"Zacatecas ","2009","General","Entre.15.y.19",430
"Aguascalientes ","2010","General","Entre.15.y.19",331
