"Estado","Menor.a.1","Entre.1.y.4","Entre.5.y.9","Entre.10.y.14","Entre.15.y.19","Entre.20.y.24","Entre.25.y.44","Entre.45.y.49","Entre.50.y.59","Entre.60.y.64","Mayor.a.65","Ign","Total","Ano","Tipo"
"Colima ",37,613,747,964,1412,1368,4035,627,1071,347,743,151,12115,"2012","General"
"Chiapas ",4,16,10,26,40,41,120,17,26,9,22,0,331,"2012","General"
"Chihuahua ",11,66,48,46,50,44,137,29,20,9,25,0,485,"2012","General"
"Distrito Federal ",1,22,40,59,58,48,129,25,41,19,12,1,455,"2012","General"
"Durango ",48,523,659,823,1058,937,2247,469,545,216,420,0,7945,"2012","General"
"Guanajuato ",206,2920,3866,4695,3980,3626,9675,1663,2323,773,1745,18,35490,"2012","General"
"Guerrero ",384,4939,6192,6987,7258,5735,14566,2607,4089,1514,3619,32,57922,"2012","General"
"Hidalgo ",3,16,14,34,19,22,72,21,19,11,18,0,249,"2012","General"
"Jalisco ",320,4025,4969,5967,6010,5921,15533,2591,3983,1456,2999,82,53856,"2012","General"
"Mexico",84,1164,1303,1440,1322,1081,2343,397,613,225,554,254,10780,"2012","General"
"Michoacan",292,2941,3355,3797,4250,3982,8904,1753,2307,983,1802,9,34375,"2012","General"
"Morelos ",112,2418,3297,3753,3974,3536,8464,1596,2479,866,1821,39,32355,"2012","General"
"Nayarit ",104,1061,1392,1503,1827,1752,4581,864,1257,497,1066,5,15909,"2012","General"
"Nuevo Leon",2,13,16,18,24,39,85,11,18,5,8,0,239,"2012","General"
"Oaxaca ",21,369,490,548,631,507,1294,328,446,195,574,7,5410,"2012","General"
"Puebla ",69,1018,1417,1708,1892,1641,3616,822,1231,549,1367,12,15342,"2012","General"
"Queretaro",14,300,366,448,569,633,2026,358,488,139,301,0,5642,"2012","General"
"Quintana Roo ",2,5,9,7,11,19,32,9,6,1,4,2,107,"2012","General"
"San Luis Potosi",0,23,27,38,35,43,118,22,39,12,49,0,406,"2012","General"
"Sinaloa ",56,751,882,1005,1078,1090,2935,607,936,397,807,6,10550,"2012","General"
"Sonora ",62,601,684,673,638,589,1609,314,520,175,295,6,6166,"2012","General"
"Tabasco ",1,6,5,3,3,18,30,1,8,1,0,0,76,"2012","General"
"Tamaulipas ",8,44,39,35,43,53,169,30,43,14,39,1,518,"2012","General"
"Tlaxcala ",0,3,1,5,4,12,17,3,6,2,4,1,58,"2012","General"
"Veracruz ",1,24,12,21,28,29,75,12,36,9,22,0,269,"2012","General"
"Yucatan",0,3,8,4,4,8,21,1,5,3,2,0,59,"2012","General"
"Zacatecas ",11,248,329,383,375,389,913,196,269,130,321,4,3568,"2012","General"
"Total",1868,24308,30420,35340,36983,33502,84558,15493,23026,8632,18799,630,313559,"2012","General"
"Aguascalientes ",14,145,205,211,272,228,493,117,139,64,134,0,2022,"2013","General"
"Baja California ",2,16,16,10,15,21,55,4,9,2,2,0,152,"2013","General"
"Baja California Sur",1,5,5,10,4,10,15,3,7,1,0,0,61,"2013","General"
"Campeche ",0,4,7,2,4,8,29,3,8,4,6,0,75,"2013","General"
"Coahuila ",4,17,12,24,21,34,81,8,14,3,7,0,225,"2013","General"
"Colima ",59,603,751,1020,1391,1330,3843,676,1011,353,676,4,11717,"2013","General"
"Chiapas ",2,15,30,25,17,30,121,23,51,11,24,0,349,"2013","General"
"Chihuahua ",8,48,43,45,40,36,105,22,24,9,17,0,397,"2013","General"
"Distrito Federal ",4,32,62,53,65,66,169,34,39,13,21,0,558,"2013","General"
"Durango ",68,591,750,999,1194,1113,2781,516,691,311,602,0,9616,"2013","General"
"Guanajuato ",205,2721,3574,4221,3731,3371,9234,1484,2215,770,1802,21,33349,"2013","General"
"Guerrero ",354,4994,6172,7323,7764,6362,15676,3059,4522,1725,4108,47,62106,"2013","General"
"Hidalgo ",1,15,31,23,26,28,67,10,17,9,10,0,237,"2013","General"
"Jalisco ",362,4248,4910,5764,5969,5782,15693,2618,4154,1457,3284,62,54303,"2013","General"
"Mexico",67,1142,1438,1407,1359,1176,2747,494,740,286,651,131,11638,"2013","General"
"Michoacan",219,3139,3478,3976,4086,4001,9373,1846,2453,931,1908,116,35526,"2013","General"
"Morelos ",96,2312,3147,3663,3975,3595,9130,1775,2818,1045,2151,61,33768,"2013","General"
"Nayarit ",229,1177,1349,1588,1653,1816,4423,990,1285,658,1118,68,16354,"2013","General"
"Nuevo Leon",2,9,14,14,14,15,75,8,13,3,12,0,179,"2013","General"
"Oaxaca ",23,409,517,581,591,563,1395,323,505,220,572,7,5706,"2013","General"
"Puebla ",70,927,1133,1384,1609,1436,3357,768,1138,504,1165,7,13498,"2013","General"
"Queretaro",23,268,313,460,602,712,2064,306,513,163,329,0,5753,"2013","General"
"Quintana Roo ",1,13,5,4,14,15,45,7,12,1,6,1,124,"2013","General"
"San Luis Potosi",4,20,25,25,39,43,113,18,41,15,35,0,378,"2013","General"
"Sinaloa ",51,695,809,998,1071,1047,2904,624,936,352,711,5,10203,"2013","General"
"Sonora ",68,625,616,641,619,550,1517,300,484,161,298,6,5885,"2013","General"
"Tabasco ",0,4,5,1,3,5,14,2,4,1,1,0,40,"2013","General"
"Tamaulipas ",5,44,34,52,49,45,152,27,40,15,36,1,500,"2013","General"
"Tlaxcala ",0,1,3,4,5,6,15,7,6,2,3,0,52,"2013","General"
"Veracruz ",4,12,19,8,27,29,84,14,24,9,14,0,244,"2013","General"
"Yucatan",0,2,3,1,6,6,9,2,7,3,4,0,43,"2013","General"
"Zacatecas ",22,278,347,456,495,443,1062,262,305,154,362,2,4188,"2013","General"
"Total",1968,24531,29823,34993,36730,33922,86841,16350,24225,9255,20069,539,319246,"2013","General"
"Aguascalientes ",7,76,118,134,104,64,155,23,57,23,54,0,815,"2003","Hombres"
"Baja California ",1,6,2,2,2,1,10,1,1,1,0,0,27,"2003","Hombres"
"Baja California Sur",0,5,2,5,2,5,14,2,4,0,1,0,40,"2003","Hombres"
"Campeche ",0,6,1,0,2,0,4,1,0,0,0,0,14,"2003","Hombres"
"Coahuila ",1,4,5,3,3,5,12,0,1,0,0,0,34,"2003","Hombres"
"Colima ",35,340,459,677,706,600,1653,281,394,159,301,22,5627,"2003","Hombres"
"Chiapas ",2,13,10,6,7,6,26,4,4,2,5,0,85,"2003","Hombres"
"Chihuahua ",11,35,28,27,18,13,37,16,9,8,8,1,211,"2003","Hombres"
"Distrito Federal ",1,8,19,17,17,17,37,6,6,0,1,0,129,"2003","Hombres"
"Durango ",15,206,294,357,359,287,727,150,174,86,147,2,2804,"2003","Hombres"
"Guanajuato ",106,1116,1351,1564,1490,1218,2712,488,531,237,474,13,11300,"2003","Hombres"
"Guerrero ",155,1461,1807,1906,1460,1056,2331,513,665,340,622,8,12324,"2003","Hombres"
"Hidalgo ",2,6,25,10,14,8,29,5,5,3,13,0,120,"2003","Hombres"
"Jalisco ",212,2431,2897,3401,3182,2319,6018,925,1571,712,1371,37,25076,"2003","Hombres"
"Mexico",64,440,522,495,297,175,482,101,119,55,101,1,2852,"2003","Hombres"
"Michoacan",151,1552,1915,2278,1811,1195,2987,554,776,343,840,8,14410,"2003","Hombres"
"Morelos ",162,1667,1807,2145,1703,1476,3537,752,1008,528,1005,29,15819,"2003","Hombres"
"Nayarit ",71,659,853,1117,1072,813,2063,399,539,261,565,5,8417,"2003","Hombres"
"Nuevo Leon",1,13,32,37,27,36,55,14,3,2,3,0,223,"2003","Hombres"
"Oaxaca ",16,193,271,301,206,134,343,76,119,60,159,4,1882,"2003","Hombres"
"Puebla ",41,708,965,1205,931,569,1446,359,517,237,611,5,7594,"2003","Hombres"
"Queretaro",43,242,244,273,194,246,585,58,98,40,94,1,2118,"2003","Hombres"
"Quintana Roo ",1,3,4,6,2,5,8,3,3,0,1,0,36,"2003","Hombres"
"San Luis Potosi",0,10,16,18,12,14,24,5,8,4,9,0,120,"2003","Hombres"
"Sinaloa ",58,436,445,425,331,252,715,156,191,117,233,5,3364,"2003","Hombres"
"Sonora ",604,1086,497,394,223,264,813,121,246,103,360,0,4711,"2003","Hombres"
"Tabasco ",0,1,1,2,2,3,6,1,0,0,0,0,16,"2003","Hombres"
"Tamaulipas ",2,19,23,24,23,32,70,12,14,2,7,1,229,"2003","Hombres"
"Tlaxcala ",0,2,1,2,3,2,6,1,0,0,0,0,17,"2003","Hombres"
"Veracruz ",4,13,8,15,7,9,22,6,7,3,10,0,104,"2003","Hombres"
"Yucatan",0,6,2,2,2,2,2,2,3,2,0,0,23,"2003","Hombres"
"Zacatecas ",8,119,157,217,227,126,315,48,96,43,122,4,1482,"2003","Hombres"
"Total",1774,12882,14781,17065,14439,10952,27244,5083,7169,3371,7117,146,122023,"2003","Hombres"
"Aguascalientes ",11,178,298,349,256,187,451,59,111,67,131,1,2099,"2004","Hombres"
"Baja California ",6,5,5,2,4,5,10,2,2,0,0,0,41,"2004","Hombres"
"Baja California Sur",2,4,7,4,3,7,14,1,0,0,0,0,42,"2004","Hombres"
"Campeche ",1,2,2,1,0,3,3,0,0,0,0,0,12,"2004","Hombres"
"Coahuila ",3,5,7,8,7,9,21,2,4,2,2,0,70,"2004","Hombres"
"Colima ",27,348,469,716,695,604,1662,276,389,178,340,17,5721,"2004","Hombres"
"Chiapas ",2,11,14,9,8,19,37,7,13,3,4,0,127,"2004","Hombres"
"Chihuahua ",4,20,26,21,12,28,47,6,12,3,7,0,186,"2004","Hombres"
"Distrito Federal ",0,13,25,20,15,19,46,7,6,2,5,0,158,"2004","Hombres"
"Durango ",5,203,278,367,342,267,678,125,175,82,148,2,2672,"2004","Hombres"
"Guanajuato ",103,1056,1243,1495,1387,1155,2730,402,557,266,449,7,10850,"2004","Hombres"
"Guerrero ",161,1707,2081,2312,1749,1211,2861,567,792,453,803,19,14716,"2004","Hombres"
"Hidalgo ",2,6,16,16,16,14,25,5,8,2,5,0,115,"2004","Hombres"
"Jalisco ",244,2306,2693,3278,3040,2284,5957,1034,1514,696,1442,21,24509,"2004","Hombres"
"Mexico",38,355,476,512,322,194,448,123,90,51,111,2,2722,"2004","Hombres"
"Michoacan",223,1305,1717,1838,1513,1064,2309,440,635,272,638,3,11957,"2004","Hombres"
"Morelos ",156,1380,1614,1819,1546,1274,2924,632,877,383,880,20,13505,"2004","Hombres"
"Nayarit ",71,610,828,1004,999,718,2119,470,573,292,517,4,8205,"2004","Hombres"
"Nuevo Leon",1,6,11,6,9,11,26,7,9,5,4,0,95,"2004","Hombres"
"Oaxaca ",11,164,239,247,194,135,303,82,95,61,155,5,1691,"2004","Hombres"
"Puebla ",50,586,846,1061,897,590,1374,312,513,227,575,12,7043,"2004","Hombres"
"Queretaro",39,204,157,243,216,202,569,63,100,22,72,1,1888,"2004","Hombres"
"Quintana Roo ",0,4,10,3,7,2,15,1,1,0,2,0,45,"2004","Hombres"
"San Luis Potosi",2,15,12,16,13,12,31,12,5,5,14,0,137,"2004","Hombres"
"Sinaloa ",48,396,457,494,393,354,928,165,223,129,264,4,3855,"2004","Hombres"
"Sonora ",45,362,332,276,239,210,512,94,116,47,101,3,2337,"2004","Hombres"
"Tabasco ",0,2,1,2,0,0,2,3,0,0,1,0,11,"2004","Hombres"
"Tamaulipas ",1,12,10,16,11,12,34,4,7,1,3,0,111,"2004","Hombres"
"Tlaxcala ",0,3,0,2,3,4,5,0,0,0,2,0,19,"2004","Hombres"
"Veracruz ",1,6,6,9,10,7,23,1,12,1,4,0,80,"2004","Hombres"
"Yucatan",0,1,0,1,1,2,1,0,1,1,0,0,8,"2004","Hombres"
"Zacatecas ",6,114,162,151,174,99,277,49,79,52,117,3,1283,"2004","Hombres"
"Total",1263,11389,14042,16298,14081,10702,26442,4951,6919,3303,6796,124,116310,"2004","Hombres"
"Aguascalientes ",4,86,115,153,98,60,171,32,58,20,56,0,853,"2005","Hombres"
"Baja California ",1,8,12,8,4,13,14,2,7,2,0,0,71,"2005","Hombres"
"Baja California Sur",3,5,2,5,7,6,23,1,2,0,2,0,56,"2005","Hombres"
"Campeche ",1,1,0,2,1,2,4,0,1,0,0,0,12,"2005","Hombres"
"Coahuila ",2,7,6,6,7,8,18,4,7,1,5,0,71,"2005","Hombres"
"Colima ",27,317,432,606,654,547,1559,232,364,157,304,19,5218,"2005","Hombres"
"Chiapas ",4,17,8,12,12,8,35,10,8,6,8,0,128,"2005","Hombres"
"Chihuahua ",4,13,23,14,11,14,33,12,8,2,9,0,143,"2005","Hombres"
"Distrito Federal ",2,15,22,19,26,19,41,10,10,3,2,1,170,"2005","Hombres"
"Durango ",10,220,334,409,349,284,686,148,165,62,122,0,2789,"2005","Hombres"
"Guanajuato ",98,1234,1472,1710,1477,1311,3008,425,628,247,511,5,12126,"2005","Hombres"
"Guerrero ",143,1858,2403,2618,1942,1286,3286,676,939,443,898,14,16506,"2005","Hombres"
"Hidalgo ",0,4,11,12,17,9,25,5,4,4,8,0,99,"2005","Hombres"
"Jalisco ",215,2399,2897,3530,3102,2358,5984,922,1521,652,1467,24,25071,"2005","Hombres"
"Mexico",30,403,495,512,330,187,470,93,135,57,116,2,2830,"2005","Hombres"
"Michoacan",110,1392,1792,2115,1749,1139,2812,516,731,329,748,10,13443,"2005","Hombres"
"Morelos ",138,1583,2067,2049,1777,1349,3569,758,1035,477,934,28,15764,"2005","Hombres"
"Nayarit ",62,589,809,890,863,721,1863,410,504,234,446,6,7397,"2005","Hombres"
"Nuevo Leon",1,4,8,2,7,11,17,4,8,1,2,0,65,"2005","Hombres"
"Oaxaca ",15,171,265,337,243,127,382,83,157,64,185,1,2030,"2005","Hombres"
"Puebla ",43,726,967,1165,967,607,1551,380,587,234,631,2,7860,"2005","Hombres"
"Queretaro",20,166,190,221,180,196,553,51,96,31,78,0,1782,"2005","Hombres"
"Quintana Roo ",2,5,0,8,6,8,27,3,6,1,2,0,68,"2005","Hombres"
"San Luis Potosi",0,14,9,12,16,6,44,7,8,3,11,1,131,"2005","Hombres"
"Sinaloa ",31,320,374,362,303,248,703,136,226,83,214,5,3005,"2005","Hombres"
"Sonora ",48,375,312,263,222,189,472,96,131,45,102,0,2255,"2005","Hombres"
"Tabasco ",0,1,1,2,5,3,6,1,4,0,0,0,23,"2005","Hombres"
"Tamaulipas ",1,11,17,14,7,16,36,5,12,1,4,1,125,"2005","Hombres"
"Tlaxcala ",0,5,3,2,1,1,7,0,0,0,1,0,20,"2005","Hombres"
"Veracruz ",2,8,1,6,5,18,18,7,8,1,2,0,76,"2005","Hombres"
"Yucatan",0,2,1,2,2,1,13,3,1,0,4,0,29,"2005","Hombres"
"Zacatecas ",10,140,176,200,198,130,302,83,97,39,113,0,1488,"2005","Hombres"
"Total",1027,12099,15224,17266,14588,10882,27732,5115,7468,3199,6985,119,121704,"2005","Hombres"
"Aguascalientes ",4,85,103,189,110,75,229,37,67,23,83,0,1005,"2006","Hombres"
"Baja California ",0,4,3,7,6,3,21,1,2,0,0,0,47,"2006","Hombres"
"Baja California Sur",0,7,5,8,9,6,12,1,6,2,4,0,60,"2006","Hombres"
"Campeche ",0,0,0,1,1,1,4,0,0,0,0,0,7,"2006","Hombres"
"Coahuila ",0,0,10,4,6,6,26,2,5,3,2,0,64,"2006","Hombres"
"Colima ",27,333,408,646,681,624,1673,245,377,164,298,19,5495,"2006","Hombres"
"Chiapas ",1,9,10,9,16,4,21,6,9,5,6,0,96,"2006","Hombres"
"Chihuahua ",3,29,30,13,11,13,32,10,10,3,11,0,165,"2006","Hombres"
"Distrito Federal ",3,21,17,30,13,20,57,9,17,4,6,0,197,"2006","Hombres"
"Durango ",20,226,341,416,384,282,748,133,166,75,151,0,2942,"2006","Hombres"
"Guanajuato ",91,1346,1823,2157,1786,1519,3712,498,782,332,762,2,14810,"2006","Hombres"
"Guerrero ",197,2200,2853,3110,2581,1685,4218,795,1275,580,1365,11,20870,"2006","Hombres"
"Hidalgo ",0,9,16,7,11,6,36,7,14,5,8,0,119,"2006","Hombres"
"Jalisco ",241,2640,3283,4052,3609,2774,7532,1261,1932,865,1952,53,30194,"2006","Hombres"
"Mexico",40,420,525,594,434,238,577,125,142,79,144,1,3319,"2006","Hombres"
"Michoacan",139,1658,2060,2356,2086,1373,3317,640,874,379,888,11,15781,"2006","Hombres"
"Morelos ",81,1495,1886,2193,1838,1379,3625,844,1109,551,1040,23,16064,"2006","Hombres"
"Nayarit ",62,557,743,983,936,756,2043,353,569,269,512,3,7786,"2006","Hombres"
"Nuevo Leon",1,4,5,7,10,13,23,5,3,1,3,0,75,"2006","Hombres"
"Oaxaca ",20,238,259,340,231,132,383,96,146,75,227,5,2152,"2006","Hombres"
"Puebla ",39,713,918,1264,1087,659,1572,439,602,278,672,6,8249,"2006","Hombres"
"Queretaro",25,174,196,194,230,194,653,80,96,37,60,0,1939,"2006","Hombres"
"Quintana Roo ",2,5,5,2,7,6,29,2,5,2,1,0,66,"2006","Hombres"
"San Luis Potosi",3,15,12,18,19,10,48,7,14,10,7,1,164,"2006","Hombres"
"Sinaloa ",25,306,389,444,376,296,766,167,243,114,274,2,3402,"2006","Hombres"
"Sonora ",30,340,318,259,180,151,366,64,84,31,71,1,1895,"2006","Hombres"
"Tabasco ",0,1,0,2,0,1,4,0,0,0,0,0,8,"2006","Hombres"
"Tamaulipas ",0,19,15,14,15,11,46,8,11,0,3,0,142,"2006","Hombres"
"Tlaxcala ",0,2,2,3,3,2,3,1,0,0,0,0,16,"2006","Hombres"
"Veracruz ",2,15,8,11,11,8,25,3,3,2,8,1,97,"2006","Hombres"
"Yucatan",0,2,4,3,3,2,6,1,0,0,5,0,26,"2006","Hombres"
"Zacatecas ",8,181,259,239,212,165,425,81,94,58,168,4,1894,"2006","Hombres"
"Total",1064,13054,16506,19575,16902,12414,32232,5921,8657,3947,8731,143,139146,"2006","Hombres"
"Aguascalientes ",3,78,126,148,128,79,192,24,60,19,83,0,940,"2007","Hombres"
"Baja California ",0,5,5,9,11,2,26,2,4,0,0,1,65,"2007","Hombres"
"Baja California Sur",0,8,9,4,5,4,18,3,4,2,0,0,57,"2007","Hombres"
"Campeche ",0,1,2,1,2,1,6,0,1,0,0,0,14,"2007","Hombres"
"Coahuila ",0,6,9,9,10,11,19,3,6,1,4,0,78,"2007","Hombres"
"Colima ",18,257,392,560,669,600,1624,274,428,167,337,9,5335,"2007","Hombres"
"Chiapas ",0,12,9,16,19,12,40,9,14,6,6,0,143,"2007","Hombres"
"Chihuahua ",4,28,31,22,14,14,46,6,9,4,13,0,191,"2007","Hombres"
"Distrito Federal ",1,19,24,32,26,18,54,8,11,0,9,0,202,"2007","Hombres"
"Durango ",37,257,348,399,399,319,813,150,192,78,156,3,3151,"2007","Hombres"
"Guanajuato ",116,1227,1773,2081,1904,1470,3817,552,854,315,729,2,14840,"2007","Hombres"
"Guerrero ",183,1989,2572,2955,2252,1497,3918,729,1172,525,1215,8,19015,"2007","Hombres"
"Hidalgo ",1,4,15,7,6,3,10,3,2,2,2,0,55,"2007","Hombres"
"Jalisco ",175,2271,3248,3624,3438,2574,6966,1197,1775,779,1754,47,27848,"2007","Hombres"
"Mexico",25,412,499,507,404,223,585,122,167,67,155,0,3166,"2007","Hombres"
"Michoacan",112,1405,1785,2069,1777,1217,2901,564,739,315,770,7,13661,"2007","Hombres"
"Morelos ",84,1508,1923,2067,1978,1380,3687,859,1259,588,1049,21,16403,"2007","Hombres"
"Nayarit ",70,603,816,975,1063,864,2286,470,628,326,611,4,8716,"2007","Hombres"
"Nuevo Leon",0,7,15,8,9,4,24,2,6,2,3,0,80,"2007","Hombres"
"Oaxaca ",16,255,292,347,256,176,408,93,157,68,235,0,2303,"2007","Hombres"
"Puebla ",35,607,805,1036,880,591,1318,329,499,229,629,2,6960,"2007","Hombres"
"Queretaro",24,158,179,174,214,151,576,51,110,42,60,0,1739,"2007","Hombres"
"Quintana Roo ",2,7,8,3,5,3,17,1,3,1,1,0,51,"2007","Hombres"
"San Luis Potosi",3,10,20,14,15,8,27,5,14,5,10,0,131,"2007","Hombres"
"Sinaloa ",26,311,387,465,422,305,868,169,264,103,291,8,3619,"2007","Hombres"
"Sonora ",34,354,278,258,188,171,416,87,101,30,109,1,2027,"2007","Hombres"
"Tabasco ",0,3,2,1,3,3,3,0,2,1,2,0,20,"2007","Hombres"
"Tamaulipas ",1,14,16,12,9,17,44,3,6,2,10,0,134,"2007","Hombres"
"Tlaxcala ",0,1,3,1,6,2,10,1,1,0,1,0,26,"2007","Hombres"
"Veracruz ",2,26,16,12,15,11,39,8,18,3,9,0,159,"2007","Hombres"
"Yucatan",0,3,1,5,2,1,9,2,0,0,1,0,24,"2007","Hombres"
"Zacatecas ",8,169,210,253,209,166,409,94,132,77,194,1,1922,"2007","Hombres"
"Total",980,12015,15818,18074,16338,11897,31176,5820,8638,3757,8448,114,133075,"2007","Hombres"
"Aguascalientes ",4,78,109,149,144,100,204,42,60,28,82,0,1000,"2008","Hombres"
"Baja California ",1,4,5,6,8,10,27,4,3,0,1,0,69,"2008","Hombres"
"Baja California Sur",2,4,3,4,8,6,15,3,4,3,2,0,54,"2008","Hombres"
"Campeche ",4,10,6,8,5,4,14,4,6,1,2,0,64,"2008","Hombres"
"Coahuila ",0,7,14,7,9,6,23,3,5,1,2,0,77,"2008","Hombres"
"Colima ",22,320,434,585,700,659,1708,300,428,156,271,5,5588,"2008","Hombres"
"Chiapas ",4,14,12,18,17,14,40,14,18,6,12,0,169,"2008","Hombres"
"Chihuahua ",6,33,36,16,20,15,43,2,8,0,10,0,189,"2008","Hombres"
"Distrito Federal ",0,18,22,32,29,17,65,9,12,2,5,1,212,"2008","Hombres"
"Durango ",21,247,284,351,391,345,783,176,196,79,147,0,3020,"2008","Hombres"
"Guanajuato ",104,1227,1676,1894,1649,1356,3216,495,694,402,696,2,13411,"2008","Hombres"
"Guerrero ",146,2010,2713,3010,2520,1569,3984,771,1155,485,1273,7,19643,"2008","Hombres"
"Hidalgo ",0,3,8,20,10,8,32,3,8,2,9,0,103,"2008","Hombres"
"Jalisco ",184,2307,3069,3444,3341,2655,6896,1200,1746,756,1647,35,27280,"2008","Hombres"
"Mexico",24,518,607,611,502,311,729,152,215,88,197,1,3955,"2008","Hombres"
"Michoacan",124,1475,1876,2152,1901,1332,3345,591,817,357,852,8,14830,"2008","Hombres"
"Morelos ",91,1419,1863,1945,1823,1354,3402,895,1140,484,957,11,15384,"2008","Hombres"
"Nayarit ",40,551,687,920,1070,786,2291,406,639,257,598,3,8248,"2008","Hombres"
"Nuevo Leon",3,12,8,3,9,6,42,6,6,2,2,0,99,"2008","Hombres"
"Oaxaca ",18,246,287,368,323,199,466,109,160,85,254,1,2516,"2008","Hombres"
"Puebla ",30,635,892,971,946,616,1407,355,510,239,631,2,7234,"2008","Hombres"
"Queretaro",24,167,171,229,215,171,602,68,97,33,82,0,1859,"2008","Hombres"
"Quintana Roo ",0,3,3,6,4,6,4,2,2,0,1,0,31,"2008","Hombres"
"San Luis Potosi",1,11,13,13,8,8,30,5,10,8,7,0,114,"2008","Hombres"
"Sinaloa ",36,332,384,435,461,359,947,206,272,112,281,0,3825,"2008","Hombres"
"Sonora ",34,252,231,231,158,132,361,70,84,37,65,1,1656,"2008","Hombres"
"Tabasco ",0,1,2,2,3,2,7,0,2,0,1,0,20,"2008","Hombres"
"Tamaulipas ",2,17,14,18,9,14,37,4,4,2,4,0,125,"2008","Hombres"
"Tlaxcala ",0,1,0,1,2,3,13,1,0,0,0,0,21,"2008","Hombres"
"Veracruz ",2,10,11,8,13,7,24,1,12,1,4,0,93,"2008","Hombres"
"Yucatan",0,3,2,3,0,2,16,0,2,0,1,0,29,"2008","Hombres"
"Zacatecas ",12,170,182,232,234,200,446,102,125,74,180,5,1962,"2008","Hombres"
"Total",939,12105,15624,17692,16532,12272,31219,5999,8440,3700,8276,82,132880,"2008","Hombres"
"Aguascalientes ",3,68,97,139,120,106,215,36,49,43,63,0,939,"2009","Hombres"
"Baja California ",2,7,6,14,10,14,33,1,3,1,5,0,96,"2009","Hombres"
"Baja California Sur",0,6,3,7,4,4,14,2,7,1,4,0,52,"2009","Hombres"
"Campeche ",0,2,0,2,2,7,12,1,2,2,2,0,32,"2009","Hombres"
"Coahuila ",0,13,12,9,12,10,23,2,4,0,1,0,86,"2009","Hombres"
"Colima ",25,309,367,535,667,663,1690,325,436,180,297,3,5497,"2009","Hombres"
"Chiapas ",1,19,14,13,12,14,38,6,16,4,8,0,145,"2009","Hombres"
"Chihuahua ",3,34,20,26,27,15,35,10,4,5,7,0,186,"2009","Hombres"
"Distrito Federal ",0,11,20,33,23,29,67,8,12,1,10,0,214,"2009","Hombres"
"Durango ",21,201,259,330,376,302,774,129,185,65,148,0,2790,"2009","Hombres"
"Guanajuato ",73,1078,1451,1738,1632,1244,2941,521,661,244,594,0,12177,"2009","Hombres"
"Guerrero ",138,2305,3012,3517,3198,2065,5282,988,1566,619,1608,16,24314,"2009","Hombres"
"Hidalgo ",0,5,5,9,6,5,27,4,13,1,5,0,80,"2009","Hombres"
"Jalisco ",186,2246,3053,3372,3587,2941,7903,1234,2058,852,1834,39,29305,"2009","Hombres"
"Mexico",45,515,714,697,624,416,867,169,224,106,253,1,4631,"2009","Hombres"
"Michoacan",144,1582,2013,2183,2116,1630,4003,714,1028,419,1004,5,16841,"2009","Hombres"
"Morelos ",65,1499,1867,1949,1973,1601,3986,900,1454,559,1138,30,17021,"2009","Hombres"
"Nayarit ",55,533,695,881,1076,870,2355,460,624,299,640,2,8490,"2009","Hombres"
"Nuevo Leon",0,10,9,15,5,13,45,8,6,5,3,0,119,"2009","Hombres"
"Oaxaca ",21,200,282,321,303,201,464,126,206,83,248,2,2457,"2009","Hombres"
"Puebla ",43,595,842,946,1013,676,1528,370,568,260,588,1,7430,"2009","Hombres"
"Queretaro",18,173,186,201,210,182,631,81,118,38,84,0,1922,"2009","Hombres"
"Quintana Roo ",0,7,7,7,6,12,25,6,1,2,5,0,78,"2009","Hombres"
"San Luis Potosi",2,10,18,16,12,10,37,6,20,2,9,0,142,"2009","Hombres"
"Sinaloa ",50,377,421,484,459,396,955,226,353,155,326,1,4203,"2009","Hombres"
"Sonora ",27,280,269,261,177,141,385,76,102,29,82,7,1836,"2009","Hombres"
"Tabasco ",0,1,4,3,2,1,5,1,2,1,2,0,22,"2009","Hombres"
"Tamaulipas ",3,19,12,11,7,12,27,8,7,3,5,3,117,"2009","Hombres"
"Tlaxcala ",0,4,3,4,2,2,6,1,3,0,3,0,28,"2009","Hombres"
"Veracruz ",4,9,6,9,15,13,33,9,12,12,16,0,138,"2009","Hombres"
"Yucatan",0,1,1,1,4,1,3,2,2,1,0,0,16,"2009","Hombres"
"Zacatecas ",4,128,200,219,199,168,429,107,137,54,168,9,1822,"2009","Hombres"
"Total",933,12247,15868,17952,17879,13764,34838,6537,9883,4046,9160,119,143226,"2009","Hombres"
"Aguascalientes ",2,74,112,137,153,102,244,40,64,27,71,0,1026,"2010","Hombres"
"Baja California ",0,5,10,10,2,12,7,4,9,0,3,0,62,"2010","Hombres"
"Baja California Sur",0,2,2,6,5,4,10,0,2,1,0,0,32,"2010","Hombres"
"Campeche ",0,1,1,3,6,3,8,1,3,1,4,1,32,"2010","Hombres"
"Coahuila ",0,7,15,10,7,12,46,1,9,0,0,1,108,"2010","Hombres"
"Colima ",17,313,401,531,701,728,1838,323,486,204,374,12,5928,"2010","Hombres"
"Chiapas ",2,11,9,10,14,13,33,7,15,3,14,0,131,"2010","Hombres"
"Chihuahua ",3,25,19,20,14,22,46,7,18,1,9,0,184,"2010","Hombres"
"Distrito Federal ",0,23,26,24,32,18,69,16,15,5,6,0,234,"2010","Hombres"
"Durango ",17,226,315,398,416,420,985,176,219,99,177,0,3448,"2010","Hombres"
