"Estado","Menor.a.1","Entre.1.y.4","Entre.5.y.9","Entre.10.y.14","Entre.15.y.19","Entre.20.y.24","Entre.25.y.44","Entre.45.y.49","Entre.50.y.59","Entre.60.y.64","Mayor.a.65","Ign","Total","Ano","Tipo"
"Campeche ",2,3,2,3,2,5,12,2,2,2,1,0,36,"2005","General"
"Coahuila ",4,11,10,15,15,20,40,6,8,1,5,0,135,"2005","General"
"Colima ",47,555,767,1097,1223,1020,3027,479,672,264,546,29,9726,"2005","General"
"Chiapas ",6,31,14,26,30,29,90,23,15,11,11,0,286,"2005","General"
"Chihuahua ",6,36,48,37,26,28,73,23,23,7,18,0,325,"2005","General"
"Distrito Federal ",3,33,42,51,48,50,106,16,28,7,9,1,394,"2005","General"
"Durango ",25,420,581,730,728,590,1591,300,374,136,300,0,5775,"2005","General"
"Guanajuato ",183,2207,2855,3342,3167,2943,7396,1061,1544,566,1142,13,26419,"2005","General"
"Guerrero ",307,3426,4394,4653,3814,2822,7376,1483,2121,891,1836,31,33154,"2005","General"
"Hidalgo ",3,12,16,33,41,23,67,12,17,10,16,0,250,"2005","General"
"Jalisco ",372,4279,5278,6485,6022,4985,13493,2077,3194,1279,2805,44,50313,"2005","General"
"Mexico",53,782,886,936,665,432,1144,210,253,142,252,2,5757,"2005","General"
"Michoacan",207,2617,3335,3814,3422,2543,6273,1150,1592,646,1422,15,27036,"2005","General"
"Morelos ",274,2964,3770,3788,3554,3061,7774,1536,2095,950,1748,45,31559,"2005","General"
"Nayarit ",115,1078,1442,1601,1537,1327,3476,744,889,403,723,131,13466,"2005","General"
"Nuevo Leon",3,8,10,4,11,18,42,7,14,1,4,0,122,"2005","General"
"Oaxaca ",25,341,527,677,543,354,1019,202,353,183,461,7,4692,"2005","General"
"Puebla ",99,1302,1834,2277,2007,1468,3566,853,1238,536,1390,5,16575,"2005","General"
"Queretaro",39,298,325,408,376,438,1281,136,243,66,163,0,3773,"2005","General"
"Quintana Roo ",2,9,7,12,16,21,51,6,13,3,2,0,142,"2005","General"
"San Luis Potosi",2,22,23,28,32,26,113,19,28,6,23,1,323,"2005","General"
"Sinaloa ",54,579,706,762,684,589,1884,331,567,206,417,6,6785,"2005","General"
"Sonora ",88,666,617,540,555,460,1317,259,325,148,273,0,5248,"2005","General"
"Tabasco ",0,1,1,3,5,5,15,1,7,0,0,0,38,"2005","General"
"Tamaulipas ",4,15,38,40,20,50,89,13,24,2,10,2,307,"2005","General"
"Tlaxcala ",1,5,5,4,3,4,12,1,0,0,2,0,37,"2005","General"
"Veracruz ",3,15,9,13,14,37,45,12,20,6,5,0,179,"2005","General"
"Yucatan",0,5,1,5,6,6,21,5,4,1,4,0,58,"2005","General"
"Zacatecas ",25,242,324,389,374,318,679,165,212,89,220,0,3037,"2005","General"
"Total",1964,22139,28116,32068,29185,23853,62581,11209,15990,6608,13931,332,247976,"2005","General"
"Aguascalientes ",5,142,200,321,253,162,509,92,141,45,130,0,2000,"2006","General"
"Baja California ",2,8,18,10,13,12,46,2,5,1,3,0,120,"2006","General"
"Baja California Sur",1,14,10,14,20,23,35,5,11,6,5,0,144,"2006","General"
"Campeche ",0,1,0,3,5,5,15,1,3,1,1,0,35,"2006","General"
"Coahuila ",0,4,16,12,14,19,59,4,12,5,3,0,148,"2006","General"
"Colima ",40,592,810,1132,1273,1167,3248,474,715,283,577,32,10343,"2006","General"
"Chiapas ",3,15,11,21,33,19,52,19,14,7,16,1,211,"2006","General"
"Chihuahua ",5,51,41,33,25,23,94,18,27,8,24,0,349,"2006","General"
"Distrito Federal ",4,36,37,60,46,39,146,20,35,6,20,0,449,"2006","General"
"Durango ",40,437,617,762,800,651,1636,287,388,150,292,10,6070,"2006","General"
"Guanajuato ",185,2435,3527,4081,3787,3338,8926,1301,1902,771,1650,6,31909,"2006","General"
"Guerrero ",369,4112,5224,5602,4791,3682,9561,1764,2763,1132,2600,125,41725,"2006","General"
"Hidalgo ",0,11,28,18,24,17,94,14,21,10,18,0,255,"2006","General"
"Jalisco ",419,4788,6165,7309,6977,5826,16190,2618,3963,1683,3624,100,59662,"2006","General"
"Mexico",70,773,953,1053,833,563,1367,264,318,163,351,3,6711,"2006","General"
"Michoacan",257,3040,3784,4365,4024,3032,7564,1420,1899,741,1658,15,31799,"2006","General"
"Morelos ",177,2755,3541,4037,3584,3010,7720,1684,2289,1012,1889,89,31787,"2006","General"
"Nayarit ",118,1048,1451,1792,1733,1468,3975,757,1046,450,860,3,14701,"2006","General"
"Nuevo Leon",1,10,15,12,18,22,70,11,9,3,4,0,175,"2006","General"
"Oaxaca ",33,420,506,656,533,416,1080,261,367,181,518,9,4980,"2006","General"
"Puebla ",81,1314,1826,2385,2157,1494,3713,940,1329,622,1484,7,17352,"2006","General"
"Queretaro",40,299,370,418,471,471,1535,186,246,89,150,0,4275,"2006","General"
"Quintana Roo ",3,7,7,4,10,15,64,11,9,3,3,1,137,"2006","General"
"San Luis Potosi",9,35,30,32,33,30,125,25,33,18,25,2,397,"2006","General"
"Sinaloa ",51,586,743,875,835,682,2017,385,601,251,527,130,7683,"2006","General"
"Sonora ",53,581,608,529,523,427,1101,191,295,99,234,2,4643,"2006","General"
"Tabasco ",1,2,0,2,1,3,12,3,2,1,0,0,27,"2006","General"
"Tamaulipas ",0,27,37,31,31,39,104,17,23,3,14,0,326,"2006","General"
"Tlaxcala ",0,2,2,6,7,5,12,2,2,0,1,0,39,"2006","General"
"Veracruz ",5,27,23,25,22,19,74,15,22,6,15,1,254,"2006","General"
"Yucatan",3,6,4,8,6,7,16,3,2,1,6,0,62,"2006","General"
"Zacatecas ",18,336,442,452,475,379,889,175,224,128,307,5,3830,"2006","General"
"Total",1993,23914,31046,36060,33357,27065,72049,12969,18716,7879,17009,541,282598,"2006","General"
"Aguascalientes ",9,146,221,270,276,179,449,69,112,45,157,0,1933,"2007","General"
"Baja California ",1,9,8,11,20,16,51,5,10,2,6,1,140,"2007","General"
"Baja California Sur",0,16,16,10,12,15,45,7,8,3,2,0,134,"2007","General"
"Campeche ",0,4,3,4,5,5,17,2,2,1,1,0,44,"2007","General"
"Coahuila ",2,14,17,20,25,21,60,6,8,2,10,0,185,"2007","General"
"Colima ",46,479,704,979,1258,1088,3108,538,811,289,556,18,9874,"2007","General"
"Chiapas ",0,17,17,32,40,27,99,21,28,9,16,0,306,"2007","General"
"Chihuahua ",9,49,53,50,29,33,106,13,21,5,22,0,390,"2007","General"
"Distrito Federal ",1,29,47,63,58,51,138,24,28,5,18,0,462,"2007","General"
"Durango ",67,469,677,764,833,668,1807,310,410,185,342,4,6536,"2007","General"
"Guanajuato ",192,2313,3358,4004,4001,3469,9145,1403,2021,723,1644,15,32288,"2007","General"
"Guerrero ",326,3697,4814,5240,4521,3441,8895,1608,2586,1068,2390,86,38672,"2007","General"
"Hidalgo ",2,7,24,10,15,16,38,13,8,6,11,0,150,"2007","General"
