"Estado","Total","Ene","Feb","Mar","Abr","May","Jun","Jul","Ago","Sep","Oct","Nov","Dic","Ano","Tipo"
"Mexico",10780,602,517,750,1153,1546,888,932,812,750,1303,902,625,"2012","General"
"Michoacan",34375,2232,1931,2478,2975,4671,3145,3122,2562,2587,3724,2799,2149,"2012","General"
"Morelos",32355,2094,2094,2840,3375,4352,2783,3096,2356,2490,3311,2123,1441,"2012","General"
"Nayarit",15909,1008,734,862,1098,1646,1709,1891,1355,1511,1918,1344,833,"2012","General"
"NuevoLeon",239,6,6,7,26,29,33,28,36,29,23,9,7,"2012","General"
"Oaxaca",5410,348,346,422,450,711,502,571,422,432,494,409,303,"2012","General"
"Puebla",15342,918,1026,1268,1477,2086,1369,1376,1103,1286,1432,1121,880,"2012","General"
"Queretaro",5642,240,211,305,527,867,632,608,477,505,710,307,253,"2012","General"
"QuintanaRoo",107,9,16,19,12,7,10,7,5,8,6,6,2,"2012","General"
"SanLuisPotosi",406,13,18,36,47,54,45,52,35,52,27,20,7,"2012","General"
"Sinaloa",10550,346,346,376,545,1036,1023,1370,1189,1345,1596,805,573,"2012","General"
"Sonora",6166,175,83,215,429,1042,1192,912,664,594,512,225,123,"2012","General"
"Tabasco",76,4,6,7,5,14,4,12,7,7,4,2,4,"2012","General"
"Tamaulipas",518,10,13,26,49,75,65,80,48,74,43,24,11,"2012","General"
"Tlaxcala",58,4,1,3,6,7,7,7,8,5,7,3,0,"2012","General"
"Veracruz",269,10,21,23,30,47,19,23,24,32,16,17,7,"2012","General"
"Yucatan",59,5,11,5,2,2,5,3,7,6,11,1,1,"2012","General"
"Zacatecas",3568,149,128,222,321,536,462,481,321,291,308,222,127,"2012","General"
"Total",313559,19588,17119,21739,27799,42713,31098,31371,24554,25774,32856,22673,16275,"2012","General"
"Aguascalientes",2022,98,81,158,209,364,208,221,150,198,189,88,58,"2013","General"
"BajaCalifornia",152,1,5,3,5,13,19,30,16,32,23,5,0,"2013","General"
"BajaCaliforniaSur",61,3,3,5,4,8,5,7,6,9,4,3,4,"2013","General"
"Campeche",75,2,9,9,3,6,11,8,6,9,7,4,1,"2013","General"
"Coahuila",225,4,1,5,17,48,39,34,27,36,13,0,1,"2013","General"
"Colima",11717,912,650,707,794,1061,1001,1186,971,1102,1554,968,811,"2013","General"
"Chiapas",349,34,23,37,34,53,30,36,32,14,18,21,17,"2013","General"
"Chihuahua",397,12,9,18,26,52,50,64,45,40,55,20,6,"2013","General"
"DistritoFederal",558,37,32,32,50,70,68,77,63,41,33,32,23,"2013","General"
"Durango",9616,304,377,639,894,1627,1429,1192,887,738,752,429,348,"2013","General"
"Guanajuato",33349,1538,1975,2384,4034,5412,3721,3377,2669,2394,2891,1699,1255,"2013","General"
"Guerrero",62106,4598,3475,3481,4689,6505,5717,5726,4255,4165,7441,7819,4235,"2013","General"
"Hidalgo",237,8,15,12,26,28,25,27,26,16,28,14,12,"2013","General"
"Jalisco",54303,3466,3123,3806,5467,7542,5357,5028,4027,4017,6009,3604,2857,"2013","General"
"Mexico",11638,719,555,573,952,1649,1147,952,803,874,1442,1136,836,"2013","General"
"Michoacan",35526,2479,2165,2282,3121,4502,3435,3320,2675,2550,3755,2932,2310,"2013","General"
"Morelos",33768,1769,1971,2354,3633,4518,3107,2905,2382,2433,3761,2733,2202,"2013","General"
"Nayarit",16354,989,682,974,1084,1291,1725,2113,1483,1413,2072,1553,975,"2013","General"
"NuevoLeon",179,2,3,4,19,35,26,34,23,14,14,2,3,"2013","General"
"Oaxaca",5706,392,363,394,505,663,548,557,387,389,560,502,446,"2013","General"
"Puebla",13498,1126,1073,1107,1355,1578,1127,1229,954,888,1252,1202,607,"2013","General"
"Queretaro",5753,323,352,368,612,855,579,632,471,425,576,311,249,"2013","General"
"QuintanaRoo",124,11,6,13,10,11,10,20,14,8,9,6,6,"2013","General"
"SanLuisPotosi",378,12,13,19,28,48,39,91,53,30,22,15,8,"2013","General"
"Sinaloa",10203,516,356,364,505,814,897,1223,1134,1317,1569,909,599,"2013","General"
"Sonora",5885,159,77,207,396,985,1174,925,658,576,462,187,79,"2013","General"
"Tabasco",40,3,5,2,5,4,4,3,3,6,3,2,0,"2013","General"
"Tamaulipas",500,15,27,38,58,67,71,82,54,28,32,19,9,"2013","General"
"Tlaxcala",52,1,1,3,5,8,5,7,6,6,2,4,4,"2013","General"
"Veracruz",244,10,18,23,22,34,21,33,21,13,31,10,8,"2013","General"
"Yucatan",43,2,3,3,8,2,6,2,7,4,4,0,2,"2013","General"
"Zacatecas",4188,134,147,230,355,558,501,571,373,400,442,267,210,"2013","General"
"Total",319246,19679,17595,20254,28925,40411,32102,31712,24681,24185,35025,26496,18181,"2013","General"
"Aguascalientes",815,35,48,77,82,124,82,70,63,68,86,47,33,"2003","Hombres"
"BajaCalifornia",27,2,2,0,0,1,4,2,3,7,3,3,0,"2003","Hombres"
"BajaCaliforniaSur",40,2,2,4,3,1,2,7,6,4,6,2,1,"2003","Hombres"
"Campeche",14,1,3,1,1,1,0,3,2,0,0,2,0,"2003","Hombres"
"Coahuila",34,0,0,1,3,2,4,14,2,7,1,0,0,"2003","Hombres"
"Colima",5627,459,377,309,477,345,511,616,460,528,667,474,404,"2003","Hombres"
"Chiapas",85,4,9,7,8,5,2,11,12,5,7,7,8,"2003","Hombres"
"Chihuahua",211,5,4,7,14,30,30,48,17,25,18,8,5,"2003","Hombres"
"DistritoFederal",129,7,7,12,10,10,12,18,9,12,14,10,8,"2003","Hombres"
"Durango",2804,80,65,123,286,430,386,361,274,257,217,172,153,"2003","Hombres"
"Guanajuato",11300,658,755,957,1862,1735,975,802,744,710,907,583,612,"2003","Hombres"
"Guerrero",12324,909,740,680,1014,942,966,1247,911,960,1340,1616,999,"2003","Hombres"
"Hidalgo",120,3,11,3,8,11,14,19,11,18,13,4,5,"2003","Hombres"
"Jalisco",25076,1973,1394,1718,2998,2541,2390,2498,1699,1751,2568,1865,1681,"2003","Hombres"
"Mexico",2852,142,123,122,302,267,297,218,169,214,348,323,327,"2003","Hombres"
"Michoacan",14410,962,896,1048,1454,1407,1426,1380,1013,1076,1543,1261,944,"2003","Hombres"
"Morelos",15819,806,847,1154,2246,1558,1578,1467,1059,1139,1731,1289,945,"2003","Hombres"
"Nayarit",8417,535,376,394,657,599,707,914,796,847,1227,746,619,"2003","Hombres"
"NuevoLeon",223,2,5,3,16,41,20,39,25,27,20,16,9,"2003","Hombres"
"Oaxaca",1882,151,125,147,249,173,183,199,116,122,164,149,104,"2003","Hombres"
"Puebla",7594,486,456,623,1025,752,673,730,597,520,656,605,471,"2003","Hombres"
"Queretaro",2118,96,108,174,263,268,236,202,149,157,194,160,111,"2003","Hombres"
"QuintanaRoo",36,0,0,5,3,0,6,1,2,5,8,1,5,"2003","Hombres"
"SanLuisPotosi",120,2,5,7,18,11,6,12,16,20,15,6,2,"2003","Hombres"
"Sinaloa",3364,167,135,136,207,221,284,438,429,429,512,245,161,"2003","Hombres"
"Sonora",4711,157,154,132,326,637,790,486,642,432,593,79,283,"2003","Hombres"
"Tabasco",16,0,1,0,2,2,0,1,1,2,4,3,0,"2003","Hombres"
"Tamaulipas",229,6,5,16,30,37,28,37,28,21,8,7,6,"2003","Hombres"
"Tlaxcala",17,0,0,3,3,3,1,3,4,0,0,0,0,"2003","Hombres"
"Veracruz",104,5,7,7,17,5,7,14,13,7,12,6,4,"2003","Hombres"
"Yucatan",23,1,3,1,1,0,0,6,4,2,5,0,0,"2003","Hombres"
"Zacatecas",1482,56,49,97,161,244,193,170,130,128,122,71,61,"2003","Hombres"
"Total",122023,7712,6712,7968,13746,12403,11813,12033,9406,9500,13009,9760,7961,"2003","Hombres"
"Aguascalientes",2099,60,91,158,246,252,254,178,256,192,179,146,87,"2004","Hombres"
"BajaCalifornia",41,0,1,4,3,6,5,5,5,9,2,1,0,"2004","Hombres"
"BajaCaliforniaSur",42,1,2,0,6,4,7,5,4,5,4,3,1,"2004","Hombres"
"Campeche",12,1,1,2,2,0,0,2,1,2,1,0,0,"2004","Hombres"
"Coahuila",70,2,4,3,1,9,17,6,10,4,4,8,2,"2004","Hombres"
"Colima",5721,300,281,435,401,409,654,511,610,560,629,588,343,"2004","Hombres"
"Chiapas",127,4,12,15,10,8,13,10,14,7,5,20,9,"2004","Hombres"
"Chihuahua",186,2,2,12,5,21,37,23,29,27,9,16,3,"2004","Hombres"
"DistritoFederal",158,9,4,9,14,20,21,21,23,10,10,14,3,"2004","Hombres"
"Durango",2672,71,86,161,186,349,440,340,322,199,234,181,103,"2004","Hombres"
"Guanajuato",10850,380,485,1043,1368,1354,1203,768,954,851,1003,979,462,"2004","Hombres"
"Guerrero",14716,956,887,1208,1054,1247,1667,1162,1325,1090,1358,1916,846,"2004","Hombres"
"Hidalgo",115,4,4,9,15,14,16,16,11,6,12,6,2,"2004","Hombres"
"Jalisco",24509,1409,1268,2176,2273,2472,3019,1818,2273,1935,2268,2253,1345,"2004","Hombres"
"Mexico",2722,104,134,226,278,305,305,215,239,198,243,338,137,"2004","Hombres"
"Michoacan",11957,585,609,1014,913,1101,1351,908,1202,937,1249,1402,686,"2004","Hombres"
"Morelos",13505,590,643,1321,1388,1471,1728,1023,1169,1036,1192,1322,622,"2004","Hombres"
"Nayarit",8205,394,406,530,448,574,1253,832,936,877,774,744,437,"2004","Hombres"
"NuevoLeon",95,3,0,4,4,10,10,6,29,13,9,6,1,"2004","Hombres"
"Oaxaca",1691,77,84,152,151,173,210,146,194,136,132,142,94,"2004","Hombres"
"Puebla",7043,364,367,724,734,747,804,592,661,481,519,615,435,"2004","Hombres"
"Queretaro",1888,78,50,148,168,206,280,168,212,147,171,187,73,"2004","Hombres"
"QuintanaRoo",45,4,5,3,4,8,6,4,4,3,3,0,1,"2004","Hombres"
"SanLuisPotosi",137,1,4,11,18,12,17,17,21,11,11,8,6,"2004","Hombres"
"Sinaloa",3855,130,113,217,206,306,519,418,601,502,384,293,166,"2004","Hombres"
"Sonora",2337,33,34,92,127,291,505,425,325,215,176,75,39,"2004","Hombres"
"Tabasco",11,0,0,5,0,0,2,3,1,0,0,0,0,"2004","Hombres"
"Tamaulipas",111,5,1,6,10,10,14,13,18,18,9,4,3,"2004","Hombres"
"Tlaxcala",19,0,1,2,1,1,1,4,1,3,4,1,0,"2004","Hombres"
"Veracruz",80,1,4,16,3,5,13,9,9,5,5,8,2,"2004","Hombres"
"Yucatan",8,0,1,0,1,0,0,1,1,0,4,0,0,"2004","Hombres"
"Zacatecas",1283,46,43,96,118,148,189,113,137,116,118,117,42,"2004","Hombres"
"Total",116310,5614,5627,9802,10156,11533,14560,9762,11597,9595,10721,11393,5950,"2004","Hombres"
"Aguascalientes",853,33,36,57,97,116,88,80,95,85,74,62,30,"2005","Hombres"
"BajaCalifornia",71,2,2,3,1,6,8,13,12,12,4,5,3,"2005","Hombres"
"BajaCaliforniaSur",56,0,5,2,1,9,8,9,11,5,2,4,0,"2005","Hombres"
"Campeche",12,0,3,3,2,1,0,0,2,0,0,1,0,"2005","Hombres"
"Coahuila",71,2,4,3,1,10,19,11,14,3,3,1,0,"2005","Hombres"
"Colima",5218,353,356,345,377,367,405,483,550,500,619,545,318,"2005","Hombres"
"Chiapas",128,7,11,13,9,19,17,6,8,7,10,12,9,"2005","Hombres"
"Chihuahua",143,6,2,7,11,19,12,6,29,24,17,7,3,"2005","Hombres"
"DistritoFederal",170,10,5,20,12,15,12,23,21,14,17,13,8,"2005","Hombres"
"Durango",2789,107,87,117,267,428,406,312,312,215,241,201,96,"2005","Hombres"
"Guanajuato",12126,404,691,922,1573,1852,1317,961,1011,894,905,931,665,"2005","Hombres"
"Guerrero",16506,853,959,1240,1314,1626,1361,1359,1638,1309,1698,2037,1112,"2005","Hombres"
"Hidalgo",99,2,4,3,8,13,11,12,20,10,6,6,4,"2005","Hombres"
"Jalisco",25071,1325,1368,2040,2408,3178,2321,2198,2282,2073,2288,2236,1354,"2005","Hombres"
"Mexico",2830,129,127,208,294,314,312,242,240,228,245,324,167,"2005","Hombres"
"Michoacan",13443,639,644,957,1143,1419,1183,1141,1251,1168,1402,1622,874,"2005","Hombres"
"Morelos",15764,557,822,1347,1615,1942,1310,1300,1385,1236,1815,1667,768,"2005","Hombres"
"Nayarit",7397,366,403,448,495,654,620,767,887,700,885,778,394,"2005","Hombres"
"NuevoLeon",65,0,2,2,4,4,6,13,8,7,7,9,3,"2005","Hombres"
"Oaxaca",2030,95,123,197,200,233,162,152,197,180,170,192,129,"2005","Hombres"
"Puebla",7860,395,496,862,863,916,683,603,669,609,624,676,464,"2005","Hombres"
"Queretaro",1782,70,85,112,168,261,221,153,159,197,156,120,80,"2005","Hombres"
"QuintanaRoo",68,3,5,8,3,6,7,7,8,6,8,4,3,"2005","Hombres"
"SanLuisPotosi",131,7,7,10,7,20,11,18,22,10,14,4,1,"2005","Hombres"
"Sinaloa",3005,140,122,165,177,242,248,306,466,370,338,310,121,"2005","Hombres"
"Sonora",2255,27,35,83,159,302,339,304,344,275,206,104,77,"2005","Hombres"
"Tabasco",23,0,0,0,1,12,2,1,2,1,3,1,0,"2005","Hombres"
"Tamaulipas",125,4,1,3,16,35,9,11,10,14,15,4,3,"2005","Hombres"
"Tlaxcala",20,0,1,3,0,1,4,2,2,3,4,0,0,"2005","Hombres"
"Veracruz",76,1,7,4,10,13,4,7,6,6,11,6,1,"2005","Hombres"
"Yucatan",29,0,0,0,0,2,6,1,5,1,11,0,3,"2005","Hombres"
"Zacatecas",1488,59,64,71,134,236,155,157,168,124,112,123,85,"2005","Hombres"
"Total",121704,5596,6477,9255,11370,14271,11267,10658,11834,10286,11910,12005,6775,"2005","Hombres"
"Aguascalientes",1005,60,39,87,161,141,79,81,86,98,85,46,42,"2006","Hombres"
"BajaCalifornia",47,0,0,0,3,5,2,10,8,12,6,1,0,"2006","Hombres"
"BajaCaliforniaSur",60,0,3,6,7,4,6,9,10,7,4,3,1,"2006","Hombres"
"Campeche",7,1,1,0,0,0,0,0,0,0,5,0,0,"2006","Hombres"
"Coahuila",64,0,1,2,3,7,14,5,8,11,10,3,0,"2006","Hombres"
"Colima",5495,427,343,349,396,521,504,456,565,546,600,501,287,"2006","Hombres"
"Chiapas",96,6,5,13,6,15,7,10,11,6,8,4,5,"2006","Hombres"
"Chihuahua",165,5,8,8,13,33,18,18,21,15,15,10,1,"2006","Hombres"
"DistritoFederal",197,12,5,12,16,41,18,13,22,23,16,9,10,"2006","Hombres"
"Durango",2942,73,127,170,300,479,383,313,300,286,232,144,135,"2006","Hombres"
"Guanajuato",14810,856,768,1343,2015,2335,1393,1106,1378,1036,1316,719,545,"2006","Hombres"
"Guerrero",20870,1293,1248,1484,1638,2231,1885,1517,1842,1601,2412,2212,1507,"2006","Hombres"
"Hidalgo",119,4,9,6,9,11,7,14,26,10,11,10,2,"2006","Hombres"
"Jalisco",30194,1940,1796,2296,3051,3600,2737,2307,2739,2342,3315,2483,1588,"2006","Hombres"
"Mexico",3319,150,189,226,272,488,274,194,275,277,393,367,214,"2006","Hombres"
"Michoacan",15781,1037,919,1128,1422,1843,1550,1160,1480,1184,1726,1364,968,"2006","Hombres"
"Morelos",16064,836,915,1227,1550,2270,1455,1151,1645,1293,1683,1221,818,"2006","Hombres"
"Nayarit",7786,395,378,412,491,676,707,779,991,772,1052,653,480,"2006","Hombres"
"NuevoLeon",75,3,1,1,18,7,8,7,11,10,7,2,0,"2006","Hombres"
"Oaxaca",2152,146,161,174,265,310,193,143,204,119,183,137,117,"2006","Hombres"
"Puebla",8249,546,595,735,876,1026,658,583,704,529,890,616,491,"2006","Hombres"
"Queretaro",1939,108,86,135,188,250,236,155,185,153,218,118,107,"2006","Hombres"
"QuintanaRoo",66,6,2,8,5,4,10,7,8,7,6,1,2,"2006","Hombres"
"SanLuisPotosi",164,9,6,7,11,18,21,21,32,16,14,6,3,"2006","Hombres"
"Sinaloa",3402,109,105,107,163,276,273,361,468,496,533,310,201,"2006","Hombres"
"Sonora",1895,44,73,57,142,255,299,285,307,183,149,63,38,"2006","Hombres"
"Tabasco",8,1,0,1,2,1,0,0,2,0,0,1,0,"2006","Hombres"
"Tamaulipas",142,3,5,8,14,22,17,20,24,18,9,1,1,"2006","Hombres"
"Tlaxcala",16,1,4,0,2,3,2,1,1,0,0,1,1,"2006","Hombres"
"Veracruz",97,6,6,7,12,8,3,15,16,12,7,3,2,"2006","Hombres"
"Yucatan",26,2,3,3,3,2,3,0,4,0,2,1,3,"2006","Hombres"
"Zacatecas",1894,86,96,146,230,277,172,186,250,138,164,73,76,"2006","Hombres"
"Total",139146,8165,7897,10158,13284,17159,12934,10927,13623,11200,15071,11083,7645,"2006","Hombres"
"Aguascalientes",940,36,41,74,118,125,112,105,76,81,90,54,28,"2007","Hombres"
"BajaCalifornia",65,1,0,1,3,5,10,9,9,15,8,3,1,"2007","Hombres"
"BajaCaliforniaSur",57,1,1,2,1,7,9,12,10,11,1,2,0,"2007","Hombres"
"Campeche",14,3,1,1,0,0,1,1,3,1,2,1,0,"2007","Hombres"
"Coahuila",78,0,4,2,7,6,9,18,17,6,6,3,0,"2007","Hombres"
"Colima",5335,437,322,337,365,337,407,612,477,520,681,451,389,"2007","Hombres"
"Chiapas",143,13,9,9,14,14,12,10,8,12,18,14,10,"2007","Hombres"
"Chihuahua",191,7,5,16,12,23,31,25,24,20,18,6,4,"2007","Hombres"
"DistritoFederal",202,16,14,10,21,26,25,26,20,8,24,8,4,"2007","Hombres"
"Durango",3151,101,122,174,357,501,449,416,276,248,261,165,81,"2007","Hombres"
"Guanajuato",14840,870,595,1272,2404,2420,1584,1438,958,888,1148,684,579,"2007","Hombres"
"Guerrero",19015,1390,1070,1313,1840,1553,1727,1781,1335,1563,2138,2046,1259,"2007","Hombres"
"Hidalgo",55,1,0,0,7,10,5,6,4,7,6,1,8,"2007","Hombres"
"Jalisco",27848,1825,1515,2299,3231,2799,2887,2784,2229,2270,2743,1899,1367,"2007","Hombres"
"Mexico",3166,201,153,211,353,342,322,265,232,248,363,287,189,"2007","Hombres"
"Michoacan",13661,1004,741,940,1311,1245,1248,1303,1126,1215,1619,1163,746,"2007","Hombres"
"Morelos",16403,1087,997,1276,2251,1753,1426,1605,1235,1279,1609,1059,826,"2007","Hombres"
"Nayarit",8716,555,387,461,700,645,917,1135,836,931,1053,654,442,"2007","Hombres"
"NuevoLeon",80,1,4,4,6,13,8,14,12,12,3,1,2,"2007","Hombres"
"Oaxaca",2303,160,163,198,302,211,191,246,172,167,201,164,128,"2007","Hombres"
"Puebla",6960,530,362,450,901,724,560,744,606,539,640,491,413,"2007","Hombres"
"Queretaro",1739,89,85,115,233,223,176,205,135,169,129,107,73,"2007","Hombres"
"QuintanaRoo",51,5,4,8,3,3,2,7,4,6,6,3,0,"2007","Hombres"
"SanLuisPotosi",131,4,1,13,11,5,19,20,20,15,11,9,3,"2007","Hombres"
"Sinaloa",3619,165,121,144,200,274,350,453,449,531,498,261,173,"2007","Hombres"
"Sonora",2027,42,42,93,165,281,368,322,254,203,175,64,18,"2007","Hombres"
"Tabasco",20,1,0,0,0,1,4,4,4,3,1,2,0,"2007","Hombres"
"Tamaulipas",134,4,8,13,18,6,18,13,18,9,17,6,4,"2007","Hombres"
"Tlaxcala",26,0,0,0,1,4,5,6,5,4,0,0,1,"2007","Hombres"
"Veracruz",159,10,12,16,12,6,16,14,20,19,17,8,9,"2007","Hombres"
"Yucatan",24,2,1,6,2,1,1,0,5,2,4,0,0,"2007","Hombres"
"Zacatecas",1922,73,57,144,230,237,243,223,182,174,210,97,52,"2007","Hombres"
"Total",133075,8634,6837,9602,15079,13800,13142,13822,10761,11176,13700,9713,6809,"2007","Hombres"
"Aguascalientes",1000,36,53,37,141,137,129,92,70,118,68,60,59,"2008","Hombres"
"BajaCalifornia",69,2,1,1,6,2,5,12,13,17,5,1,4,"2008","Hombres"
"BajaCaliforniaSur",54,1,1,3,6,7,5,4,9,7,7,3,1,"2008","Hombres"
"Campeche",64,36,2,1,4,1,7,2,1,4,1,3,2,"2008","Hombres"
"Coahuila",77,0,0,4,4,8,9,14,10,10,8,5,5,"2008","Hombres"
"Colima",5588,382,297,332,490,418,394,692,484,591,523,492,493,"2008","Hombres"
"Chiapas",169,12,15,9,16,17,17,13,11,17,11,15,16,"2008","Hombres"
"Chihuahua",189,3,3,10,16,11,28,28,27,24,22,8,9,"2008","Hombres"
"DistritoFederal",212,14,15,8,26,19,25,17,13,21,18,21,15,"2008","Hombres"
"Durango",3020,46,116,152,292,354,424,356,378,296,207,196,203,"2008","Hombres"
"Guanajuato",13411,625,718,938,2161,1994,1658,1376,899,1224,776,454,588,"2008","Hombres"
"Guerrero",19643,1162,1191,1163,1812,1562,1698,1996,1456,1856,1853,1983,1911,"2008","Hombres"
"Hidalgo",103,4,6,3,11,8,13,17,9,9,8,11,4,"2008","Hombres"
"Jalisco",27280,1514,1570,1710,3226,2829,2817,2777,1980,2591,2389,1916,1961,"2008","Hombres"
"Mexico",3955,168,157,183,364,361,381,395,284,405,469,427,361,"2008","Hombres"
"Michoacan",14830,780,798,852,1518,1338,1323,1559,1172,1559,1437,1310,1184,"2008","Hombres"
"Morelos",15384,750,844,1070,2104,1736,1541,1405,989,1434,1312,1116,1083,"2008","Hombres"
"Nayarit",8248,392,341,346,647,583,799,1058,725,1107,940,699,611,"2008","Hombres"
"NuevoLeon",99,4,1,4,9,13,12,12,13,14,8,3,6,"2008","Hombres"
"Oaxaca",2516,135,162,173,329,252,235,249,196,198,195,177,215,"2008","Hombres"
"Puebla",7234,369,486,592,965,753,691,691,507,576,586,453,565,"2008","Hombres"
"Queretaro",1859,53,61,91,255,219,258,192,131,203,188,104,104,"2008","Hombres"
"QuintanaRoo",31,0,1,1,7,0,4,5,3,9,0,0,1,"2008","Hombres"
"SanLuisPotosi",114,5,3,7,11,9,21,21,8,14,9,3,3,"2008","Hombres"
"Sinaloa",3825,116,107,107,210,250,352,521,415,563,512,371,301,"2008","Hombres"
"Sonora",1656,39,26,36,142,159,241,294,203,196,154,92,74,"2008","Hombres"
"Tabasco",20,1,4,3,1,0,2,2,1,2,2,2,0,"2008","Hombres"
"Tamaulipas",125,1,3,7,17,12,12,21,10,23,4,11,4,"2008","Hombres"
"Tlaxcala",21,0,0,1,1,2,1,6,5,2,1,1,1,"2008","Hombres"
"Veracruz",93,3,10,11,13,9,5,9,5,9,8,6,5,"2008","Hombres"
"Yucatan",29,0,3,2,6,1,4,2,4,4,0,3,0,"2008","Hombres"
"Zacatecas",1962,73,88,83,202,174,256,250,163,247,162,113,151,"2008","Hombres"
"Total",132880,6726,7083,7940,15012,13238,13367,14088,10194,13350,11883,10059,9940,"2008","Hombres"
"Aguascalientes",939,37,45,110,80,82,123,87,94,87,92,52,50,"2009","Hombres"
"BajaCalifornia",96,2,0,1,5,9,14,19,16,25,5,0,0,"2009","Hombres"
"BajaCaliforniaSur",52,1,1,4,3,5,8,5,5,7,4,4,5,"2009","Hombres"
"Campeche",32,2,7,4,1,0,1,3,4,4,3,2,1,"2009","Hombres"
"Coahuila",86,0,2,7,9,5,5,8,22,21,6,1,0,"2009","Hombres"
"Colima",5497,363,315,424,361,424,537,514,458,594,560,461,486,"2009","Hombres"
"Chiapas",145,8,18,7,6,11,19,10,13,20,9,10,14,"2009","Hombres"
"Chihuahua",186,3,5,15,10,35,29,28,19,15,17,7,3,"2009","Hombres"
"DistritoFederal",214,16,13,13,16,21,30,27,21,14,14,11,18,"2009","Hombres"
"Durango",2790,82,115,241,266,344,434,303,269,260,225,106,145,"2009","Hombres"
"Guanajuato",12177,398,605,1153,1210,1576,1539,1115,1045,1253,979,700,604,"2009","Hombres"
"Guerrero",24314,1147,1255,1876,1631,2246,2688,2079,1853,2254,2196,2875,2214,"2009","Hombres"
"Hidalgo",80,1,5,6,10,3,11,8,11,8,7,4,6,"2009","Hombres"
"Jalisco",29305,1445,1599,2606,2688,3039,3495,2531,2233,2933,2654,2114,1968,"2009","Hombres"
"Mexico",4631,186,195,295,391,642,574,346,356,471,424,456,295,"2009","Hombres"
"Michoacan",16841,775,766,1282,1200,1733,1873,1466,1425,1817,1639,1543,1322,"2009","Hombres"
"Morelos",17021,724,828,1519,1701,2133,1912,1350,1263,1692,1445,1326,1128,"2009","Hombres"
"Nayarit",8490,583,550,523,509,640,1074,875,814,866,842,683,531,"2009","Hombres"
"NuevoLeon",119,3,2,13,6,23,13,15,17,15,9,1,2,"2009","Hombres"
"Oaxaca",2457,127,134,233,243,243,270,230,188,238,172,193,186,"2009","Hombres"
"Puebla",7430,377,432,729,791,762,765,606,527,679,609,602,551,"2009","Hombres"
"Queretaro",1922,53,99,173,183,230,226,198,228,190,141,104,97,"2009","Hombres"
"QuintanaRoo",78,1,6,14,1,4,8,4,10,13,6,5,6,"2009","Hombres"
"SanLuisPotosi",142,3,12,19,21,15,13,14,10,19,11,2,3,"2009","Hombres"
"Sinaloa",4203,174,130,241,237,287,441,430,474,608,465,332,384,"2009","Hombres"
"Sonora",1836,46,26,102,114,240,350,283,225,197,120,84,49,"2009","Hombres"
"Tabasco",22,0,2,3,3,2,6,1,1,1,0,1,2,"2009","Hombres"
"Tamaulipas",117,3,4,10,7,14,20,14,15,18,7,2,3,"2009","Hombres"
"Tlaxcala",28,1,0,3,4,3,4,4,1,0,3,4,1,"2009","Hombres"
"Veracruz",138,3,10,16,7,13,13,17,20,16,15,4,4,"2009","Hombres"
"Yucatan",16,0,1,1,1,0,3,2,0,7,1,0,0,"2009","Hombres"
"Zacatecas",1822,63,95,163,157,223,232,183,187,183,141,99,96,"2009","Hombres"
"Total",143226,6627,7277,11806,11872,15007,16730,12775,11824,14525,12821,11788,10174,"2009","Hombres"
"Aguascalientes",1026,29,42,58,91,140,164,102,101,138,64,47,50,"2010","Hombres"
"BajaCalifornia",62,0,3,2,11,10,10,4,13,4,2,3,0,"2010","Hombres"
"BajaCaliforniaSur",32,0,0,0,1,5,5,3,4,5,1,5,3,"2010","Hombres"
"Campeche",32,2,3,6,2,1,4,0,4,5,4,0,1,"2010","Hombres"
"Coahuila",108,2,0,5,13,17,18,14,8,19,7,1,4,"2010","Hombres"
"Colima",5928,396,361,441,434,418,593,633,615,751,487,434,365,"2010","Hombres"
"Chiapas",131,12,10,6,11,11,11,8,11,11,13,10,17,"2010","Hombres"
"Chihuahua",184,2,4,7,6,23,30,33,19,29,23,6,2,"2010","Hombres"
"DistritoFederal",234,12,14,30,19,36,26,18,24,22,4,17,12,"2010","Hombres"
"Durango",3448,86,77,172,256,448,755,382,379,409,186,167,131,"2010","Hombres"
"Guanajuato",13227,420,466,1181,1518,2120,1949,1194,1052,1253,949,612,513,"2010","Hombres"
"Guerrero",23427,1846,1464,1933,1826,1904,2866,2020,1920,2188,2024,1923,1513,"2010","Hombres"
"Hidalgo",68,1,1,5,4,11,11,5,8,8,4,4,6,"2010","Hombres"
"Jalisco",26581,1505,1416,2326,2327,3018,3578,2323,2278,2672,2222,1631,1285,"2010","Hombres"
"Mexico",3964,213,191,284,341,413,606,304,308,391,402,280,231,"2010","Hombres"
"Michoacan",15834,897,876,1379,1362,1599,1931,1378,1418,1811,1321,1047,815,"2010","Hombres"
"Morelos",15220,659,703,1360,1612,1768,2028,1263,1209,1617,1334,932,735,"2010","Hombres"
"Nayarit",7483,434,387,571,477,574,942,846,812,934,683,442,381,"2010","Hombres"
"NuevoLeon",78,1,0,2,6,7,16,7,16,14,5,3,1,"2010","Hombres"
"Oaxaca",2371,147,129,236,221,228,335,177,180,211,194,172,141,"2010","Hombres"
"Puebla",7432,391,439,756,785,769,932,655,556,638,562,458,491,"2010","Hombres"
"Queretaro",2194,89,70,148,185,295,382,204,196,205,182,117,121,"2010","Hombres"
