"Estado","Total","Ene","Feb","Mar","Abr","May","Jun","Jul","Ago","Sep","Oct","Nov","Dic","Ano","Tipo"
"Colima",9726,655,692,648,745,772,782,852,973,887,1124,1009,587,"2005","General"
"Chiapas",286,16,20,31,21,41,29,20,25,16,21,25,21,"2005","General"
"Chihuahua",325,8,8,16,22,54,27,22,67,48,29,19,5,"2005","General"
"DistritoFederal",394,26,19,40,34,42,31,41,51,25,36,24,25,"2005","General"
"Durango",5775,213,174,234,538,972,847,658,626,489,450,372,202,"2005","General"
"Guanajuato",26419,879,1506,1937,3435,4180,2956,1944,2175,1906,2027,2076,1398,"2005","General"
"Guerrero",33154,1759,1900,2560,2760,3282,2646,2717,3252,2672,3417,4008,2181,"2005","General"
"Hidalgo",250,5,9,14,28,33,24,22,51,22,21,13,8,"2005","General"
"Jalisco",50313,2626,2685,4173,5265,6706,4670,4097,4352,4127,4459,4481,2672,"2005","General"
"Mexico",5757,266,270,455,638,650,622,423,442,464,537,644,346,"2005","General"
"Michoacan",27036,1260,1343,1943,2457,2959,2468,2123,2419,2334,2804,3253,1673,"2005","General"
"Morelos",31559,1074,1659,2806,3477,3851,2673,2431,2620,2465,3737,3260,1506,"2005","General"
"Nayarit",13466,638,711,857,910,1345,1116,1293,1578,1239,1593,1470,716,"2005","General"
"NuevoLeon",122,2,2,5,9,10,14,25,14,14,10,13,4,"2005","General"
"Oaxaca",4692,194,285,453,448,549,370,388,483,395,374,474,279,"2005","General"
"Puebla",16575,785,1001,1807,1944,1970,1403,1276,1480,1219,1311,1419,960,"2005","General"
"Queretaro",3773,171,180,244,404,545,474,302,305,370,324,277,177,"2005","General"
"QuintanaRoo",142,7,8,16,10,11,16,12,16,14,13,10,9,"2005","General"
"SanLuisPotosi",323,13,10,25,31,50,28,46,56,27,21,14,2,"2005","General"
"Sinaloa",6785,283,294,381,459,587,547,681,1017,881,738,641,276,"2005","General"
"Sonora",5248,71,78,187,317,705,810,738,792,668,468,251,163,"2005","General"
"Tabasco",38,0,3,0,3,15,4,3,3,2,3,2,0,"2005","General"
"Tamaulipas",307,11,5,17,33,56,36,31,39,29,26,18,6,"2005","General"
"Tlaxcala",37,0,2,5,0,3,7,3,4,6,6,1,0,"2005","General"
"Veracruz",179,6,12,14,26,30,14,15,19,12,15,13,3,"2005","General"
"Yucatan",58,2,1,2,1,3,8,3,11,7,12,3,5,"2005","General"
"Zacatecas",3037,109,121,145,278,492,329,325,340,287,226,243,142,"2005","General"
"Total",247976,11149,13112,19150,24519,30256,23198,20716,23480,20843,23954,24171,13428,"2005","General"
"Aguascalientes",2000,108,84,166,314,291,181,160,208,175,156,90,67,"2006","General"
"BajaCalifornia",120,6,3,1,6,9,6,25,20,20,17,6,1,"2006","General"
"BajaCaliforniaSur",144,1,4,10,9,14,13,23,23,19,14,10,4,"2006","General"
"Campeche",35,1,3,2,1,1,4,3,5,4,8,2,1,"2006","General"
"Coahuila",148,1,3,6,7,16,25,19,24,24,16,5,2,"2006","General"
"Colima",10343,847,611,707,846,1034,924,812,1067,1045,1095,857,498,"2006","General"
"Chiapas",211,19,14,25,18,21,14,17,21,16,15,16,15,"2006","General"
"Chihuahua",349,12,12,14,26,61,42,36,54,35,31,22,4,"2006","General"
"DistritoFederal",449,32,15,31,46,76,53,33,36,43,35,22,27,"2006","General"
"Durango",6070,172,242,366,661,994,797,639,643,532,488,292,244,"2006","General"
"Guanajuato",31909,1919,1706,2908,4523,5031,2981,2340,2876,2245,2765,1536,1079,"2006","General"
"Guerrero",41725,2714,2556,3098,3438,4521,3792,3092,3777,3294,4672,4054,2717,"2006","General"
"Hidalgo",255,11,16,16,23,23,22,30,47,22,20,16,9,"2006","General"
"Jalisco",59662,3872,3733,4823,6437,7456,5237,4409,5293,4654,6272,4614,2862,"2006","General"
"Mexico",6711,322,353,460,626,936,562,405,575,577,774,695,426,"2006","General"
"Michoacan",31799,2096,1906,2507,3098,3962,3022,2204,2818,2366,3458,2580,1782,"2006","General"
"Morelos",31787,1748,1896,2556,3286,4455,2849,2288,3101,2619,3242,2199,1548,"2006","General"
"Nayarit",14701,720,743,827,976,1363,1338,1433,1826,1458,1984,1201,832,"2006","General"
"NuevoLeon",175,4,2,2,31,21,14,15,31,27,23,4,1,"2006","General"
"Oaxaca",4980,355,373,437,590,673,425,361,477,295,423,299,272,"2006","General"
"Puebla",17352,1191,1328,1531,1876,2099,1345,1277,1514,1193,1786,1221,991,"2006","General"
"Queretaro",4275,231,227,320,434,551,459,317,385,339,490,253,269,"2006","General"
"QuintanaRoo",137,8,6,12,12,16,19,16,15,15,13,2,3,"2006","General"
"SanLuisPotosi",397,18,9,20,36,61,58,39,73,38,28,10,7,"2006","General"
"Sinaloa",7683,268,255,254,374,790,672,714,1022,1054,1205,659,416,"2006","General"
"Sonora",4643,94,150,135,326,635,721,676,752,493,403,167,91,"2006","General"
"Tabasco",27,2,0,2,4,3,2,0,5,4,2,3,0,"2006","General"
"Tamaulipas",326,9,9,16,34,37,42,42,56,39,30,8,4,"2006","General"
"Tlaxcala",39,2,6,3,6,8,3,2,4,1,1,1,2,"2006","General"
"Veracruz",254,13,11,20,31,20,8,37,43,31,23,8,9,"2006","General"
"Yucatan",62,6,5,6,4,7,10,1,13,1,3,3,3,"2006","General"
"Zacatecas",3830,185,187,290,462,573,373,361,455,290,312,174,168,"2006","General"
"Total",282598,16987,16468,21571,28561,35758,26013,21826,27259,22968,29804,21029,14354,"2006","General"
"Aguascalientes",1933,78,87,150,254,276,221,199,155,158,175,112,68,"2007","General"
"BajaCalifornia",140,1,1,2,4,7,17,35,29,23,17,3,1,"2007","General"
"BajaCaliforniaSur",134,4,3,4,10,16,16,20,19,25,9,6,2,"2007","General"
"Campeche",44,6,2,5,4,2,2,5,6,3,4,3,2,"2007","General"
"Coahuila",185,2,5,6,13,15,19,43,45,21,12,3,1,"2007","General"
"Colima",9874,785,583,617,777,669,766,1053,873,924,1293,803,731,"2007","General"
"Chiapas",306,26,19,23,25,25,28,26,20,29,30,29,26,"2007","General"
"Chihuahua",390,16,8,17,29,45,61,53,60,45,34,12,10,"2007","General"
"DistritoFederal",462,30,30,35,55,54,55,56,34,21,48,30,14,"2007","General"
"Durango",6536,193,247,386,747,1085,914,831,587,515,556,304,171,"2007","General"
"Guanajuato",32288,1897,1324,2844,5462,5301,3306,2906,2054,1984,2505,1518,1187,"2007","General"
"Guerrero",38672,2918,2209,2748,3856,3212,3431,3710,2667,3189,4351,3906,2475,"2007","General"
"Hidalgo",150,4,2,6,22,20,14,17,13,22,17,4,9,"2007","General"
"Jalisco",55886,3541,2955,4771,7029,6292,5537,5275,4205,4543,5571,3661,2506,"2007","General"
"Mexico",6435,422,301,431,701,746,620,562,444,522,730,582,374,"2007","General"
"Michoacan",27581,1876,1503,1983,2792,2731,2508,2534,2250,2418,3259,2288,1439,"2007","General"
"Morelos",32353,2118,1993,2643,4508,3422,2866,3035,2447,2496,3140,2144,1541,"2007","General"
"Nayarit",15908,987,753,895,1366,1229,1666,1962,1522,1658,1919,1169,782,"2007","General"
"NuevoLeon",204,3,8,7,27,34,22,22,30,29,10,8,4,"2007","General"
"Oaxaca",5517,401,375,431,656,540,494,555,408,375,556,398,328,"2007","General"
"Puebla",14893,1182,779,948,1898,1505,1291,1516,1247,1172,1416,1073,866,"2007","General"
"Queretaro",3668,186,188,259,476,461,373,404,287,343,303,214,174,"2007","General"
"QuintanaRoo",103,6,10,14,8,7,6,13,6,14,11,5,3,"2007","General"
"SanLuisPotosi",373,11,9,29,43,31,48,64,45,31,30,22,10,"2007","General"
"Sinaloa",7903,333,284,334,484,615,805,993,992,1084,1072,546,361,"2007","General"
"Sonora",4809,84,110,201,416,583,924,752,594,513,414,166,52,"2007","General"
"Tabasco",41,1,1,1,3,1,6,8,6,5,2,6,1,"2007","General"
"Tamaulipas",317,12,9,21,35,40,40,33,43,28,39,9,8,"2007","General"
"Tlaxcala",53,0,3,3,3,8,6,10,5,4,5,0,6,"2007","General"
"Veracruz",335,19,14,33,28,26,35,26,44,49,29,14,18,"2007","General"
"Yucatan",69,5,4,11,6,8,3,5,13,5,6,2,1,"2007","General"
"Zacatecas",3878,149,109,255,500,532,452,465,364,357,394,187,114,"2007","General"
"Total",271440,17296,13928,20113,32237,29538,26552,27188,21514,22605,27957,19227,13285,"2007","General"
