"Estado","Salud","IMSS.ORD","ISSSTE","IMSS.OP","DIF","PEMEX","SEDENA","SEMAR","Otras","Total","Ano","Tipo"
"San Luis Potosi",80,184,3,51,0,2,0,0,5,325,"2004","General"
"Sinaloa",3380,1577,147,2183,30,0,26,18,802,8163,"2004","General"
"Sonora",3816,1487,72,0,0,0,15,0,229,5619,"2004","General"
"Tabasco",26,0,1,0,0,1,0,0,0,28,"2004","General"
"Tamaulipas",169,11,0,42,0,7,9,0,148,386,"2004","General"
"Tlaxcala",38,9,0,0,0,0,0,0,0,47,"2004","General"
"Veracruz",114,66,3,27,0,0,2,3,0,215,"2004","General"
"Yucatan",14,1,0,15,0,0,0,2,1,33,"2004","General"
"Zacatecas",1841,142,6,544,0,0,1,0,0,2534,"2004","General"
"Total",153059,43093,3887,18574,41,24,715,257,10549,230199,"2004","General"
"Aguascalientes",1738,22,0,0,0,0,0,0,1,1761,"2005","General"
"Baja California",38,53,5,4,0,0,1,0,48,149,"2005","General"
"Baja California Sur",95,0,23,0,0,0,0,1,0,119,"2005","General"
"Campeche",14,1,7,11,0,0,1,0,2,36,"2005","General"
"Coahuila",43,47,2,12,0,0,0,0,31,135,"2005","General"
"Colima",7065,2253,89,0,0,0,26,83,210,9726,"2005","General"
"Chiapas",190,2,26,52,0,0,10,0,6,286,"2005","General"
"Chihuahua",148,56,3,92,0,0,5,0,21,325,"2005","General"
"Distrito Federal",321,11,45,0,1,0,5,1,10,394,"2005","General"
"Durango",5121,2,8,639,4,0,1,0,0,5775,"2005","General"
"Guanajuato",12646,6852,366,4,0,1,49,0,6501,26419,"2005","General"
"Guerrero",27710,4200,1146,6,0,0,30,62,0,33154,"2005","General"
"Hidalgo",219,0,1,25,0,1,0,0,4,250,"2005","General"
"Jalisco",35421,11898,169,3,0,0,69,0,2753,50313,"2005","General"
"Mexico",5360,2,18,1,8,0,5,0,363,5757,"2005","General"
"Michoacan",15555,3775,770,6840,0,0,63,33,0,27036,"2005","General"
"Morelos",22655,7722,1142,28,0,0,12,0,0,31559,"2005","General"
"Nayarit",8702,1530,83,3015,4,0,106,0,26,13466,"2005","General"
"Nuevo Leon",30,21,0,0,0,0,0,0,71,122,"2005","General"
"Oaxaca",2945,91,74,1540,3,1,15,21,2,4692,"2005","General"
"Puebla",11500,1377,113,3529,0,3,0,0,53,16575,"2005","General"
"Queretaro",1180,2422,82,0,0,0,0,0,89,3773,"2005","General"
"Quintana Roo",77,35,30,0,0,0,0,0,0,142,"2005","General"
"San Luis Potosi",123,114,1,72,0,5,3,0,5,323,"2005","General"
"Sinaloa",2782,1527,108,1503,27,0,64,27,747,6785,"2005","General"
"Sonora",3675,1240,122,2,0,0,15,0,194,5248,"2005","General"
"Tabasco",18,6,1,0,0,0,0,0,13,38,"2005","General"
"Tamaulipas",149,53,1,20,37,5,3,3,36,307,"2005","General"
"Tlaxcala",25,12,0,0,0,0,0,0,0,37,"2005","General"
"Veracruz",99,57,0,21,0,0,2,0,0,179,"2005","General"
"Yucatan",25,4,5,24,0,0,0,0,0,58,"2005","General"
"Zacatecas",2387,60,9,581,0,0,0,0,0,3037,"2005","General"
"Total",168056,45445,4449,18024,84,16,485,231,11186,247976,"2005","General"
"Aguascalientes",1973,26,0,0,0,0,0,0,1,2000,"2006","General"
"Baja California",38,52,2,2,0,0,1,0,25,120,"2006","General"
"Baja California Sur",117,2,25,0,0,0,0,0,0,144,"2006","General"
"Campeche",16,8,5,1,0,0,0,0,5,35,"2006","General"
"Coahuila",68,61,4,7,0,0,0,0,8,148,"2006","General"
"Colima",7660,2462,83,0,0,0,5,76,57,10343,"2006","General"
"Chiapas",140,15,19,29,0,0,8,0,0,211,"2006","General"
"Chihuahua",170,24,15,117,0,0,3,0,20,349,"2006","General"
"Distrito Federal",325,28,63,0,8,0,3,3,19,449,"2006","General"
"Durango",5218,10,8,832,0,0,2,0,0,6070,"2006","General"
"Guanajuato",14862,9703,372,0,0,21,67,0,6884,31909,"2006","General"
"Guerrero",33961,6480,1068,17,0,0,83,82,34,41725,"2006","General"
"Hidalgo",234,0,0,17,0,0,0,0,4,255,"2006","General"
"Jalisco",40582,15127,196,3,0,0,108,0,3646,59662,"2006","General"
"Mexico",6316,14,15,11,5,0,1,0,349,6711,"2006","General"
"Michoacan",18354,4633,760,7976,0,0,52,24,0,31799,"2006","General"
"Morelos",24408,6240,1100,20,0,0,19,0,0,31787,"2006","General"
