"Estado","Salud","IMSS.ORD","ISSSTE","IMSS.OP","DIF","PEMEX","SEDENA","SEMAR","Otras","Total","Ano","Tipo"
"Morelos",13778,2198,558,0,NA,NA,28,NA,NA,16562,"2013","Mujeres"
"Nayarit",4542,1252,123,1631,2,NA,0,0,0,7550,"2013","Mujeres"
"Nuevo Leon",47,58,2,0,NA,0,0,NA,4,111,"2013","Mujeres"
"Oaxaca",1682,123,104,1305,0,0,3,8,9,3234,"2013","Mujeres"
"Puebla",4404,441,51,2073,0,0,0,NA,34,7003,"2013","Mujeres"
"Queretaro",1242,1778,82,0,2,NA,0,NA,33,3137,"2013","Mujeres"
"Quintana Roo",43,22,10,NA,NA,NA,0,0,0,75,"2013","Mujeres"
"San Luis Potosi",98,57,5,60,NA,1,1,NA,15,237,"2013","Mujeres"
"Sinaloa",2544,1332,142,1371,0,0,12,15,342,5758,"2013","Mujeres"
"Sonora",2117,1177,73,0,NA,NA,0,5,153,3525,"2013","Mujeres"
"Tabasco",7,12,1,NA,NA,1,0,0,1,22,"2013","Mujeres"
"Tamaulipas",152,111,0,29,3,0,0,0,4,299,"2013","Mujeres"
"Tlaxcala",17,12,0,0,0,NA,0,NA,0,29,"2013","Mujeres"
"Veracruz",59,50,2,24,0,1,1,0,0,137,"2013","Mujeres"
"Yucatan",4,9,0,14,1,NA,0,0,0,28,"2013","Mujeres"
"Zacatecas",1379,77,6,656,0,NA,2,NA,0,2120,"2013","Mujeres"
"Total",115642,25061,3049,13250,10,23,170,64,4860,162129,"2013","Mujeres"
