Estado,Total,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,2000,108,84,166,314,291,181,160,208,175,156,90,67
BajaCalifornia,120,6,3,1,6,9,6,25,20,20,17,6,1
BajaCaliforniaSur,144,1,4,10,9,14,13,23,23,19,14,10,4
Campeche,35,1,3,2,1,1,4,3,5,4,8,2,1
Coahuila,148,1,3,6,7,16,25,19,24,24,16,5,2
Colima,10343,847,611,707,846,1034,924,812,1067,1045,1095,857,498
Chiapas,211,19,14,25,18,21,14,17,21,16,15,16,15
Chihuahua,349,12,12,14,26,61,42,36,54,35,31,22,4
DistritoFederal,449,32,15,31,46,76,53,33,36,43,35,22,27
Durango,6070,172,242,366,661,994,797,639,643,532,488,292,244
Guanajuato,31909,1919,1706,2908,4523,5031,2981,2340,2876,2245,2765,1536,1079
Guerrero,41725,2714,2556,3098,3438,4521,3792,3092,3777,3294,4672,4054,2717
Hidalgo,255,11,16,16,23,23,22,30,47,22,20,16,9
Jalisco,59662,3872,3733,4823,6437,7456,5237,4409,5293,4654,6272,4614,2862
Mí©xico,6711,322,353,460,626,936,562,405,575,577,774,695,426
Michoacíçn,31799,2096,1906,2507,3098,3962,3022,2204,2818,2366,3458,2580,1782
Morelos,31787,1748,1896,2556,3286,4455,2849,2288,3101,2619,3242,2199,1548
Nayarit,14701,720,743,827,976,1363,1338,1433,1826,1458,1984,1201,832
NuevoLeí_n,175,4,2,2,31,21,14,15,31,27,23,4,1
Oaxaca,4980,355,373,437,590,673,425,361,477,295,423,299,272
Puebla,17352,1191,1328,1531,1876,2099,1345,1277,1514,1193,1786,1221,991
Querí©taro,4275,231,227,320,434,551,459,317,385,339,490,253,269
QuintanaRoo,137,8,6,12,12,16,19,16,15,15,13,2,3
SanLuisPotosí_,397,18,9,20,36,61,58,39,73,38,28,10,7
Sinaloa,7683,268,255,254,374,790,672,714,1022,1054,1205,659,416
Sonora,4643,94,150,135,326,635,721,676,752,493,403,167,91
Tabasco,27,2,0,2,4,3,2,0,5,4,2,3,0
Tamaulipas,326,9,9,16,34,37,42,42,56,39,30,8,4
Tlaxcala,39,2,6,3,6,8,3,2,4,1,1,1,2
Veracruz,254,13,11,20,31,20,8,37,43,31,23,8,9
Yucatíçn,62,6,5,6,4,7,10,1,13,1,3,3,3
Zacatecas,3830,185,187,290,462,573,373,361,455,290,312,174,168
TOTALGLOBAL,282598,16987,16468,21571,28561,35758,26013,21826,27259,22968,29804,21029,14354
