Estado,Total,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
Aguascalientes,2088,80,133,210,244,218,256,179,203,167,134,160,104
BajaCalifornia,129,5,4,7,6,17,13,17,25,11,16,4,4
BajaCaliforniaSur,106,2,2,8,7,9,16,8,17,21,7,8,1
Campeche,94,10,10,9,13,8,6,9,7,8,7,5,2
Coahuila,203,0,0,6,25,26,36,21,48,18,12,10,1
Colima,11781,615,601,799,858,1055,1230,1122,1324,1190,1207,1118,662
Chiapas,363,33,21,37,25,31,28,22,40,38,38,31,19
Chihuahua,451,16,9,34,21,43,85,63,67,53,36,12,12
DistritoFederal,513,31,48,38,54,56,57,44,59,32,26,33,35
Durango,7669,199,349,588,806,1058,1529,672,989,490,376,371,242
Guanajuato,30548,951,1494,2826,4083,3874,3935,2430,2900,2455,2090,1978,1532
Guerrero,51284,2583,2770,4044,4040,4674,5739,4393,5075,4350,4513,6057,3046
Hidalgo,219,0,3,16,14,22,39,23,40,26,19,12,5
Jalisco,52214,2364,2983,4861,5492,6016,6566,4037,5002,4267,3943,4179,2504
MÃ©xico,9781,267,340,727,894,1165,1180,763,860,945,973,1155,512
MichoacÃ¡n,32106,1187,1522,2558,2901,3358,3803,2627,3313,3153,2784,3208,1692
Morelos,36611,1167,1656,3176,4160,4192,4099,3053,3804,3441,3103,3041,1719
Nayarit,13645,487,509,834,842,1079,1842,1496,1619,1476,1337,1383,741
NuevoLeÃ_n,227,1,3,7,23,26,40,23,48,26,17,11,2
Oaxaca,5409,249,353,569,516,545,613,504,519,389,327,515,310
Puebla,15239,675,926,1647,1597,1498,1659,1195,1524,1252,1089,1407,770
QuerÃ©taro,5603,168,264,494,680,657,737,470,579,495,393,433,233
QuintanaRoo,236,6,9,31,26,21,28,18,29,26,21,16,5
SanLuisPotosÃ_,267,10,4,14,24,14,33,50,45,28,21,17,7
Sinaloa,9521,293,271,472,504,712,1055,1013,1548,1230,1137,921,365
Sonora,5592,57,71,279,416,487,1241,862,844,585,422,257,71
Tabasco,66,1,3,8,9,2,7,6,9,6,1,14,0
Tamaulipas,337,6,7,25,26,33,49,56,47,33,30,17,8
Tlaxcala,63,1,3,3,4,7,8,9,16,3,2,6,1
Veracruz,258,7,7,38,34,20,21,41,40,17,11,9,13
YucatÃ¡n,73,5,9,5,5,7,4,6,12,6,6,4,4
Zacatecas,3696,114,179,336,435,469,517,362,406,282,234,230,132
TOTALGLOBAL,296392,11590,14563,24706,28784,31399,36471,25594,31058,26519,24332,26622,14754
