Estado,Total,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
Aguascalientes,973,38,61,94,111,100,116,65,89,94,79,64,62
BajaCalifornia,108,0,2,4,1,10,16,22,19,21,7,4,2
BajaCaliforniaSur,47,4,1,3,2,8,6,5,1,11,3,2,1
Campeche,55,2,3,6,3,3,3,4,5,12,5,6,3
Coahuila,119,0,2,5,17,12,15,19,22,21,4,0,2
Colima,4685,320,280,371,309,426,464,424,340,496,452,423,380
Chiapas,240,11,26,14,20,21,20,19,20,26,18,18,27
Chihuahua,219,4,8,14,17,25,37,31,24,31,18,7,3
DistritoFederal,246,12,24,15,18,27,32,32,20,25,16,13,12
Durango,3106,149,150,257,312,402,474,313,303,273,205,140,128
Guanajuato,14169,478,728,1347,1542,1921,1848,1162,1253,1367,1036,837,650
Guerrero,23845,1157,1298,1954,1808,2263,2604,2087,1812,2391,2167,2334,1970
Hidalgo,116,6,5,10,12,13,14,16,8,14,11,5,2
Jalisco,27475,1336,1697,2843,2969,3033,3018,2119,2035,2611,2351,1945,1518
MÃ©xico,4629,215,210,333,400,654,549,350,317,439,434,394,334
MichoacÃ¡n,16910,798,864,1497,1532,1713,1846,1366,1346,1779,1598,1390,1181
Morelos,16394,747,899,1654,1817,1834,1749,1278,1295,1520,1428,1144,1029
Nayarit,6995,438,467,505,462,551,799,796,597,775,665,533,407
NuevoLeÃ_n,171,0,1,11,10,29,26,27,32,21,9,5,0
Oaxaca,3318,190,213,343,309,353,358,281,267,330,241,206,227
Puebla,8289,410,465,960,943,906,841,586,646,739,678,570,545
QuerÃ©taro,2096,70,127,192,219,295,260,179,183,200,146,105,120
QuintanaRoo,108,2,3,7,11,13,4,14,18,15,9,2,10
SanLuisPotosÃ_,170,5,14,22,15,11,33,25,22,8,5,7,3
Sinaloa,4956,193,145,277,293,370,520,501,509,752,531,398,467
Sonora,2647,38,38,124,165,417,461,418,317,319,175,111,64
Tabasco,24,2,1,3,3,1,3,1,3,5,0,2,0
Tamaulipas,190,4,7,12,16,17,28,29,26,27,14,8,2
Tlaxcala,35,1,0,4,4,4,5,7,3,1,2,3,1
Veracruz,162,7,13,16,17,14,22,15,24,16,6,9,3
YucatÃ¡n,27,1,2,2,1,1,3,1,2,3,5,4,2
Zacatecas,1916,62,69,148,178,214,292,221,190,186,147,111,98
TOTALGLOBAL,144440,6700,7823,13047,13536,15661,16466,12413,11748,14528,12465,10800,9253
