Estado,Total,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,993,42,46,76,136,151,109,94,79,77,85,58,40
BajaCalifornia,75,0,1,1,1,2,7,26,20,8,9,0,0
BajaCaliforniaSur,77,3,2,2,9,9,7,8,9,14,8,4,2
Campeche,30,3,1,4,4,2,1,4,3,2,2,2,2
Coahuila,107,2,1,4,6,9,10,25,28,15,6,0,1
Colima,4539,348,261,280,412,332,359,441,396,404,612,352,342
Chiapas,163,13,10,14,11,11,16,16,12,17,12,15,16
Chihuahua,199,9,3,1,17,22,30,28,36,25,16,6,6
DistritoFederal,260,14,16,25,34,28,30,30,14,13,24,22,10
Durango,3385,92,125,212,390,584,465,415,311,267,295,139,90
Guanajuato,17448,1027,729,1572,3058,2881,1722,1468,1096,1096,1357,834,608
Guerrero,19657,1528,1139,1435,2016,1659,1704,1929,1332,1626,2213,1860,1216
Hidalgo,95,3,2,6,15,10,9,11,9,15,11,3,1
Jalisco,28038,1716,1440,2472,3798,3493,2650,2491,1976,2273,2828,1762,1139
Mí©xico,3269,221,148,220,348,404,298,297,212,274,367,295,185
Michoacíçn,13920,872,762,1043,1481,1486,1260,1231,1124,1203,1640,1125,693
Morelos,15950,1031,996,1367,2257,1669,1440,1430,1212,1217,1531,1085,715
Nayarit,7192,432,366,434,666,584,749,827,686,727,866,515,340
NuevoLeí_n,124,2,4,3,21,21,14,8,18,17,7,7,2
Oaxaca,3214,241,212,233,354,329,303,309,236,208,355,234,200
Puebla,7933,652,417,498,997,781,731,772,641,633,776,582,453
Querí©taro,1929,97,103,144,243,238,197,199,152,174,174,107,101
QuintanaRoo,52,1,6,6,5,4,4,6,2,8,5,2,3
SanLuisPotosí_,242,7,8,16,32,26,29,44,25,16,19,13,7
Sinaloa,4284,168,163,190,284,341,455,540,543,553,574,285,188
Sonora,2782,42,68,108,251,302,556,430,340,310,239,102,34
Tabasco,21,0,1,1,3,0,2,4,2,2,1,4,1
Tamaulipas,183,8,1,8,17,34,22,20,25,19,22,3,4
Tlaxcala,27,0,3,3,2,4,1,4,0,0,5,0,5
Veracruz,176,9,2,17,16,20,19,12,24,30,12,6,9
Yucatíçn,45,3,3,5,4,7,2,5,8,3,2,2,1
Zacatecas,1956,76,52,111,270,295,209,242,182,183,184,90,62
TOTALGLOBAL,138365,8662,7091,10511,17158,15738,13410,13366,10753,11429,14257,9514,6476
