Estado,Total,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,908,22,56,57,109,173,94,85,91,85,58,55,23
BajaCalifornia,78,3,1,2,7,9,5,7,21,11,4,4,4
BajaCaliforniaSur,63,1,4,3,3,10,9,5,10,9,4,3,2
Campeche,24,5,3,4,1,1,2,2,2,1,2,1,0
Coahuila,64,2,0,1,4,8,14,13,12,7,1,2,0
Colima,4508,302,336,303,368,405,377,369,423,387,505,464,269
Chiapas,158,9,9,18,12,22,12,14,17,9,11,13,12
Chihuahua,182,2,6,9,11,35,15,16,38,24,12,12,2
DistritoFederal,224,16,14,20,22,27,19,18,30,11,19,11,17
Durango,2986,106,87,117,271,544,441,346,314,274,209,171,106
Guanajuato,14293,475,815,1015,1862,2328,1639,983,1164,1012,1122,1145,733
Guerrero,16648,906,941,1320,1446,1656,1285,1358,1614,1363,1719,1971,1069
Hidalgo,151,3,5,11,20,20,13,10,31,12,15,7,4
Jalisco,25242,1301,1317,2133,2857,3528,2349,1899,2070,2054,2171,2245,1318
Mí©xico,2927,137,143,247,344,336,310,181,202,236,292,320,179
Michoacíçn,13593,621,699,986,1314,1540,1285,982,1168,1166,1402,1631,799
Morelos,15795,517,837,1459,1862,1909,1363,1131,1235,1229,1922,1593,738
Nayarit,6069,272,308,409,415,691,496,526,691,539,708,692,322
NuevoLeí_n,57,2,0,3,5,6,8,12,6,7,3,4,1
Oaxaca,2662,99,162,256,248,316,208,236,286,215,204,282,150
Puebla,8715,390,505,945,1081,1054,720,673,811,610,687,743,496
Querí©taro,1991,101,95,132,236,284,253,149,146,173,168,157,97
QuintanaRoo,74,4,3,8,7,5,9,5,8,8,5,6,6
SanLuisPotosí_,192,6,3,15,24,30,17,28,34,17,7,10,1
Sinaloa,3780,143,172,216,282,345,299,375,551,511,400,331,155
Sonora,2993,44,43,104,158,403,471,434,448,393,262,147,86
Tabasco,15,0,3,0,2,3,2,2,1,1,0,1,0
Tamaulipas,182,7,4,14,17,21,27,20,29,15,11,14,3
Tlaxcala,17,0,1,2,0,2,3,1,2,3,2,1,0
Veracruz,103,5,5,10,16,17,10,8,13,6,4,7,2
Yucatíçn,29,2,1,2,1,1,2,2,6,6,1,3,2
Zacatecas,1549,50,57,74,144,256,174,168,172,163,114,120,57
TOTALGLOBAL,126272,5553,6635,9895,13149,15985,11931,10058,11646,10557,12044,12166,6653
