Estado,Total,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,675,39,40,49,115,80,72,49,52,62,57,32,28
BajaCalifornia,42,1,2,2,1,4,1,3,15,6,2,4,1
BajaCaliforniaSur,39,2,1,1,3,9,2,5,5,3,2,5,1
Campeche,34,2,7,5,5,3,0,4,1,2,1,0,4
Coahuila,49,0,1,2,4,3,5,12,2,12,4,1,3
Colima,4644,378,359,266,400,342,388,503,414,415,498,363,318
Chiapas,110,7,16,5,14,5,9,10,7,6,18,4,9
Chihuahua,255,6,5,5,13,35,32,41,37,41,31,8,1
DistritoFederal,139,9,11,13,17,15,15,12,8,12,16,5,6
Durango,2708,87,57,147,299,460,373,303,260,207,213,171,131
Guanajuato,12773,608,825,1147,2364,2102,1054,824,804,738,908,670,729
Guerrero,11880,763,747,812,1090,921,974,1209,869,980,1306,1303,906
Hidalgo,156,8,6,15,16,16,17,13,18,12,18,11,6
Jalisco,23377,1698,1380,1869,3127,2805,2082,1923,1476,1567,2214,1713,1523
Mí©xico,2813,131,131,131,299,277,273,206,162,214,297,310,382
Michoacíçn,14178,861,861,1170,1679,1567,1167,1370,967,1007,1461,1190,878
Morelos,14922,808,855,1257,2300,1499,1336,1363,894,1144,1485,1129,852
Nayarit,6635,397,260,350,648,557,617,609,553,674,933,559,478
NuevoLeí_n,243,2,2,7,29,41,23,37,32,23,20,18,9
Oaxaca,2374,163,161,200,329,197,181,245,164,162,240,195,137
Puebla,7887,480,529,667,1069,844,685,766,564,577,651,577,478
Querí©taro,2259,110,114,180,305,302,276,151,142,165,203,182,129
QuintanaRoo,54,1,1,1,8,3,5,3,5,7,10,5,5
SanLuisPotosí_,138,2,3,9,18,23,15,18,13,15,12,5,5
Sinaloa,4161,220,173,136,263,309,416,523,525,477,581,331,207
Sonora,6676,235,199,196,480,904,1068,736,821,632,860,156,389
Tabasco,28,2,3,1,3,4,0,6,4,3,2,0,0
Tamaulipas,294,3,2,3,12,32,19,162,23,21,12,3,2
Tlaxcala,14,1,0,2,2,0,0,4,0,2,2,1,0
Veracruz,145,5,5,19,13,10,19,19,17,19,11,6,2
Yucatíçn,41,1,5,1,2,5,5,10,4,3,0,3,2
Zacatecas,1417,50,50,91,182,298,177,162,90,101,110,57,49
TOTALGLOBAL,121160,7080,6811,8759,15109,13672,11306,11301,8948,9309,12178,9017,7670
