Estado,Total,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
Aguascalientes,1912,75,106,204,191,182,239,152,183,181,171,116,112
BajaCalifornia,204,2,2,5,6,19,30,41,35,46,12,4,2
BajaCaliforniaSur,99,5,2,7,5,13,14,10,6,18,7,6,6
Campeche,87,4,10,10,4,3,4,7,9,16,8,8,4
Coahuila,205,0,4,12,26,17,20,27,44,42,10,1,2
Colima,10182,683,595,795,670,850,1001,938,798,1090,1012,884,866
Chiapas,385,19,44,21,26,32,39,29,33,46,27,28,41
Chihuahua,405,7,13,29,27,60,66,59,43,46,35,14,6
DistritoFederal,460,28,37,28,34,48,62,59,41,39,30,24,30
Durango,5896,231,265,498,578,746,908,616,572,533,430,246,273
Guanajuato,26346,876,1333,2500,2752,3497,3387,2277,2298,2620,2015,1537,1254
Guerrero,48159,2304,2553,3830,3439,4509,5292,4166,3665,4645,4363,5209,4184
Hidalgo,196,7,10,16,22,16,25,24,19,22,18,9,8
Jalisco,56780,2781,3296,5449,5657,6072,6513,4650,4268,5544,5005,4059,3486
MÃ©xico,9260,401,405,628,791,1296,1123,696,673,910,858,850,629
MichoacÃ¡n,33751,1573,1630,2779,2732,3446,3719,2832,2771,3596,3237,2933,2503
Morelos,33415,1471,1727,3173,3518,3967,3661,2628,2558,3212,2873,2470,2157
Nayarit,15485,1021,1017,1028,971,1191,1873,1671,1411,1641,1507,1216,938
NuevoLeÃ_n,290,3,3,24,16,52,39,42,49,36,18,6,2
Oaxaca,5775,317,347,576,552,596,628,511,455,568,413,399,413
Puebla,15719,787,897,1689,1734,1668,1606,1192,1173,1418,1287,1172,1096
QuerÃ©taro,4018,123,226,365,402,525,486,377,411,390,287,209,217
QuintanaRoo,186,3,9,21,12,17,12,18,28,28,15,7,16
SanLuisPotosÃ_,312,8,26,41,36,26,46,39,32,27,16,9,6
Sinaloa,9159,367,275,518,530,657,961,931,983,1360,996,730,851
Sonora,4483,84,64,226,279,657,811,701,542,516,295,195,113
Tabasco,46,2,3,6,6,3,9,2,4,6,0,3,2
Tamaulipas,307,7,11,22,23,31,48,43,41,45,21,10,5
Tlaxcala,63,2,0,7,8,7,9,11,4,1,5,7,2
Veracruz,300,10,23,32,24,27,35,32,44,32,21,13,7
YucatÃ¡n,43,1,3,3,2,1,6,3,2,10,6,4,2
Zacatecas,3738,125,164,311,335,437,524,404,377,369,288,210,194
TOTALGLOBAL,287666,13327,15100,24853,25408,30668,33196,25188,23572,29053,25286,22588,19427
