Estado,Tasa*,Total,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,194.46,1005,60,39,87,161,141,79,81,86,98,85,46,42
BajaCalifornia,3.05,47,0,0,0,3,5,2,10,8,12,6,1,0
BajaCaliforniaSur,22.63,60,0,3,6,7,4,6,9,10,7,4,3,1
Campeche,1.75,7,1,1,0,0,0,0,0,0,0,5,0,0
Coahuila,4.93,64,0,1,2,3,7,14,5,8,11,10,3,0
Colima,1835.93,5495,427,343,349,396,521,504,456,565,546,600,501,287
Chiapas,4.27,96,6,5,13,6,15,7,10,11,6,8,4,5
Chihuahua,9.34,165,5,8,8,13,33,18,18,21,15,15,10,1
DistritoFederal,4.59,197,12,5,12,16,41,18,13,22,23,16,9,10
Durango,379.59,2942,73,127,170,300,479,383,313,300,286,232,144,135
Guanajuato,596.61,14810,856,768,1343,2015,2335,1393,1106,1378,1036,1316,719,545
Guerrero,1286.71,20870,1293,1248,1484,1638,2231,1885,1517,1842,1601,2412,2212,1507
Hidalgo,10.05,119,4,9,6,9,11,7,14,26,10,11,10,2
Jalisco,885.44,30194,1940,1796,2296,3051,3600,2737,2307,2739,2342,3315,2483,1588
MÃ©xico,44.62,3319,150,189,226,272,488,274,194,275,277,393,367,214
MichoacÃ¡n,761.87,15781,1037,919,1128,1422,1843,1550,1160,1480,1184,1726,1364,968
Morelos,1867.06,16064,836,915,1227,1550,2270,1455,1151,1645,1293,1683,1221,818
Nayarit,1535.83,7786,395,378,412,491,676,707,779,991,772,1052,653,480
NuevoLeÃ_n,3.46,75,3,1,1,18,7,8,7,11,10,7,2,0
Oaxaca,117.15,2152,146,161,174,265,310,193,143,204,119,183,137,117
Puebla,299.1,8249,546,595,735,876,1026,658,583,704,529,890,616,491
QuerÃ©taro,239.78,1939,108,86,135,188,250,236,155,185,153,218,118,107
QuintanaRoo,11.3,66,6,2,8,5,4,10,7,8,7,6,1,2
SanLuisPotosÃ_,13.75,164,9,6,7,11,18,21,21,32,16,14,6,3
Sinaloa,240.46,3402,109,105,107,163,276,273,361,468,496,533,310,201
Sonora,147.86,1895,44,73,57,142,255,299,285,307,183,149,63,38
Tabasco,0.76,8,1,0,1,2,1,0,0,2,0,0,1,0
Tamaulipas,8.77,142,3,5,8,14,22,17,20,24,18,9,1,1
Tlaxcala,2.96,16,1,4,0,2,3,2,1,1,0,0,1,1
Veracruz,2.68,97,6,6,7,12,8,3,15,16,12,7,3,2
YucatÃ¡n,2.85,26,2,3,3,3,2,3,0,4,0,2,1,3
Zacatecas,273.92,1894,86,96,146,230,277,172,186,250,138,164,73,76
TOTALGLOBAL,260.34,139146,8165,7897,10158,13284,17159,12934,10927,13623,11200,15071,11083,7645
