Estado,Total,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,983,44,63,99,104,100,122,74,98,85,66,81,47
BajaCalifornia,62,0,3,4,3,11,7,11,6,3,9,3,2
BajaCaliforniaSur,37,1,0,1,2,3,3,3,7,12,4,1,0
Campeche,35,3,2,5,7,2,1,4,3,2,2,4,0
Coahuila,94,0,0,5,8,6,16,11,27,9,6,6,0
Colima,6516,312,304,409,430,572,652,659,757,655,696,681,389
Chiapas,155,13,10,21,6,16,9,12,21,12,13,14,8
Chihuahua,185,4,3,18,9,12,25,24,30,24,21,6,9
DistritoFederal,222,16,20,20,20,28,23,18,27,18,9,11,12
Durango,3636,97,151,277,387,478,692,322,483,242,200,182,125
Guanajuato,14005,469,683,1286,1858,1674,1820,1202,1387,1105,948,860,713
Guerrero,25218,1314,1330,1838,1839,2252,2930,2169,2396,2125,2247,3212,1566
Hidalgo,80,0,0,5,4,14,14,4,15,7,8,6,3
Jalisco,26426,1184,1448,2318,2545,2899,3274,2244,2686,2176,2097,2230,1325
MÃ©xico,4752,123,162,325,401,550,572,379,455,477,451,602,255
MichoacÃ¡n,15921,585,741,1161,1354,1513,1857,1413,1720,1558,1452,1650,917
Morelos,18222,558,748,1465,1979,2098,2156,1605,1959,1752,1561,1480,861
Nayarit,7362,261,287,418,403,538,993,837,917,805,723,764,416
NuevoLeÃ_n,104,1,3,5,6,10,16,8,29,14,9,3,0
Oaxaca,2372,100,154,249,221,231,264,235,223,176,156,230,133
Puebla,7200,325,448,781,728,661,818,558,700,581,534,691,375
QuerÃ©taro,2551,96,101,204,300,272,355,228,267,252,175,211,90
QuintanaRoo,101,3,0,10,15,11,10,7,12,11,10,8,4
SanLuisPotosÃ_,119,4,1,6,10,8,13,21,20,12,11,9,4
Sinaloa,4238,132,123,209,222,297,452,463,739,523,497,404,177
Sonora,2172,26,25,96,160,196,464,366,314,216,168,103,38
Tabasco,29,0,1,3,4,0,3,2,3,4,1,8,0
Tamaulipas,132,2,2,8,11,14,19,23,16,15,11,7,4
Tlaxcala,25,0,2,3,0,2,2,2,8,1,0,5,0
Veracruz,105,3,5,14,13,7,9,14,13,8,5,6,8
YucatÃ¡n,28,1,2,2,1,3,2,4,4,2,4,0,3
Zacatecas,1819,50,101,169,216,215,254,166,209,140,114,115,70
TOTALGLOBAL,144906,5727,6923,11434,13266,14693,17847,13088,15551,13022,12208,13593,7554
