Estado,Incidencia*,Total,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,174.72,1933,78,87,150,254,276,221,199,155,158,175,112,68
BajaCalifornia,4.68,140,1,1,2,4,7,17,35,29,23,17,3,1
BajaCaliforniaSur,24.93,134,4,3,4,10,16,16,20,19,25,9,6,2
Campeche,5.66,44,6,2,5,4,2,2,5,6,3,4,3,2
Coahuila,7.19,185,2,5,6,13,15,19,43,45,21,12,3,1
Colima,1686.63,9874,785,583,617,777,669,766,1053,873,924,1293,803,731
Chiapas,6.94,306,26,19,23,25,25,28,26,20,29,30,29,26
Chihuahua,11.72,390,16,8,17,29,45,61,53,60,45,34,12,10
DistritoFederal,5.23,462,30,30,35,55,54,55,56,34,21,48,30,14
Durango,424.9,6536,193,247,386,747,1085,914,831,587,515,556,304,171
Guanajuato,646.36,32288,1897,1324,2844,5462,5301,3306,2906,2054,1984,2505,1518,1187
Guerrero,1227.8,38672,2918,2209,2748,3856,3212,3431,3710,2667,3189,4351,3906,2475
Hidalgo,6.26,150,4,2,6,22,20,14,17,13,22,17,4,9
Jalisco,809.58,55886,3541,2955,4771,7029,6292,5537,5275,4205,4543,5571,3661,2506
MÃ©xico,44.58,6435,422,301,431,701,746,620,562,444,522,730,582,374
MichoacÃ¡n,691.05,27581,1876,1503,1983,2792,2731,2508,2534,2250,2418,3259,2288,1439
Morelos,1962.62,32353,2118,1993,2643,4508,3422,2866,3035,2447,2496,3140,2144,1541
Nayarit,1649.72,15908,987,753,895,1366,1229,1666,1962,1522,1658,1919,1169,782
NuevoLeÃ_n,4.7,204,3,8,7,27,34,22,22,30,29,10,8,4
Oaxaca,155.27,5517,401,375,431,656,540,494,555,408,375,556,398,328
Puebla,268.89,14893,1182,779,948,1898,1505,1291,1516,1247,1172,1416,1073,866
QuerÃ©taro,221.04,3668,186,188,259,476,461,373,404,287,343,303,214,174
QuintanaRoo,8.44,103,6,10,14,8,7,6,13,6,14,11,5,3
SanLuisPotosÃ_,15.15,373,11,9,29,43,31,48,64,45,31,30,22,10
Sinaloa,298.96,7903,333,284,334,484,615,805,993,992,1084,1072,546,361
Sonora,195.19,4809,84,110,201,416,583,924,752,594,513,414,166,52
Tabasco,2.02,41,1,1,1,3,1,6,8,6,5,2,6,1
Tamaulipas,10.17,317,12,9,21,35,40,40,33,43,28,39,9,8
Tlaxcala,4.8,53,0,3,3,3,8,6,10,5,4,5,0,6
Veracruz,4.63,335,19,14,33,28,26,35,26,44,49,29,14,18
YucatÃ¡n,3.68,69,5,4,11,6,8,3,5,13,5,6,2,1
Zacatecas,280.49,3878,149,109,255,500,532,452,465,364,357,394,187,114
TOTALGLOBAL,256.58,271440,17296,13928,20113,32237,29538,26552,27188,21514,22605,27957,19227,13285
