Estado,Total,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,1105,36,70,111,140,118,134,105,105,82,68,79,57
BajaCalifornia,67,5,1,3,3,6,6,6,19,8,7,1,2
BajaCaliforniaSur,69,1,2,7,5,6,13,5,10,9,3,7,1
Campeche,59,7,8,4,6,6,5,5,4,6,5,1,2
Coahuila,109,0,0,1,17,20,20,10,21,9,6,4,1
Colima,5265,303,297,390,428,483,578,463,567,535,511,437,273
Chiapas,208,20,11,16,19,15,19,10,19,26,25,17,11
Chihuahua,266,12,6,16,12,31,60,39,37,29,15,6,3
DistritoFederal,291,15,28,18,34,28,34,26,32,14,17,22,23
Durango,4033,102,198,311,419,580,837,350,506,248,176,189,117
Guanajuato,16543,482,811,1540,2225,2200,2115,1228,1513,1350,1142,1118,819
Guerrero,26066,1269,1440,2206,2201,2422,2809,2224,2679,2225,2266,2845,1480
Hidalgo,139,0,3,11,10,8,25,19,25,19,11,6,2
Jalisco,25788,1180,1535,2543,2947,3117,3292,1793,2316,2091,1846,1949,1179
MÃ©xico,5029,144,178,402,493,615,608,384,405,468,522,553,257
MichoacÃ¡n,16185,602,781,1397,1547,1845,1946,1214,1593,1595,1332,1558,775
Morelos,18389,609,908,1711,2181,2094,1943,1448,1845,1689,1542,1561,858
Nayarit,6283,226,222,416,439,541,849,659,702,671,614,619,325
NuevoLeÃ_n,123,0,0,2,17,16,24,15,19,12,8,8,2
Oaxaca,3037,149,199,320,295,314,349,269,296,213,171,285,177
Puebla,8039,350,478,866,869,837,841,637,824,671,555,716,395
QuerÃ©taro,3052,72,163,290,380,385,382,242,312,243,218,222,143
QuintanaRoo,135,3,9,21,11,10,18,11,17,15,11,8,1
SanLuisPotosÃ_,148,6,3,8,14,6,20,29,25,16,10,8,3
Sinaloa,5283,161,148,263,282,415,603,550,809,707,640,517,188
Sonora,3420,31,46,183,256,291,777,496,530,369,254,154,33
Tabasco,37,1,2,5,5,2,4,4,6,2,0,6,0
Tamaulipas,205,4,5,17,15,19,30,33,31,18,19,10,4
Tlaxcala,38,1,1,0,4,5,6,7,8,2,2,1,1
Veracruz,153,4,2,24,21,13,12,27,27,9,6,3,5
YucatÃ¡n,45,4,7,3,4,4,2,2,8,4,2,4,1
Zacatecas,1877,64,78,167,219,254,263,196,197,142,120,115,62
TOTALGLOBAL,151486,5863,7640,13272,15518,16706,18624,12506,15507,13497,12124,13029,7200
