Estado,Tasa*,Total,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,272.49,2802,74,108,217,317,334,329,255,340,263,250,195,120
BajaCalifornia,3.17,91,0,1,8,6,14,13,15,13,16,3,2,0
BajaCaliforniaSur,18.38,90,1,2,1,10,14,16,8,7,13,12,4,2
Campeche,4.19,32,1,2,4,4,1,0,5,5,4,4,1,1
Coahuila,4.94,124,7,4,4,2,12,30,14,19,8,11,11,2
Colima,1821.71,10640,503,559,866,795,816,1203,916,1146,942,1153,1109,632
Chiapas,5.19,226,12,22,22,20,18,21,16,17,14,12,31,21
Chihuahua,12.15,410,5,6,20,16,49,75,65,70,50,23,24,7
DistritoFederal,3.95,348,19,10,29,31,41,46,36,46,25,32,27,6
Durango,338.41,5243,138,162,325,413,723,863,602,634,376,453,341,213
Guanajuato,462.57,23254,811,1025,2266,2947,2920,2560,1627,2057,1735,2193,2127,986
Guerrero,890,28921,1762,1722,2470,2154,2585,3259,2289,2685,2137,2663,3592,1603
Hidalgo,10.97,260,8,7,23,31,28,35,36,30,18,23,18,3
Jalisco,709.43,47949,2696,2441,4533,4920,5117,5576,3440,4313,3680,4413,4335,2485
MÃ©xico,36.82,5319,224,248,456,527,627,547,399,445,391,529,661,265
MichoacÃ¡n,565.93,23847,1108,1203,2187,1981,2415,2512,1729,2322,1903,2469,2710,1308
Morelos,1505.04,25559,1074,1196,2675,2787,2800,3062,1922,2249,1906,2163,2488,1237
Nayarit,1477.29,14642,693,644,1024,896,1069,2152,1530,1640,1535,1373,1285,801
NuevoLeÃ_n,6.63,277,4,1,8,63,28,27,15,82,25,17,6,1
Oaxaca,107.97,3988,193,209,395,345,407,454,346,427,333,308,338,233
Puebla,271.03,14855,700,722,1658,1550,1593,1609,1208,1478,997,1101,1330,909
QuerÃ©taro,246.95,3884,145,122,312,346,444,548,343,436,304,352,386,146
QuintanaRoo,8.36,88,5,9,11,9,11,13,8,6,9,4,2,1
SanLuisPotosÃ_,13.55,325,6,8,23,35,31,47,45,54,26,24,16,10
Sinaloa,297.11,8163,292,278,514,428,666,1094,832,1261,1008,836,602,352
Sonora,229.46,5619,82,86,245,311,707,1163,1042,798,532,405,168,80
Tabasco,1.37,28,2,0,10,1,5,2,5,1,0,0,2,0
Tamaulipas,12.43,386,8,8,20,28,31,36,32,46,45,111,14,7
Tlaxcala,4.45,47,0,1,2,3,2,2,6,3,7,20,1,0
Veracruz,2.96,215,2,15,26,22,28,28,14,27,14,16,15,8
YucatÃ¡n,1.85,33,0,4,5,4,0,2,4,3,2,7,1,1
Zacatecas,179.05,2534,97,72,189,240,281,388,230,257,223,248,210,99
TOTALGLOBAL,218.51,230199,10672,10897,20548,21242,23817,27712,19034,22917,18541,21228,22052,11539
