Estado,Total,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,1103,55,53,87,109,135,129,133,90,105,107,71,29
BajaCalifornia,62,1,0,2,1,3,3,10,16,18,5,3,0
BajaCaliforniaSur,54,1,0,1,3,6,11,9,9,8,5,1,0
Campeche,30,1,7,1,0,3,4,5,6,2,0,0,1
Coahuila,102,0,2,2,7,15,15,19,16,11,8,3,4
Colima,6802,447,427,434,338,675,635,837,619,704,808,450,428
Chiapas,144,9,5,8,5,27,13,15,12,10,11,19,10
Chihuahua,209,5,6,12,22,25,25,33,20,32,18,6,5
DistritoFederal,208,9,10,18,12,29,20,28,24,19,17,13,9
Durango,3836,187,141,159,357,665,537,456,351,328,301,203,151
Guanajuato,15980,876,1013,1127,1929,2947,1816,1522,1188,1112,1303,625,522
Guerrero,28920,2227,1616,1943,1927,3185,2430,2843,2090,2253,3099,3369,1938
Hidalgo,101,6,5,7,6,8,13,17,13,10,10,3,3
Jalisco,27099,1913,1499,1892,2356,3600,2812,2559,2039,2201,2874,1793,1561
MÃ©xico,5095,295,254,350,474,751,423,454,329,360,613,493,299
MichoacÃ¡n,16772,1109,973,1188,1349,2137,1499,1538,1298,1232,1823,1533,1093
Morelos,16042,1051,1033,1298,1553,2133,1430,1634,1253,1228,1658,1062,709
Nayarit,8628,508,365,452,544,803,983,1164,724,808,1067,759,451
NuevoLeÃ_n,100,4,3,7,10,6,10,11,17,15,13,4,0
Oaxaca,2318,132,135,180,203,320,214,245,183,193,216,170,127
Puebla,7274,426,466,567,750,976,650,669,525,578,716,528,423
QuerÃ©taro,2671,107,95,146,260,378,290,303,233,240,354,135,130
QuintanaRoo,45,3,7,10,4,5,3,3,0,2,4,3,1
SanLuisPotosÃ_,169,3,13,13,16,20,13,21,19,23,16,7,5
Sinaloa,4834,151,160,178,226,456,462,623,571,648,736,349,274
Sonora,2442,78,37,89,176,401,452,387,254,211,210,93,54
Tabasco,26,1,2,2,1,4,1,7,3,3,1,0,1
Tamaulipas,195,5,4,16,18,12,27,28,20,34,20,8,3
Tlaxcala,22,0,0,1,1,2,3,1,4,3,6,1,0
Veracruz,110,3,6,9,12,17,6,11,12,18,7,5,4
YucatÃ¡n,23,2,1,2,1,1,2,1,4,2,6,1,0
Zacatecas,1692,65,65,108,143,262,226,234,157,138,145,99,50
TOTALGLOBAL,153108,9680,8403,10309,12813,20007,15157,15820,12099,12549,16177,11809,8285
