Estado,Total,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,2022,98,81,158,209,364,208,221,150,198,189,88,58
BajaCalifornia,152,1,5,3,5,13,19,30,16,32,23,5,0
BajaCaliforniaSur,61,3,3,5,4,8,5,7,6,9,4,3,4
Campeche,75,2,9,9,3,6,11,8,6,9,7,4,1
Coahuila,225,4,1,5,17,48,39,34,27,36,13,0,1
Colima,11717,912,650,707,794,1061,1001,1186,971,1102,1554,968,811
Chiapas,349,34,23,37,34,53,30,36,32,14,18,21,17
Chihuahua,397,12,9,18,26,52,50,64,45,40,55,20,6
DistritoFederal,558,37,32,32,50,70,68,77,63,41,33,32,23
Durango,9616,304,377,639,894,1627,1429,1192,887,738,752,429,348
Guanajuato,33349,1538,1975,2384,4034,5412,3721,3377,2669,2394,2891,1699,1255
Guerrero,62106,4598,3475,3481,4689,6505,5717,5726,4255,4165,7441,7819,4235
Hidalgo,237,8,15,12,26,28,25,27,26,16,28,14,12
Jalisco,54303,3466,3123,3806,5467,7542,5357,5028,4027,4017,6009,3604,2857
MÃ©xico,11638,719,555,573,952,1649,1147,952,803,874,1442,1136,836
MichoacÃ¡n,35526,2479,2165,2282,3121,4502,3435,3320,2675,2550,3755,2932,2310
Morelos,33768,1769,1971,2354,3633,4518,3107,2905,2382,2433,3761,2733,2202
Nayarit,16354,989,682,974,1084,1291,1725,2113,1483,1413,2072,1553,975
NuevoLeÃ_n,179,2,3,4,19,35,26,34,23,14,14,2,3
Oaxaca,5706,392,363,394,505,663,548,557,387,389,560,502,446
Puebla,13498,1126,1073,1107,1355,1578,1127,1229,954,888,1252,1202,607
QuerÃ©taro,5753,323,352,368,612,855,579,632,471,425,576,311,249
QuintanaRoo,124,11,6,13,10,11,10,20,14,8,9,6,6
SanLuisPotosÃ_,378,12,13,19,28,48,39,91,53,30,22,15,8
Sinaloa,10203,516,356,364,505,814,897,1223,1134,1317,1569,909,599
Sonora,5885,159,77,207,396,985,1174,925,658,576,462,187,79
Tabasco,40,3,5,2,5,4,4,3,3,6,3,2,0
Tamaulipas,500,15,27,38,58,67,71,82,54,28,32,19,9
Tlaxcala,52,1,1,3,5,8,5,7,6,6,2,4,4
Veracruz,244,10,18,23,22,34,21,33,21,13,31,10,8
YucatÃ¡n,43,2,3,3,8,2,6,2,7,4,4,0,2
Zacatecas,4188,134,147,230,355,558,501,571,373,400,442,267,210
TOTALGLOBAL,319246,19679,17595,20254,28925,40411,32102,31712,24681,24185,35025,26496,18181
