Estado,Total,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,1192,61,42,79,134,166,136,153,87,102,141,60,31
BajaCalifornia,69,1,1,5,3,8,2,4,19,15,7,4,0
BajaCaliforniaSur,89,1,3,6,2,17,11,13,13,12,4,6,1
Campeche,52,1,7,2,3,5,10,6,4,4,3,6,1
Coahuila,129,1,1,3,16,35,12,20,22,11,7,1,0
Colima,5313,390,329,337,269,590,476,609,446,448,622,447,350
Chiapas,187,15,9,11,13,37,18,15,13,17,11,14,14
Chihuahua,276,5,8,11,23,48,41,42,33,34,26,5,0
DistritoFederal,247,13,16,24,23,30,27,28,14,28,15,11,18
Durango,4109,194,143,189,403,750,617,481,388,293,321,217,113
Guanajuato,19510,1099,1120,1328,2347,3725,2154,1814,1436,1405,1702,741,639
Guerrero,29002,2114,1694,2197,2254,3276,2453,2791,2246,2406,3112,2652,1807
Hidalgo,148,5,7,6,12,15,20,18,19,20,16,6,4
Jalisco,26757,1778,1447,1984,2698,3960,2765,2320,1890,2162,2858,1605,1290
MÌ©Ã©xico,5685,307,263,400,679,795,465,478,483,390,690,409,326
MichoacÃ¡n,17603,1123,958,1290,1626,2534,1646,1584,1264,1355,1901,1266,1056
Morelos,16313,1043,1061,1542,1822,2219,1353,1462,1103,1262,1653,1061,732
Nayarit,7281,500,369,410,554,843,726,727,631,703,851,585,382
NuevoLeÃ_n,139,2,3,0,16,23,23,17,19,14,10,5,7
Oaxaca,3092,216,211,242,247,391,288,326,239,239,278,239,176
Puebla,8068,492,560,701,727,1110,719,707,578,708,716,593,457
QuerÃ©Ì©taro,2971,133,116,159,267,489,342,305,244,265,356,172,123
QuintanaRoo,62,6,9,9,8,2,7,4,5,6,2,3,1
SanLuisPotosÃ_,237,10,5,23,31,34,32,31,16,29,11,13,2
Sinaloa,5716,195,186,198,319,580,561,747,618,697,860,456,299
Sonora,3724,97,46,126,253,641,740,525,410,383,302,132,69
Tabasco,50,3,4,5,4,10,3,5,4,4,3,2,3
Tamaulipas,323,5,9,10,31,63,38,52,28,40,23,16,8
Tlaxcala,36,4,1,2,5,5,4,6,4,2,1,2,0
Veracruz,159,7,15,14,18,30,13,12,12,14,9,12,3
YucatÃ¡n,36,3,10,3,1,1,3,2,3,4,5,0,1
Zacatecas,1876,84,63,114,178,274,236,247,164,153,163,123,77
TOTALGLOBAL,160451,9908,8716,11430,14986,22706,15941,15551,12455,13225,16679,10864,7990
