Estado,Tasa*,Total,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,165.08,815,35,48,77,82,124,82,70,63,68,86,47,33
BajaCalifornia,1.91,27,2,2,0,0,1,4,2,3,7,3,3,0
BajaCaliforniaSur,16.37,40,2,2,4,3,1,2,7,6,4,6,2,1
Campeche,3.68,14,1,3,1,1,1,0,3,2,0,0,2,0
Coahuila,2.72,34,0,0,1,3,2,4,14,2,7,1,0,0
Colima,1948.78,5627,459,377,309,477,345,511,616,460,528,667,474,404
Chiapas,3.93,85,4,9,7,8,5,2,11,12,5,7,7,8
Chihuahua,12.59,211,5,4,7,14,30,30,48,17,25,18,8,5
DistritoFederal,3,129,7,7,12,10,10,12,18,9,12,14,10,8
Durango,365,2804,80,65,123,286,430,386,361,274,257,217,172,153
Guanajuato,465.3,11300,658,755,957,1862,1735,975,802,744,710,907,583,612
Guerrero,766.12,12324,909,740,680,1014,942,966,1247,911,960,1340,1616,999
Hidalgo,10.38,120,3,11,3,8,11,14,19,11,18,13,4,5
Jalisco,753.06,25076,1973,1394,1718,2998,2541,2390,2498,1699,1751,2568,1865,1681
MÃ©xico,40.14,2852,142,123,122,302,267,297,218,169,214,348,323,327
MichoacÃ¡n,701.35,14410,962,896,1048,1454,1407,1426,1380,1013,1076,1543,1261,944
Morelos,1896.06,15819,806,847,1154,2246,1558,1578,1467,1059,1139,1731,1289,945
Nayarit,1692.71,8417,535,376,394,657,599,707,914,796,847,1227,746,619
NuevoLeÃ_n,10.77,223,2,5,3,16,41,20,39,25,27,20,16,9
Oaxaca,104.34,1882,151,125,147,249,173,183,199,116,122,164,149,104
Puebla,283.8,7594,486,456,623,1025,752,673,730,597,520,656,605,471
QuerÃ©taro,276.18,2118,96,108,174,263,268,236,202,149,157,194,160,111
QuintanaRoo,6.87,36,0,0,5,3,0,6,1,2,5,8,1,5
SanLuisPotosÃ_,10.19,120,2,5,7,18,11,6,12,16,20,15,6,2
Sinaloa,243.75,3364,167,135,136,207,221,284,438,429,429,512,245,161
Sonora,385.09,4711,157,154,132,326,637,790,486,642,432,593,79,283
Tabasco,1.57,16,0,1,0,2,2,0,1,1,2,4,3,0
Tamaulipas,14.93,229,6,5,16,30,37,28,37,28,21,8,7,6
Tlaxcala,3.3,17,0,0,3,3,3,1,3,4,0,0,0,0
Veracruz,2.89,104,5,7,7,17,5,7,14,13,7,12,6,4
YucatÃ¡n,2.62,23,1,3,1,1,0,0,6,4,2,5,0,0
Zacatecas,214.81,1482,56,49,97,161,244,193,170,130,128,122,71,61
TOTALGLOBAL,235.36,122023,7712,6712,7968,13746,12403,11813,12033,9406,9500,13009,9760,7961
