Estado,Tasa*,Total,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,418.45,2099,60,91,158,246,252,254,178,256,192,179,146,87
BajaCalifornia,2.81,41,0,1,4,3,6,5,5,5,9,2,1,0
BajaCaliforniaSur,16.71,42,1,2,0,6,4,7,5,4,5,4,3,1
Campeche,3.1,12,1,1,2,2,0,0,2,1,2,1,0,0
Coahuila,5.53,70,2,4,3,1,9,17,6,10,4,4,8,2
Colima,1957.2,5721,300,281,435,401,409,654,511,610,560,629,588,343
Chiapas,5.8,127,4,12,15,10,8,13,10,14,7,5,20,9
Chihuahua,10.9,186,2,2,12,5,21,37,23,29,27,9,16,3
DistritoFederal,3.68,158,9,4,9,14,20,21,21,23,10,10,14,3
Durango,346.64,2672,71,86,161,186,349,440,340,322,199,234,181,103
Guanajuato,443.26,10850,380,485,1043,1368,1354,1203,768,954,851,1003,979,462
Guerrero,911.69,14716,956,887,1208,1054,1247,1667,1162,1325,1090,1358,1916,846
Hidalgo,9.86,115,4,4,9,15,14,16,16,11,6,12,6,2
Jalisco,729.89,24509,1409,1268,2176,2273,2472,3019,1818,2273,1935,2268,2253,1345
MÃ©xico,37.71,2722,104,134,226,278,305,305,215,239,198,243,338,137
MichoacÃ¡n,580.14,11957,585,609,1014,913,1101,1351,908,1202,937,1249,1402,686
Morelos,1601.55,13505,590,643,1321,1388,1471,1728,1023,1169,1036,1192,1322,622
Nayarit,1638.97,8205,394,406,530,448,574,1253,832,936,877,774,744,437
NuevoLeÃ_n,4.52,95,3,0,4,4,10,10,6,29,13,9,6,1
Oaxaca,93.14,1691,77,84,152,151,173,210,146,194,136,132,142,94
Puebla,260.44,7043,364,367,724,734,747,804,592,661,481,519,615,435
QuerÃ©taro,241.73,1888,78,50,148,168,206,280,168,212,147,171,187,73
QuintanaRoo,8.27,45,4,5,3,4,8,6,4,4,3,3,0,1
SanLuisPotosÃ_,11.58,137,1,4,11,18,12,17,17,21,11,11,8,6
Sinaloa,276.91,3855,130,113,217,206,306,519,418,601,502,384,293,166
Sonora,187.99,2337,33,34,92,127,291,505,425,325,215,176,75,39
Tabasco,1.07,11,0,0,5,0,0,2,3,1,0,0,0,0
Tamaulipas,7.1,111,5,1,6,10,10,14,13,18,18,9,4,3
Tlaxcala,3.63,19,0,1,2,1,1,1,4,1,3,4,1,0
Veracruz,2.22,80,1,4,16,3,5,13,9,9,5,5,8,2
YucatÃ¡n,0.9,8,0,1,0,1,0,0,1,1,0,4,0,0
Zacatecas,185.76,1283,46,43,96,118,148,189,113,137,116,118,117,42
TOTALGLOBAL,221.98,116310,5614,5627,9802,10156,11533,14560,9762,11597,9595,10721,11393,5950
