Estado,Total,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
Aguascalientes,2079,59,74,125,187,324,316,195,216,277,122,99,85
BajaCalifornia,116,1,3,3,14,16,13,13,20,10,13,9,1
BajaCaliforniaSur,83,0,0,2,4,11,15,9,11,16,4,7,4
Campeche,88,4,6,13,13,8,9,2,12,9,8,1,3
Coahuila,265,3,0,10,28,48,51,32,31,34,16,5,7
Colima,10708,666,654,829,797,833,1112,1082,1046,1334,899,808,648
Chiapas,313,30,21,27,34,23,26,22,25,24,32,21,28
Chihuahua,397,15,8,13,24,42,56,70,44,61,40,17,7
DistritoFederal,542,27,36,54,56,80,66,37,52,49,24,34,27
Durango,6965,166,159,297,536,970,1515,817,754,794,382,337,238
Guanajuato,29250,850,924,2510,3428,4997,4435,2463,2252,2781,2039,1408,1163
Guerrero,47723,3454,2925,4022,3959,4032,5741,4163,3907,4548,4268,3738,2966
Hidalgo,170,7,5,9,12,25,27,17,19,23,10,8,8
Jalisco,52248,2780,2548,4639,4840,6512,7059,4193,4381,5087,4456,3250,2503
MÃ©xico,8279,405,358,622,720,916,1266,613,616,855,865,589,454
MichoacÃ¡n,31945,1707,1667,2952,2855,3594,4043,2609,2701,3419,2750,2050,1598
Morelos,30942,1335,1420,2917,3372,3871,3952,2401,2376,3088,2798,1869,1543
Nayarit,13639,755,716,1074,942,1138,1709,1426,1470,1635,1207,849,718
NuevoLeÃ_n,194,2,1,6,17,22,40,20,32,27,12,9,6
Oaxaca,5493,319,289,542,541,539,704,468,424,503,428,391,345
Puebla,15949,836,861,1544,1848,1770,2044,1365,1285,1286,1206,909,995
QuerÃ©taro,4837,162,148,340,420,659,840,486,410,511,398,246,217
QuintanaRoo,190,3,6,14,10,27,23,21,13,25,23,14,11
SanLuisPotosÃ_,233,5,2,23,21,32,42,30,28,15,14,10,11
Sinaloa,8816,352,365,558,560,635,979,945,1107,1355,972,595,393
Sonora,4242,52,87,157,246,421,1026,604,582,566,234,150,117
Tabasco,53,2,2,4,6,3,10,9,6,6,3,1,1
Tamaulipas,272,9,3,14,22,45,60,16,31,39,24,4,5
Tlaxcala,63,1,0,3,7,14,5,10,5,8,3,4,3
Veracruz,242,13,11,16,19,29,53,21,24,25,18,8,5
YucatÃ¡n,70,2,6,7,10,2,0,7,6,17,7,2,4
Zacatecas,3754,121,116,220,332,442,684,471,394,403,268,163,140
TOTALGLOBAL,280160,14143,13421,23566,25880,32080,37921,24637,24280,28830,23543,17605,14254
