Estado,Total,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
Aguascalientes,939,37,45,110,80,82,123,87,94,87,92,52,50
BajaCalifornia,96,2,0,1,5,9,14,19,16,25,5,0,0
BajaCaliforniaSur,52,1,1,4,3,5,8,5,5,7,4,4,5
Campeche,32,2,7,4,1,0,1,3,4,4,3,2,1
Coahuila,86,0,2,7,9,5,5,8,22,21,6,1,0
Colima,5497,363,315,424,361,424,537,514,458,594,560,461,486
Chiapas,145,8,18,7,6,11,19,10,13,20,9,10,14
Chihuahua,186,3,5,15,10,35,29,28,19,15,17,7,3
DistritoFederal,214,16,13,13,16,21,30,27,21,14,14,11,18
Durango,2790,82,115,241,266,344,434,303,269,260,225,106,145
Guanajuato,12177,398,605,1153,1210,1576,1539,1115,1045,1253,979,700,604
Guerrero,24314,1147,1255,1876,1631,2246,2688,2079,1853,2254,2196,2875,2214
Hidalgo,80,1,5,6,10,3,11,8,11,8,7,4,6
Jalisco,29305,1445,1599,2606,2688,3039,3495,2531,2233,2933,2654,2114,1968
MÃ©xico,4631,186,195,295,391,642,574,346,356,471,424,456,295
MichoacÃ¡n,16841,775,766,1282,1200,1733,1873,1466,1425,1817,1639,1543,1322
Morelos,17021,724,828,1519,1701,2133,1912,1350,1263,1692,1445,1326,1128
Nayarit,8490,583,550,523,509,640,1074,875,814,866,842,683,531
NuevoLeÃ_n,119,3,2,13,6,23,13,15,17,15,9,1,2
Oaxaca,2457,127,134,233,243,243,270,230,188,238,172,193,186
Puebla,7430,377,432,729,791,762,765,606,527,679,609,602,551
QuerÃ©taro,1922,53,99,173,183,230,226,198,228,190,141,104,97
QuintanaRoo,78,1,6,14,1,4,8,4,10,13,6,5,6
SanLuisPotosÃ_,142,3,12,19,21,15,13,14,10,19,11,2,3
Sinaloa,4203,174,130,241,237,287,441,430,474,608,465,332,384
Sonora,1836,46,26,102,114,240,350,283,225,197,120,84,49
Tabasco,22,0,2,3,3,2,6,1,1,1,0,1,2
Tamaulipas,117,3,4,10,7,14,20,14,15,18,7,2,3
Tlaxcala,28,1,0,3,4,3,4,4,1,0,3,4,1
Veracruz,138,3,10,16,7,13,13,17,20,16,15,4,4
YucatÃ¡n,16,0,1,1,1,0,3,2,0,7,1,0,0
Zacatecas,1822,63,95,163,157,223,232,183,187,183,141,99,96
TOTALGLOBAL,143226,6627,7277,11806,11872,15007,16730,12775,11824,14525,12821,11788,10174
