Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,10,131,223,272,311,198,429,95,125,48,144,0,1986
Baja California ,3,10,16,11,14,22,62,5,5,1,6,0,155
Baja California Sur ,2,11,10,8,19,16,31,7,6,4,6,0,120
Campeche ,7,15,9,15,7,15,33,6,11,2,5,0,125
Coahuila ,1,19,21,14,21,23,61,10,12,1,2,0,185
Colima ,47,543,787,1020,1318,1308,3221,573,780,270,481,13,10361
Chiapas ,6,26,27,31,42,36,109,28,50,12,24,0,391
Chihuahua ,12,54,56,34,42,38,115,13,23,3,13,10,413
Distrito Federal ,2,36,47,60,56,43,159,23,28,8,18,1,481
Durango ,36,445,564,691,801,700,1789,349,405,152,322,0,6254
Guanajuato ,194,2273,3082,3508,3482,2967,7834,1186,1729,746,1624,7,28632
Guerrero ,293,3756,5032,5513,4919,3486,9226,1705,2555,1093,2547,16,40141
Hidalgo ,0,6,18,29,20,26,83,10,16,5,15,0,228
Jalisco ,339,4253,5671,6326,6525,5466,14829,2489,3672,1418,3121,68,54177
M‚xico ,65,907,1114,1114,1006,684,1789,334,471,190,442,3,8119
Michoac n ,232,2781,3530,4016,3814,2993,7530,1387,1856,720,1705,137,30701
Morelos ,152,2541,3344,3488,3671,3135,7367,1845,2400,978,1783,16,30720
Nayarit ,91,991,1276,1673,1917,1458,4239,827,1207,443,1003,3,15128
Nuevo Le¢n ,3,17,17,11,16,26,102,11,18,3,9,0,233
Oaxaca ,35,424,542,704,715,484,1402,318,439,206,575,3,5847
Puebla ,67,1189,1631,1863,1977,1446,3347,798,1187,543,1392,3,15443
Quer‚taro ,35,327,317,459,440,446,1454,181,281,89,199,0,4228
Quintana Roo ,0,7,6,7,6,13,31,5,7,0,4,0,86
San Luis Potos¡ ,2,19,21,41,25,33,107,30,32,18,25,0,353
Sinaloa ,72,620,730,847,1027,881,2344,497,641,258,569,1,8487
Sonora ,63,473,471,481,497,402,1066,218,286,100,188,3,4248
Tabasco ,0,3,3,3,9,5,24,0,4,0,2,0,53
Tamaulipas ,4,30,27,30,24,34,107,15,13,11,12,0,307
Tlaxcala ,0,3,3,3,7,7,24,2,2,0,1,0,52
Veracruz ,4,16,23,18,25,29,63,13,30,8,13,0,242
Yucat n ,0,7,3,5,5,6,26,3,6,1,1,0,63
Zacatecas ,23,289,376,435,473,406,1008,222,296,141,343,5,4017
TOTAL GLOBAL ,1800,22222,28997,32730,33231,26832,70011,13205,18593,7472,16594,289,271976
