Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,3,64,106,119,122,87,252,31,44,20,60,0,908
Baja California ,0,9,9,5,8,8,26,4,3,4,2,0,78
Baja California Sur ,1,5,5,5,6,7,23,7,1,0,3,0,63
Campeche ,1,2,2,1,1,3,8,2,1,2,1,0,24
Coahuila ,2,4,4,9,8,12,22,2,1,0,0,0,64
Colima ,20,238,335,491,569,473,1468,247,308,107,242,10,4508
Chiapas ,2,14,6,14,18,21,55,13,7,5,3,0,158
Chihuahua ,2,23,25,23,15,14,40,11,15,5,9,0,182
Distrito Federal ,1,18,20,32,22,31,65,6,18,4,7,0,224
Durango ,15,200,247,321,379,306,905,152,209,74,178,0,2986
Guanajuato ,85,973,1383,1632,1690,1632,4388,636,916,319,631,8,14293
Guerrero ,164,1568,1991,2035,1872,1536,4090,807,1182,448,938,17,16648
Hidalgo ,3,8,5,21,24,14,42,7,13,6,8,0,151
Jalisco ,157,1880,2381,2955,2920,2627,7509,1155,1673,627,1338,20,25242
M‚xico ,23,379,391,424,335,245,674,117,118,85,136,0,2927
Michoac n ,97,1225,1543,1699,1673,1404,3461,634,861,317,674,5,13593
Morelos ,136,1381,1703,1739,1777,1712,4205,778,1060,473,814,17,15795
Nayarit ,53,489,633,711,674,606,1613,334,385,169,277,125,6069
Nuevo Le¢n ,2,4,2,2,4,7,25,3,6,0,2,0,57
Oaxaca ,10,170,262,340,300,227,637,119,196,119,276,6,2662
Puebla ,56,576,867,1112,1040,861,2015,473,651,302,759,3,8715
Quer‚taro ,19,132,135,187,196,242,728,85,147,35,85,0,1991
Quintana Roo ,0,4,7,4,10,13,24,3,7,2,0,0,74
San Luis Potos¡ ,2,8,14,16,16,20,69,12,20,3,12,0,192
Sinaloa ,23,259,332,400,381,341,1181,195,341,123,203,1,3780
Sonora ,40,291,305,277,333,271,845,163,194,103,171,0,2993
Tabasco ,0,0,0,1,0,2,9,0,3,0,0,0,15
Tamaulipas ,3,4,21,26,13,34,53,8,12,1,6,1,182
Tlaxcala ,1,0,2,2,2,3,5,1,0,0,1,0,17
Veracruz ,1,7,8,7,9,19,27,5,12,5,3,0,103
Yucat n ,0,3,0,3,4,5,8,2,3,1,0,0,29
Zacatecas ,15,102,148,189,176,188,377,82,115,50,107,0,1549
TOTAL GLOBAL ,937,10040,12892,14802,14597,12971,34849,6094,8522,3409,6946,213,126272
