Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign.,Total
Aguascalientes ,4,134,200,263,331,228,523,90,129,48,129,0,2079
Baja California ,0,7,11,12,7,24,29,8,13,1,4,0,116
Baja California Sur ,0,6,11,8,10,12,26,3,3,1,3,0,83
Campeche ,0,3,7,5,11,11,27,5,4,5,9,1,88
Coahuila ,1,15,25,19,32,39,99,8,20,3,3,1,265
Colima ,49,578,705,956,1245,1296,3413,597,882,320,647,20,10708
Chiapas ,2,19,21,24,31,28,102,17,37,5,27,0,313
Chihuahua ,5,45,37,48,34,48,105,13,32,7,23,0,397
Distrito Federal ,2,42,45,56,66,53,181,29,35,17,16,0,542
Durango ,48,402,599,720,896,859,2005,370,463,224,379,0,6965
Guanajuato ,154,2291,3014,3704,4019,3147,7963,1310,1649,616,1383,0,29250
Guerrero ,326,4043,5253,6127,5884,4515,11687,2182,3351,1303,3007,45,47723
Hidalgo ,2,4,12,18,19,20,56,11,11,3,14,0,170
Jalisco ,317,3907,4952,5805,6215,5616,14658,2419,3633,1380,3216,130,52248
M‚xico ,55,903,1048,1103,1111,794,1819,366,457,178,436,9,8279
Michoac n ,335,2818,3295,3820,4003,3390,8290,1382,1999,801,1787,25,31945
Morelos ,156,2321,3231,3468,3731,3142,7911,1732,2490,785,1895,80,30942
Nayarit ,80,955,1136,1448,1687,1525,3765,798,988,435,819,3,13639
Nuevo Le¢n ,2,15,15,17,14,19,79,9,17,3,4,0,194
Oaxaca ,40,406,524,609,628,557,1269,269,423,191,573,4,5493
Puebla ,70,1083,1524,1761,2000,1576,3798,816,1304,548,1437,32,15949
Quer‚taro ,40,251,287,434,523,526,1755,280,376,124,241,0,4837
Quintana Roo ,1,13,13,13,20,25,79,13,9,2,2,0,190
San Luis Potos¡ ,2,17,14,12,39,26,64,17,19,7,16,0,233
Sinaloa ,42,614,717,918,1018,888,2341,529,807,332,608,2,8816
Sonora ,43,452,471,437,465,418,1071,200,337,113,232,3,4242
Tabasco ,0,1,3,7,2,10,17,3,5,3,2,0,53
Tamaulipas ,3,28,22,16,30,38,83,10,27,6,9,0,272
Tlaxcala ,0,2,7,10,12,4,13,3,8,2,2,0,63
Veracruz ,2,17,13,13,26,32,74,14,22,8,21,0,242
Yucat n ,0,9,7,4,5,5,22,8,5,2,3,0,70
Zacatecas ,13,281,338,402,484,396,934,186,271,104,336,9,3754
TOTAL GLOBAL ,1794,21682,27557,32257,34598,29267,74258,13697,19826,7577,17283,364,280160
