Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,5,142,200,321,253,162,509,92,141,45,130,0,2000
Baja California ,2,8,18,10,13,12,46,2,5,1,3,0,120
Baja California Sur ,1,14,10,14,20,23,35,5,11,6,5,0,144
Campeche ,0,1,0,3,5,5,15,1,3,1,1,0,35
Coahuila ,0,4,16,12,14,19,59,4,12,5,3,0,148
Colima ,40,592,810,1132,1273,1167,3248,474,715,283,577,32,10343
Chiapas ,3,15,11,21,33,19,52,19,14,7,16,1,211
Chihuahua ,5,51,41,33,25,23,94,18,27,8,24,0,349
Distrito Federal ,4,36,37,60,46,39,146,20,35,6,20,0,449
Durango ,40,437,617,762,800,651,1636,287,388,150,292,10,6070
Guanajuato ,185,2435,3527,4081,3787,3338,8926,1301,1902,771,1650,6,31909
Guerrero ,369,4112,5224,5602,4791,3682,9561,1764,2763,1132,2600,125,41725
Hidalgo ,0,11,28,18,24,17,94,14,21,10,18,0,255
Jalisco ,419,4788,6165,7309,6977,5826,16190,2618,3963,1683,3624,100,59662
M‚xico ,70,773,953,1053,833,563,1367,264,318,163,351,3,6711
Michoac n ,257,3040,3784,4365,4024,3032,7564,1420,1899,741,1658,15,31799
Morelos ,177,2755,3541,4037,3584,3010,7720,1684,2289,1012,1889,89,31787
Nayarit ,118,1048,1451,1792,1733,1468,3975,757,1046,450,860,3,14701
Nuevo Le¢n ,1,10,15,12,18,22,70,11,9,3,4,0,175
Oaxaca ,33,420,506,656,533,416,1080,261,367,181,518,9,4980
Puebla ,81,1314,1826,2385,2157,1494,3713,940,1329,622,1484,7,17352
Quer‚taro ,40,299,370,418,471,471,1535,186,246,89,150,0,4275
Quintana Roo ,3,7,7,4,10,15,64,11,9,3,3,1,137
San Luis Potos¡ ,9,35,30,32,33,30,125,25,33,18,25,2,397
Sinaloa ,51,586,743,875,835,682,2017,385,601,251,527,130,7683
Sonora ,53,581,608,529,523,427,1101,191,295,99,234,2,4643
Tabasco ,1,2,0,2,1,3,12,3,2,1,0,0,27
Tamaulipas ,0,27,37,31,31,39,104,17,23,3,14,0,326
Tlaxcala ,0,2,2,6,7,5,12,2,2,0,1,0,39
Veracruz ,5,27,23,25,22,19,74,15,22,6,15,1,254
Yucat n ,3,6,4,8,6,7,16,3,2,1,6,0,62
Zacatecas ,18,336,442,452,475,379,889,175,224,128,307,5,3830
TOTAL GLOBAL ,1993,23914,31046,36060,33357,27065,72049,12969,18716,7879,17009,541,282598
