Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,7,150,221,272,220,147,423,63,102,40,116,0,1761
Baja California ,1,17,21,13,12,21,40,6,10,6,2,0,149
Baja California Sur ,4,10,7,10,13,13,46,8,3,0,5,0,119
Campeche ,2,3,2,3,2,5,12,2,2,2,1,0,36
Coahuila ,4,11,10,15,15,20,40,6,8,1,5,0,135
Colima ,47,555,767,1097,1223,1020,3027,479,672,264,546,29,9726
Chiapas ,6,31,14,26,30,29,90,23,15,11,11,0,286
Chihuahua ,6,36,48,37,26,28,73,23,23,7,18,0,325
Distrito Federal ,3,33,42,51,48,50,106,16,28,7,9,1,394
Durango ,25,420,581,730,728,590,1591,300,374,136,300,0,5775
Guanajuato ,183,2207,2855,3342,3167,2943,7396,1061,1544,566,1142,13,26419
Guerrero ,307,3426,4394,4653,3814,2822,7376,1483,2121,891,1836,31,33154
Hidalgo ,3,12,16,33,41,23,67,12,17,10,16,0,250
Jalisco ,372,4279,5278,6485,6022,4985,13493,2077,3194,1279,2805,44,50313
M‚xico ,53,782,886,936,665,432,1144,210,253,142,252,2,5757
Michoac n ,207,2617,3335,3814,3422,2543,6273,1150,1592,646,1422,15,27036
Morelos ,274,2964,3770,3788,3554,3061,7774,1536,2095,950,1748,45,31559
Nayarit ,115,1078,1442,1601,1537,1327,3476,744,889,403,723,131,13466
Nuevo Le¢n ,3,8,10,4,11,18,42,7,14,1,4,0,122
Oaxaca ,25,341,527,677,543,354,1019,202,353,183,461,7,4692
Puebla ,99,1302,1834,2277,2007,1468,3566,853,1238,536,1390,5,16575
Quer‚taro ,39,298,325,408,376,438,1281,136,243,66,163,0,3773
Quintana Roo ,2,9,7,12,16,21,51,6,13,3,2,0,142
San Luis Potos¡ ,2,22,23,28,32,26,113,19,28,6,23,1,323
Sinaloa ,54,579,706,762,684,589,1884,331,567,206,417,6,6785
Sonora ,88,666,617,540,555,460,1317,259,325,148,273,0,5248
Tabasco ,0,1,1,3,5,5,15,1,7,0,0,0,38
Tamaulipas ,4,15,38,40,20,50,89,13,24,2,10,2,307
Tlaxcala ,1,5,5,4,3,4,12,1,0,0,2,0,37
Veracruz ,3,15,9,13,14,37,45,12,20,6,5,0,179
Yucat n ,0,5,1,5,6,6,21,5,4,1,4,0,58
Zacatecas ,25,242,324,389,374,318,679,165,212,89,220,0,3037
TOTAL GLOBAL ,1964,22139,28116,32068,29185,23853,62581,11209,15990,6608,13931,332,247976
