Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,1,57,97,132,143,87,280,55,74,22,47,0,995
Baja California ,2,4,15,3,7,9,25,1,3,1,3,0,73
Baja California Sur ,1,7,5,6,11,17,23,4,5,4,1,0,84
Campeche ,0,1,0,2,4,4,11,1,3,1,1,0,28
Coahuila ,0,4,6,8,8,13,33,2,7,2,1,0,84
Colima ,13,259,402,486,592,543,1575,229,338,119,279,13,4848
Chiapas ,2,6,1,12,17,15,31,13,5,2,10,1,115
Chihuahua ,2,22,11,20,14,10,62,8,17,5,13,0,184
Distrito Federal ,1,15,20,30,33,19,89,11,18,2,14,0,252
Durango ,20,211,276,346,416,369,888,154,222,75,141,10,3128
Guanajuato ,94,1089,1704,1924,2001,1819,5214,803,1120,439,888,4,17099
Guerrero ,172,1912,2371,2492,2210,1997,5343,969,1488,552,1235,114,20855
Hidalgo ,0,2,12,11,13,11,58,7,7,5,10,0,136
Jalisco ,178,2148,2882,3257,3368,3052,8658,1357,2031,818,1672,47,29468
M‚xico ,30,353,428,459,399,325,790,139,176,84,207,2,3392
Michoac n ,118,1382,1724,2009,1938,1659,4247,780,1025,362,770,4,16018
Morelos ,96,1260,1655,1844,1746,1631,4095,840,1180,461,849,66,15723
Nayarit ,56,491,708,809,797,712,1932,404,477,181,348,0,6915
Nuevo Le¢n ,0,6,10,5,8,9,47,6,6,2,1,0,100
Oaxaca ,13,182,247,316,302,284,697,165,221,106,291,4,2828
Puebla ,42,601,908,1121,1070,835,2141,501,727,344,812,1,9103
Quer‚taro ,15,125,174,224,241,277,882,106,150,52,90,0,2336
Quintana Roo ,1,2,2,2,3,9,35,9,4,1,2,1,71
San Luis Potos¡ ,6,20,18,14,14,20,77,18,19,8,18,1,233
Sinaloa ,26,280,354,431,459,386,1251,218,358,137,253,128,4281
Sonora ,23,241,290,270,343,276,735,127,211,68,163,1,2748
Tabasco ,1,1,0,0,1,2,8,3,2,1,0,0,19
Tamaulipas ,0,8,22,17,16,28,58,9,12,3,11,0,184
Tlaxcala ,0,0,0,3,4,3,9,1,2,0,1,0,23
Veracruz ,3,12,15,14,11,11,49,12,19,4,7,0,157
Yucat n ,3,4,0,5,3,5,10,2,2,1,1,0,36
Zacatecas ,10,155,183,213,263,214,464,94,130,70,139,1,1936
TOTAL GLOBAL ,929,10860,14540,16485,16455,14651,39817,7048,10059,3932,8278,398,143452
