Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,3,43,70,83,83,73,180,41,47,11,41,0,675
Baja California ,1,1,5,6,2,5,16,2,3,0,1,0,42
Baja California Sur ,1,7,2,1,5,7,9,2,5,0,0,0,39
Campeche ,0,3,6,3,5,1,9,3,4,0,0,0,34
Coahuila ,1,1,1,4,11,7,22,1,1,0,0,0,49
Colima ,18,266,376,495,613,497,1437,228,351,128,224,11,4644
Chiapas ,1,14,5,13,10,7,38,6,13,3,0,0,110
Chihuahua ,5,25,28,26,30,24,75,16,14,4,8,0,255
Distrito Federal ,1,12,15,13,12,16,49,6,9,4,2,0,139
Durango ,23,182,261,305,328,300,753,147,184,89,133,3,2708
Guanajuato ,80,946,1310,1516,1596,1504,3669,539,694,233,558,128,12773
Guerrero ,140,1273,1506,1539,1186,1140,2785,609,739,370,584,9,11880
Hidalgo ,1,7,10,13,17,20,54,10,15,4,5,0,156
Jalisco ,174,1868,2322,2706,2739,2437,6739,1087,1528,595,1169,13,23377
M‚xico ,66,364,392,392,302,221,617,107,163,78,110,1,2813
Michoac n ,162,1349,1642,1829,1665,1427,3534,681,877,336,661,15,14178
Morelos ,134,1359,1495,1749,1582,1679,3965,814,979,387,753,26,14922
Nayarit ,60,579,722,785,723,679,1853,296,428,181,324,5,6635
Nuevo Le¢n ,3,9,31,36,39,27,74,10,9,2,3,0,243
Oaxaca ,13,155,216,287,253,209,637,133,177,94,200,0,2374
Puebla ,34,549,861,913,933,769,1942,367,609,254,655,1,7887
Quer‚taro ,35,170,171,222,227,282,772,97,120,52,109,2,2259
Quintana Roo ,0,4,1,3,6,5,27,2,2,0,3,1,54
San Luis Potosi ,1,6,6,16,11,9,54,10,13,2,10,0,138
Sinaloa ,41,329,388,398,415,411,1265,226,318,141,221,8,4161
Sonora ,569,942,520,442,383,474,1749,294,585,209,509,0,6676
Tabasco ,1,2,1,7,3,3,8,2,1,0,0,0,28
Tamaulipas ,0,9,12,16,25,23,51,12,5,7,9,125,294
Tlaxcala ,0,1,2,2,1,3,5,0,0,0,0,0,14
Veracruz ,3,10,12,12,17,17,48,9,6,3,8,0,145
Yucat n ,3,9,2,3,4,2,12,2,0,2,2,0,41
Zacatecas ,8,110,157,162,218,127,331,63,87,51,102,1,1417
TOTAL GLOBAL ,1582,10604,12548,13997,13444,12405,32779,5822,7986,3240,6404,349,121160
