Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,7,76,118,134,104,64,155,23,57,23,54,0,815
Baja California ,1,6,2,2,2,1,10,1,1,1,0,0,27
Baja California Sur ,0,5,2,5,2,5,14,2,4,0,1,0,40
Campeche ,0,6,1,0,2,0,4,1,0,0,0,0,14
Coahuila ,1,4,5,3,3,5,12,0,1,0,0,0,34
Colima ,35,340,459,677,706,600,1653,281,394,159,301,22,5627
Chiapas ,2,13,10,6,7,6,26,4,4,2,5,0,85
Chihuahua ,11,35,28,27,18,13,37,16,9,8,8,1,211
Distrito Federal ,1,8,19,17,17,17,37,6,6,0,1,0,129
Durango ,15,206,294,357,359,287,727,150,174,86,147,2,2804
Guanajuato ,106,1116,1351,1564,1490,1218,2712,488,531,237,474,13,11300
Guerrero ,155,1461,1807,1906,1460,1056,2331,513,665,340,622,8,12324
Hidalgo ,2,6,25,10,14,8,29,5,5,3,13,0,120
Jalisco ,212,2431,2897,3401,3182,2319,6018,925,1571,712,1371,37,25076
M‚xico ,64,440,522,495,297,175,482,101,119,55,101,1,2852
Michoac n ,151,1552,1915,2278,1811,1195,2987,554,776,343,840,8,14410
Morelos ,162,1667,1807,2145,1703,1476,3537,752,1008,528,1005,29,15819
Nayarit ,71,659,853,1117,1072,813,2063,399,539,261,565,5,8417
Nuevo Le¢n ,1,13,32,37,27,36,55,14,3,2,3,0,223
Oaxaca ,16,193,271,301,206,134,343,76,119,60,159,4,1882
Puebla ,41,708,965,1205,931,569,1446,359,517,237,611,5,7594
Quer‚taro ,43,242,244,273,194,246,585,58,98,40,94,1,2118
Quintana Roo ,1,3,4,6,2,5,8,3,3,0,1,0,36
San Luis Potosi ,0,10,16,18,12,14,24,5,8,4,9,0,120
Sinaloa ,58,436,445,425,331,252,715,156,191,117,233,5,3364
Sonora ,604,1086,497,394,223,264,813,121,246,103,360,0,4711
Tabasco ,0,1,1,2,2,3,6,1,0,0,0,0,16
Tamaulipas ,2,19,23,24,23,32,70,12,14,2,7,1,229
Tlaxcala ,0,2,1,2,3,2,6,1,0,0,0,0,17
Veracruz ,4,13,8,15,7,9,22,6,7,3,10,0,104
Yucat n ,0,6,2,2,2,2,2,2,3,2,0,0,23
Zacatecas ,8,119,157,217,227,126,315,48,96,43,122,4,1482
TOTAL GLOBAL ,1774,12882,14781,17065,14439,10952,27244,5083,7169,3371,7117,146,122023
