Estado,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign.,Total
Aguascalientes ,9,135,197,292,335,262,599,93,172,61,140,0,2295
Baja California ,1,9,9,19,16,14,44,5,8,4,2,0,131
Baja California Sur ,2,13,13,10,15,16,54,4,8,4,4,0,143
Campeche ,1,4,1,3,7,11,24,6,6,5,14,0,82
Coahuila ,2,15,23,26,17,36,91,12,8,1,0,0,231
Colima ,37,613,747,964,1412,1368,4035,627,1071,347,743,151,12115
Chiapas ,4,16,10,26,40,41,120,17,26,9,22,0,331
Chihuahua ,11,66,48,46,50,44,137,29,20,9,25,0,485
Distrito Federal ,1,22,40,59,58,48,129,25,41,19,12,1,455
Durango ,48,523,659,823,1058,937,2247,469,545,216,420,0,7945
Guanajuato ,206,2920,3866,4695,3980,3626,9675,1663,2323,773,1745,18,35490
Guerrero ,384,4939,6192,6987,7258,5735,14566,2607,4089,1514,3619,32,57922
Hidalgo ,3,16,14,34,19,22,72,21,19,11,18,0,249
Jalisco ,320,4025,4969,5967,6010,5921,15533,2591,3983,1456,2999,82,53856
M‚xico ,84,1164,1303,1440,1322,1081,2343,397,613,225,554,254,10780
Michoac n ,292,2941,3355,3797,4250,3982,8904,1753,2307,983,1802,9,34375
Morelos ,112,2418,3297,3753,3974,3536,8464,1596,2479,866,1821,39,32355
Nayarit ,104,1061,1392,1503,1827,1752,4581,864,1257,497,1066,5,15909
Nuevo Le¢n ,2,13,16,18,24,39,85,11,18,5,8,0,239
Oaxaca ,21,369,490,548,631,507,1294,328,446,195,574,7,5410
Puebla ,69,1018,1417,1708,1892,1641,3616,822,1231,549,1367,12,15342
Quer‚taro ,14,300,366,448,569,633,2026,358,488,139,301,0,5642
Quintana Roo ,2,5,9,7,11,19,32,9,6,1,4,2,107
San Luis Potos¡ ,0,23,27,38,35,43,118,22,39,12,49,0,406
Sinaloa ,56,751,882,1005,1078,1090,2935,607,936,397,807,6,10550
Sonora ,62,601,684,673,638,589,1609,314,520,175,295,6,6166
Tabasco ,1,6,5,3,3,18,30,1,8,1,0,0,76
Tamaulipas ,8,44,39,35,43,53,169,30,43,14,39,1,518
Tlaxcala ,0,3,1,5,4,12,17,3,6,2,4,1,58
Veracruz ,1,24,12,21,28,29,75,12,36,9,22,0,269
Yucat n ,0,3,8,4,4,8,21,1,5,3,2,0,59
Zacatecas ,11,248,329,383,375,389,913,196,269,130,321,4,3568
TOTAL GLOBAL ,1868,24308,30420,35340,36983,33502,84558,15493,23026,8632,18799,630,313559
