Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,4,78,109,149,144,100,204,42,60,28,82,0,1000
Baja California ,1,4,5,6,8,10,27,4,3,0,1,0,69
Baja California Sur ,2,4,3,4,8,6,15,3,4,3,2,0,54
Campeche ,4,10,6,8,5,4,14,4,6,1,2,0,64
Coahuila ,0,7,14,7,9,6,23,3,5,1,2,0,77
Colima ,22,320,434,585,700,659,1708,300,428,156,271,5,5588
Chiapas ,4,14,12,18,17,14,40,14,18,6,12,0,169
Chihuahua ,6,33,36,16,20,15,43,2,8,0,10,0,189
Distrito Federal ,0,18,22,32,29,17,65,9,12,2,5,1,212
Durango ,21,247,284,351,391,345,783,176,196,79,147,0,3020
Guanajuato ,104,1227,1676,1894,1649,1356,3216,495,694,402,696,2,13411
Guerrero ,146,2010,2713,3010,2520,1569,3984,771,1155,485,1273,7,19643
Hidalgo ,0,3,8,20,10,8,32,3,8,2,9,0,103
Jalisco ,184,2307,3069,3444,3341,2655,6896,1200,1746,756,1647,35,27280
M‚xico ,24,518,607,611,502,311,729,152,215,88,197,1,3955
Michoac n ,124,1475,1876,2152,1901,1332,3345,591,817,357,852,8,14830
Morelos ,91,1419,1863,1945,1823,1354,3402,895,1140,484,957,11,15384
Nayarit ,40,551,687,920,1070,786,2291,406,639,257,598,3,8248
Nuevo Le¢n ,3,12,8,3,9,6,42,6,6,2,2,0,99
Oaxaca ,18,246,287,368,323,199,466,109,160,85,254,1,2516
Puebla ,30,635,892,971,946,616,1407,355,510,239,631,2,7234
Quer‚taro ,24,167,171,229,215,171,602,68,97,33,82,0,1859
Quintana Roo ,0,3,3,6,4,6,4,2,2,0,1,0,31
San Luis Potos¡ ,1,11,13,13,8,8,30,5,10,8,7,0,114
Sinaloa ,36,332,384,435,461,359,947,206,272,112,281,0,3825
Sonora ,34,252,231,231,158,132,361,70,84,37,65,1,1656
Tabasco ,0,1,2,2,3,2,7,0,2,0,1,0,20
Tamaulipas ,2,17,14,18,9,14,37,4,4,2,4,0,125
Tlaxcala ,0,1,0,1,2,3,13,1,0,0,0,0,21
Veracruz ,2,10,11,8,13,7,24,1,12,1,4,0,93
Yucat n ,0,3,2,3,0,2,16,0,2,0,1,0,29
Zacatecas ,12,170,182,232,234,200,446,102,125,74,180,5,1962
TOTAL GLOBAL ,939,12105,15624,17692,16532,12272,31219,5999,8440,3700,8276,82,132880
