Estado,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,3,72,89,150,143,90,254,42,55,16,69,0,983
Baja California ,0,5,12,7,7,5,19,6,1,0,0,0,62
Baja California Sur ,1,3,5,2,0,3,14,3,4,1,1,0,37
Campeche ,0,3,2,3,6,2,14,2,2,0,1,0,35
Coahuila ,1,11,10,7,8,11,31,7,5,1,2,0,94
Colima ,31,345,475,609,774,718,2124,328,517,205,381,9,6516
Chiapas ,3,18,12,9,17,10,42,10,11,7,16,0,155
Chihuahua ,3,31,20,23,13,16,52,6,4,9,8,0,185
Distrito Federal ,3,14,26,28,18,29,66,10,12,4,12,0,222
Durango ,19,241,344,401,472,449,993,189,225,114,189,0,3636
Guanajuato ,74,1422,1644,1959,1822,1401,3409,543,771,331,627,2,14005
Guerrero ,167,2189,2983,3490,3361,2336,5592,1075,1673,691,1640,21,25218
Hidalgo ,2,5,7,14,9,10,15,1,11,0,6,0,80
Jalisco ,189,2237,2731,3073,3080,2709,7217,1147,1710,681,1605,47,26426
M‚xico ,48,547,675,710,589,416,1013,167,243,113,227,4,4752
Michoac n ,144,1448,1817,1944,2069,1609,3940,740,934,408,863,5,15921
Morelos ,68,1442,1961,2116,2289,1694,4476,960,1494,500,1161,61,18222
Nayarit ,136,529,611,712,874,786,2077,367,538,244,485,3,7362
Nuevo Le¢n ,0,13,11,9,11,13,37,1,5,1,3,0,104
Oaxaca ,14,206,245,289,269,217,522,102,202,82,221,3,2372
Puebla ,21,581,766,890,912,665,1532,336,564,281,648,4,7200
Quer‚taro ,14,200,239,285,305,266,781,105,180,71,105,0,2551
Quintana Roo ,2,8,6,5,7,9,48,7,5,1,3,0,101
San Luis Potos¡ ,0,11,11,12,13,12,33,9,11,1,6,0,119
Sinaloa ,29,365,430,481,469,390,991,238,326,188,329,2,4238
Sonora ,35,306,336,269,186,194,456,88,144,60,96,2,2172
Tabasco ,0,4,3,5,0,4,10,0,2,0,1,0,29
Tamaulipas ,2,11,14,16,10,10,38,10,6,4,9,2,132
Tlaxcala ,0,1,4,3,4,3,9,0,0,0,1,0,25
Veracruz ,1,8,5,8,5,8,39,3,10,5,13,0,105
Yucat n ,0,0,0,3,1,3,13,1,2,1,4,0,28
Zacatecas ,9,143,186,204,206,206,441,88,129,52,153,2,1819
TOTAL GLOBAL ,1019,12419,15680,17736,17949,14294,36298,6591,9796,4072,8885,167,144906
