Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,11,178,298,349,256,187,451,59,111,67,131,1,2099
Baja California ,6,5,5,2,4,5,10,2,2,0,0,0,41
Baja California Sur ,2,4,7,4,3,7,14,1,0,0,0,0,42
Campeche ,1,2,2,1,0,3,3,0,0,0,0,0,12
Coahuila ,3,5,7,8,7,9,21,2,4,2,2,0,70
Colima ,27,348,469,716,695,604,1662,276,389,178,340,17,5721
Chiapas ,2,11,14,9,8,19,37,7,13,3,4,0,127
Chihuahua ,4,20,26,21,12,28,47,6,12,3,7,0,186
Distrito Federal ,0,13,25,20,15,19,46,7,6,2,5,0,158
Durango ,5,203,278,367,342,267,678,125,175,82,148,2,2672
Guanajuato ,103,1056,1243,1495,1387,1155,2730,402,557,266,449,7,10850
Guerrero ,161,1707,2081,2312,1749,1211,2861,567,792,453,803,19,14716
Hidalgo ,2,6,16,16,16,14,25,5,8,2,5,0,115
Jalisco ,244,2306,2693,3278,3040,2284,5957,1034,1514,696,1442,21,24509
MÌ©xico ,38,355,476,512,322,194,448,123,90,51,111,2,2722
MichoacÌÁn ,223,1305,1717,1838,1513,1064,2309,440,635,272,638,3,11957
Morelos ,156,1380,1614,1819,1546,1274,2924,632,877,383,880,20,13505
Nayarit ,71,610,828,1004,999,718,2119,470,573,292,517,4,8205
Nuevo LeÌ_n ,1,6,11,6,9,11,26,7,9,5,4,0,95
Oaxaca ,11,164,239,247,194,135,303,82,95,61,155,5,1691
Puebla ,50,586,846,1061,897,590,1374,312,513,227,575,12,7043
QuerÌ©taro ,39,204,157,243,216,202,569,63,100,22,72,1,1888
Quintana Roo ,0,4,10,3,7,2,15,1,1,0,2,0,45
San Luis PotosÌ_ ,2,15,12,16,13,12,31,12,5,5,14,0,137
Sinaloa ,48,396,457,494,393,354,928,165,223,129,264,4,3855
Sonora ,45,362,332,276,239,210,512,94,116,47,101,3,2337
Tabasco ,0,2,1,2,0,0,2,3,0,0,1,0,11
Tamaulipas ,1,12,10,16,11,12,34,4,7,1,3,0,111
Tlaxcala ,0,3,0,2,3,4,5,0,0,0,2,0,19
Veracruz ,1,6,6,9,10,7,23,1,12,1,4,0,80
YucatÌÁn ,0,1,0,1,1,2,1,0,1,1,0,0,8
Zacatecas ,6,114,162,151,174,99,277,49,79,52,117,3,1283
T OTAL GLOBAL ,1263,11389,14042,16298,14081,10702,26442,4951,6919,3303,6796,124,116310
