Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,6,53,114,123,167,98,225,53,65,20,62,0,986
Baja California ,2,6,11,5,6,12,35,1,2,1,5,0,86
Baja California Sur ,0,7,7,4,11,10,16,4,2,1,4,0,66
Campeche ,3,5,3,7,2,11,19,2,5,1,3,0,61
Coahuila ,1,12,7,7,12,17,38,7,7,0,0,0,108
Colima ,25,223,353,435,618,649,1513,273,352,114,210,8,4773
Chiapas ,2,12,15,13,25,22,69,14,32,6,12,0,222
Chihuahua ,6,21,20,18,22,23,72,11,15,3,3,10,224
Distrito Federal ,2,18,25,28,27,26,94,14,16,6,13,0,269
Durango ,15,198,280,340,410,355,1006,173,209,73,175,0,3234
Guanajuato ,90,1046,1406,1614,1833,1611,4618,691,1035,344,928,5,15221
Guerrero ,147,1746,2319,2503,2399,1917,5242,934,1400,608,1274,9,20498
Hidalgo ,0,3,10,9,10,18,51,7,8,3,6,0,125
Jalisco ,155,1946,2602,2882,3184,2811,7933,1289,1926,662,1474,33,26897
M‚xico ,41,389,507,503,504,373,1060,182,256,102,245,2,4164
Michoac n ,108,1306,1654,1864,1913,1661,4185,796,1039,363,853,129,15871
Morelos ,61,1122,1481,1543,1848,1781,3965,950,1260,494,826,5,15336
Nayarit ,51,440,589,753,847,672,1948,421,568,186,405,0,6880
Nuevo Le¢n ,0,5,9,8,7,20,60,5,12,1,7,0,134
Oaxaca ,17,178,255,336,392,285,936,209,279,121,321,2,3331
Puebla ,37,554,739,892,1031,830,1940,443,677,304,761,1,8209
Quer‚taro ,11,160,146,230,225,275,852,113,184,56,117,0,2369
Quintana Roo ,0,4,3,1,2,7,27,3,5,0,3,0,55
San Luis Potos¡ ,1,8,8,28,17,25,77,25,22,10,18,0,239
Sinaloa ,36,288,346,412,566,522,1397,291,369,146,288,1,4662
Sonora ,29,221,240,250,339,270,705,148,202,63,123,2,2592
Tabasco ,0,2,1,1,6,3,17,0,2,0,1,0,33
Tamaulipas ,2,13,13,12,15,20,70,11,9,9,8,0,182
Tlaxcala ,0,2,3,2,5,4,11,1,2,0,1,0,31
Veracruz ,2,6,12,10,12,22,39,12,18,7,9,0,149
Yucat n ,0,4,1,2,5,4,10,3,4,1,0,0,34
Zacatecas ,11,119,194,203,239,206,562,120,171,67,163,0,2055
TOTAL GLOBAL ,861,10117,13373,15038,16699,14560,38792,7206,10153,3772,8318,207,139096
