Estado,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign.,Total
Aguascalientes ,7,144,178,271,302,218,564,87,133,48,136,0,2088
Baja California ,1,6,24,15,12,11,40,7,7,4,2,0,129
Baja California Sur ,1,7,7,7,8,16,40,5,11,2,2,0,106
Campeche ,0,9,4,9,12,11,30,5,10,3,1,0,94
Coahuila ,1,19,17,17,20,28,68,15,12,2,4,0,203
Colima ,63,653,825,1095,1355,1392,3845,599,970,315,653,16,11781
Chiapas ,5,33,20,25,32,35,119,19,30,13,32,0,363
Chihuahua ,11,60,43,50,44,52,120,15,24,15,17,0,451
Distrito Federal ,4,29,47,59,54,58,167,28,29,12,25,1,513
Durango ,38,441,651,779,969,922,2187,432,570,240,440,0,7669
Guanajuato ,143,2606,3179,3964,3974,3318,8116,1339,1824,687,1392,6,30548
Guerrero ,336,4140,5523,6505,6514,5058,12575,2333,3612,1383,3274,31,51284
Hidalgo ,2,14,18,27,27,23,64,8,20,1,15,0,219
Jalisco ,352,4094,5019,5719,6178,5602,14856,2409,3550,1359,2957,119,52214
M‚xico ,83,1019,1238,1313,1197,969,2270,393,548,241,505,5,9781
Michoac n ,273,2623,3286,3655,4109,3435,8672,1543,2024,846,1634,6,32106
Morelos ,130,2700,3605,4029,4521,3759,9566,2003,3053,949,2193,103,36611
Nayarit ,176,947,1122,1348,1620,1463,3986,690,995,428,867,3,13645
Nuevo Le¢n ,0,19,19,19,24,30,88,9,12,1,6,0,227
Oaxaca ,27,376,518,581,600,530,1283,292,475,187,534,6,5409
Puebla ,62,1036,1481,1645,1848,1529,3618,798,1281,575,1359,7,15239
Quer‚taro ,37,399,405,516,627,584,1840,291,478,160,266,0,5603
Quintana Roo ,3,16,14,10,20,30,102,16,13,2,9,1,236
San Luis Potos¡ ,1,12,22,21,29,31,81,21,27,3,19,0,267
Sinaloa ,50,662,789,1001,1089,946,2567,548,809,402,644,14,9521
Sonora ,63,591,634,622,576,547,1426,263,436,166,264,4,5592
Tabasco ,1,7,6,6,0,12,21,3,5,2,3,0,66
Tamaulipas ,3,23,30,30,33,26,113,23,26,12,16,2,337
Tlaxcala ,0,1,9,7,5,13,21,0,2,0,5,0,63
Veracruz ,1,13,16,23,18,22,95,11,27,8,23,1,258
Yucat n ,0,0,0,8,2,9,32,4,8,2,8,0,73
Zacatecas ,21,256,344,376,433,407,945,193,280,129,310,2,3696
TOTAL GLOBAL ,1895,22955,29093,33752,36252,31086,79517,14402,21301,8197,17615,327,296392
